,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Sample Weight,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage,Match,Pack size
367,23.0,cabbage green,23.17,"Morrisons, savoy cabbage ",Morrisons ,Purchase Date: 09.01.2012 ,09.01.2012 ,"Morrisons, Norwich ",11-Jan,13-Jan,32241 -TH1-VEG1E  00712NZ  11:58 ,,Ambient ,Refrigerated ,0.0,Purchase Date: 09.01.2012 
368,23.0,cabbage green,23.18,"The Co -operative, sweetheart cabbage ",The Co -operative ,Purchase Date: 09.01.2012 ,09.01.2012 ,,Best Before Date: 15 Jan ,15-Jan,M233 ,Plastic ,Ambient ,Refrigerated ,0.0,Purchase Date: 09.01.2012 
369,23.0,cabbage green,22.19,"Iceland, green cabbage ",Iceland ,Purchase Date: 09.01.2012 ,09.01.2012 ,"Iceland, Norwich ",12-Jan,Batch Number: 462 004 ,462 004 ,Plastic ,Ambient ,Refrigerated ,0.0,Purchase Date: 09.01.2012 
370,23.0,cabbage green,23.2,"Tesco, Market V alue, green cabbage ",Tesco Market Value ,Purchase Date: 09.01.2012 ,09.01.2012 ,"Tesco, Blue Boar Road, Norwich ",13-Jan,Batch Number: Supplier code: PV ,Supplier code: PV ,Plastic ,Ambient ,Refrigerated ,0.0,Purchase Date: 17.10.2011 
371,,cabbage green,23.21,Market savoy cabbage ,Pack size: ,Purchase Date: 09.01.2012 ,09.01.2012 ,"Independent market stall, Norwich ",,Batch Number: ,Packaging: ,Sample Condition As Purchased: Ambient ,Ambient ,Refrigerated ,0.0,Purchase Date: 09.01.2012 
372,23.0,cabbage green,23.22,"Makro, savoy cabbage ",Makro ,Purchase D ate: 09.01.2012 ,,"Makro, Norwich ",Best Before Date: ,Batch Number: Art no: 364519 supp no: 24477 date code: 003 ,Art no: 364519 supp no: 24477 date code: 003 ,Plastic ,Ambient ,Refrigerat ed ,0.0,Purchase D ate: 09.01.2012 
373,24.0,cauliflower,24.1,"Tesco, Lincolnshire extra large cauliflower ",Tesco ,1123.0,17.10.2011 ,"Tesco, Harford Bridges , Norwich ",20-Oct,Batch Number: Supplier code: CE ,Supplier code: CE ,Plastic ,Ambient ,Refrigerated ,1.0,Purchase Date: 17.10.2011 
374,24.0,cauliflower,24.2,"Tesco , Lincolnshire cauliflower ",Tesco ,881.2,17.10.2011 ,"Tesco, Harford Bridges , Norwich ",21-Oct,23-Oct,Supplier code: CE 003892330 ,Plastic ,Ambient ,Refrigerated ,1.0,Purchase Date: 17.10.2011 
375,24.0,cauliflower,24.3,"Asda, British cauliflower ",Asda ,800.3,,"Asda , Norwich ",21-Oct,23-Oct,730000,Plastic ,Ambient ,Refrigerated ,1.0,Purcha se Date: 17.10.2011 
376,24.0,cauliflower,24.4,"Asda, cauliflower florets ",Asda ,Purchased pre-prepared,17.10.2011 ,"Asda , Norwich ",20-Oct,22-Oct,730000,Plastic ,Ambient ,Refrigerated ,1.0,400g 
