,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Sample Weight,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage,Match,Pack size
0,1.0,potatoes old,1.1,"Tesco , Eastern Counties , white potatoes ",Tesco ,200.5,03.10.2011 ,"Tesco, Harford Bridges, Norwich ",05-Oct,,,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
1,1.0,potatoes old,nan,"Tesco , Eastern Counties , Desiree potatoes ",Tesco ,Purchase Date: 17.10.2011 ,03.10.2011 ,"Tesco, Harford Bridges, Norwich ",06-Oct,,GV1 11:58 L2 ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
2,1.0,potatoes old,nan,"Asda , Maris Piper p otatoes ",Asda ,Purchase Date: 17.10.2011 ,03.10.2011 ,"Asda, Norwich ",04-Oct,07-Oct,QVL43021C39176879  Site code: 790317 ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
3,,potatoes old,1.4,"Asda , Desiree p otatoes ",Asda ,160.0,03.10.2011 ,"Asda, Norwich ",05-Oct,08-Oct,QVL 10906E39176268 site code: 790195 ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
4,1.0,potatoes old,1.5,"Sainsbury’s , British King Edward potatoes ",Sainsbury’s ,222.5,03.10.2011 ,"Sainsbury’s, Longwater , Norwich ",05-Oct,07-Oct,A0283 B Line D 5 2001 ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
5,1.0,potatoes old,1.6,"Morrisons , white potatoes ",Morrisons ,224.3,03.10.2011 ,"Morriso ns, Norwich ",05-Oct,07-Oct,3104 RD1 -POT5B27311 8S 13:5C ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
6,1.0,potatoes old,nan,"Waitrose , Maris Piper potatoes ",Waitrose ,Purchase Date: 17.10.2011 ,03.10.2011 ,"Waitrose, Wymondham ",07-Oct,Batch Number: Supplier 236A HC PL5  10:39 r 236A ,Supplier 236A HC PL5  10:39 r 236A ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
7,1.0,potatoes old,1.8,British white potatoes ,Aldi ,214.9,03.10.2011 ,"Aldi, Norwich ",Best Before Date: ,Batch Number: 3906 33L11052609  348 ,3906 33L11052609  348 ,Plastic ,Ambient ,Ambient ,1.0,
8,1.0,potatoes old,1.9,"Tesco , Market Value potatoes ",Tesco Market Value ,253.0,03.10.2011 ,"Tesco, Harford Bridges , Norwich ",,Batch Number: GV1 23:26  L3 ,GV1 23:26  L3 ,Plastic ,Ambient ,Ambient ,1.0,5kg 
9,1.0,potatoes old  fl esh,1.1,"Market , old potatoes ",Pack size: ,200.5,03.10.2011 ,"Independent  market s tall, Norwich ",Best Before Date: ,Batch Number: ,Packaging : Paper ,,Ambient ,Ambient ,1.0,2.5kg 
10,1.0,potatoes old,1.11,Garden of Elveden w hite potatoes ,Garden of Elveden ,173.8,03.10.201 1 ,"Makro , Norwich ",Best Before Date: ,Batch Number: Supplier:24333 Art No:368824 Code:273 ,Supplier:24333 Art No:368824 Code:273 ,Plastic ,Ambient ,Ambient ,1.0,10 x 2kg 
11,1.0,potatoes old,1.12,"Tesco , British King Edward potatoes ",Tesco ,158.2,16.01.2012 ,"Tesco, Blue Boar Road , Norwich ",19-Jan,21-Jan,GV1  20:07  L3 ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
12,1.0,potatoes old,1.14,"Asda , British w hite potatoes ",Asda ,151.4,16.01.2012 ,"Asda , Norwich ",,Batch Number: QVL60217D02183443 Site code: 790180 ,QVL60217D02183443 Site code: 790180 ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
13,1.0,potatoes old,1.15,"Asda , British w hite potatoes ",Asda ,148.7,16.01.2012 ,"Asda , Norwich ",Best Before Date: ,Batch Number: QVL65719C02183457 Site code: 790123 ,QVL65719C02183457 Site code: 790123 ,Plastic ,Ambient ,,1.0,2.5kg 
14,1.0,potatoes old   o nly,1.16,"Sainsbury’s , Desiree p otatoes ",Sainsbury’s ,172.1,16.01.2012 ,"Sainsbury’s, Longwater , Norwich ",Best Before Date: 20 Jan ,20-Jan,D0646C  2253L2 ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
15,1.0,potatoes old,1.17,"Morrisons , white potatoes ",Morrisons ,139.7,16.01.2012 ,"Morrisons , Norwich ",19-Jan,21-Jan,12961 RD1 -POT7A01412KC 04:15 ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
16,1.0,potatoes old,1.19,British r ed potatoes ,Aldi ,158.0,16.01.2012 ,"Aldi, Norwich ",Best Before Date: ,Batch Number: 03 04  QVPL216551401  348 ,03 04  QVPL216551401  348 ,Plastic ,,Ambient ,1.0,1.5kg 
17,1.0,potatoes old,1.2,"Sainsbury’s , basics potatoes ",Sainsbury’s basics ,107.6,16.01.2012 ,"Sainsbury’s, Longwater, Norwich ",Best Before Date: 19 Jan ,19-Jan,D0646C (2) 23:30 ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
18,1.0,potatoes old,1.21,Market o ld potatoes ,Pack size: ,Purchase Date: 16.01.2012 ,16.01.2012 ,"Independent m arket stall, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Ambient ,0.0,Purchase Date: 16.01.2012 
19,1.0,potatoes old,1.22,"Farm Fresh , washed white potatoes ",Farm Fresh ,2kg ,,"Booker , Norwich ",Best Before Date: ,Batch Number: 43/2 07:25 56957 ,43/2 07:25 56957 ,Plastic ,Ambient ,Ambient ,0.0,2kg 
20,2.0,potatoes old,2.1,"Tesco , Eastern Counties , white potatoes ",Tesco ,890.8,03.10.2011 ,,05-Oct,,GV1 01:03 L3 ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
21,2.0,potatoes old,2.2,"Tesco , Eastern Counties , Desiree potatoes ",Tesco ,530.0,03.10.2011 ,,06-Oct,,GV1 11:58 L2 ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
22,2.0,potatoes old,2.3,"Asda , Maris Piper potatoes ",Asda ,542.8,03.10.2011 ,"Asda, Norwich ",04-Oct,07-Oct,QVL43021C39176879  Site code: 790317 ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
23,2.0,potatoes old,2.4,"Asda , Desiree potatoes ",,1076.2,03.10.2011 ,"Asda, Norwich ",05-Oct,08-Oct,QVL 10906E39176268 site code: 790195 ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
24,2.0,potatoes old,2.5,"Sainsbury’s , British King Edward potatoes ",Sainsbury’s ,696.5,03.10.2011 ,"Sainsbury’s, Longwater , Norwich ",05-Oct,07 O ct ,A0283 B Line D 5 2001 ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
25,2.0,potatoes old,2.6,"Morrisons , white potatoes ",Morrisons ,984.2,03.10.2011 ,"Morrisons , Norwich ",05-Oct,07-Oct,3104 RD1 -POT5B27311 8S 13:5C ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
26,2.0,potatoes old,2.7,"Waitrose , Maris Piper potatoes ",Waitrose ,246.4,03.10.2011 ,"Waitrose, Wymondham ",07-Oct,Batch Number: Supplier 236A HC PL5  10:39 r 236A ,Supplier 236A HC PL5  10:39 r 236A ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
27,2.0,potatoes old,2.8,British white potatoes ,Aldi ,130.2,03.10.2011 ,"Aldi, Norwich ",Best Before Date: ,Batch Numb er: 3906 33L11052609 348 ,,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
28,2.0,potatoes old,2.9,"Tesco , Market Value potatoes ",Tesco Mar ket Value ,204.9,03.10.2011 ,"Tesco, Harford Bridges , Norwich ",06-Oct,Batch Number: GV1    23:26  L3 ,GV1    23:26  L3 ,Plastic ,Ambient ,Ambient ,1.0,5kg 
29,2.0,potatoes old,2.1,Market old p otatoes ,Pack size: ,890.8,03.10.2 011 ,"Independent market s tall, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Paper ,Paper ,Ambient ,Ambient ,1.0,2.5kg 
30,2.0,potatoes old,2.11,Garden of Elveden w hite potatoes ,Garden of Elveden ,10 x 2kg ,03.10.2011 ,"Makro , Norwich ",Best Before Date: ,Batch Number: Supplier:24333 Art No:368 824 Code:273 ,Supplier:24333 Art No:368 824 Code:273 ,Plastic ,Ambient ,Ambient ,0.0,10 x 2kg 
31,2.0,potatoes old,2.12,"Tesco , British Ki ng Edward potatoes ",Tesco ,2.5kg ,16.01.2012 ,"Tesco, Blue Boar Road , Norwich ",19-Jan,21-Jan,GV1  20:07  L3 ,Plastic ,,Ambient ,0.0,2.5kg 
32,2.0,potatoes old,2.13,"Tesco , Scottish Maris Pip er potatoes ",Tesco ,2.5kg ,16.01.2012 ,"Tesco, Blue Boar Road , Norwich ",18-Jan,20-Jan,GV3 16:50 LD ,Plastic ,,Ambient ,0.0,2.5kg 
33,2.0,potatoes old,2.14,"Asda , British white potatoes ",Asda ,2.5kg ,16.01.2012 ,"Asda , Norwich ",Best Before Date: ,Batch Number: QVL60217D02183443 Site code: 790180 ,QVL60217D02183443 Site code: 790180 ,Plastic ,,Ambient ,0.0,2.5kg 
34,2.0,potatoes old,2.15,"Asda , British white potatoes ",Asda ,2.5kg ,16.01.2012 ,"Asda , Norwich ",Best Before Date: ,Batch Number: QVL65719C02183457 Site code: 790123 ,QVL65719C02183457 Site code: 790123 ,Plastic ,Ambient ,Ambient ,0.0,2.5kg 
35,2.0,potatoes old,2.16,"Sainsbury’s , Desiree potatoes ",Sainsbury’s ,2.5kg ,16.01.2012 ,"Sainsbury’s, Longwater , Norwich ",Best Before Date: 20 Jan ,20-Jan,D0646C 2253L2 ,Plastic ,Ambient ,Ambie nt ,0.0,2.5kg 
36,2.0,potatoes old,2.17,"Morrisons , white potatoes ",Morrisons ,2.5kg ,16.01.2012 ,"Morrisons , Norwich ",19-Jan,21-Jan,12961 RD1 -POT7A01412KC 04:15 ,Plastic ,Ambient ,Ambient ,0.0,2.5kg 
37,2.0,potatoes old,2.19,British r ed potatoes ,Aldi ,1.5kg ,16.01.2012 ,,Best Before Date: ,Batch Number: 03 04  QVPL216551401  348 ,03 04  QVPL216551401  348 ,Plastic ,Ambient ,Ambient ,0.0,1.5kg 
38,2.0,potatoes old,nan,"Sainsbury’s , basics Potatoes ","Sainsbury’s , basics ",Purchase Date: 17.10.2011 ,16.01.2012 ,"Sainsbury’s, Longwater, Norwich ",Best Before Date: 19 Jan ,19-Jan,D0646C (2) 23:30 ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
39,2.0,potatoes old,2.21,Market o ld potatoes ,Pack size: ,Purchase Date: 16.01.2012 ,16.01.2012 ,"Independent m arket stall, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Ambi ent ,0.0,Purchase Date: 16.01.2012 
40,2.0,potatoes ol d,2.22,"Farm Fresh , washed white potatoes ",Farm Fresh ,2kg ,16.01.2012 ,"Booker , Norwich ",Best Before Date: ,Batch N umber: 43/2  07:25 56957 ,,Plastic ,Ambient ,Ambient ,0.0,2kg 
41,3.0,potatoes old baked,3.1,"Tesco , Eastern Counties , white potatoes ",Tesco ,428.9,03.10.2011 ,"Tesco, Harford Bridges, Norwich ",05-Oct,,GV1 01:03 L3 ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
42,3.0,potatoes old baked,3.2,"Tesco , Eastern Counties , Desiree potatoes ",Tesco ,239.0,03.10.2011 ,"Tesco, Harford Bridges, Norwich ",06-Oct,,GV1 11:58 L2 ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
43,3.0,potatoes old baked,3.3,"Asda , Maris Piper potatoes ",Asda ,403.4,03.10.2011 ,"Asda, Norwich ",04-Oct,07-Oct,QVL43021C3 9176879  Site code: 790317 ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
44,,potatoes old baked,3.4,"Asda , Desiree potatoes ",Asda ,408.6,03.10.2011 ,"Asda, Norwic h ",05-Oct,08-Oct,QVL 10906E39176268 site code: 790195 ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
45,3.0,potatoes old baked,3.5,"Sainsbury’s , British King Edward potatoes ",Sainsbury’s ,269.4,03.10.2011 ,"Sainsbury’s, Longwater , Norwich ",05-Oct,07-Oct,A0283 B Line D 5 2001 ,Plastic ,,Ambient ,1.0,2.5kg 
46,3.0,potatoes old baked,3.6,"Morrisons , white potatoes ",Morrisons ,399.7,03.10.2011 ,"Morrisons , Norwich ",05-Oct,07-Oct,3104 RD1 -POT5B27311 8S 13:5C ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
47,3.0,potatoes old baked,3.7,"Waitrose , Maris Piper p otatoes ",Waitrose ,379.0,03.10.2011 ,"Waitrose, Wymondham ",07-Oct,,Supplier 236A HC PL5  10:39 r 236A ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
48,3.0,potatoes old baked,3.8,,Aldi ,2.5kg ,03.10.2011 ,"Aldi, Norwich ",Best Before Date: ,Batch Number: 3906 33L11052609 348 ,3906 33L11052609 348 ,Plastic ,,Ambient ,0.0,2.5kg 
49,,potatoes old baked,3.9,"Tesco , Market Value p otatoes ",Tesco Market Value ,399.7,03.10.2011 ,"Tesco, Harford Bridges , Norwich ",06-Oct,Batch Number: GV1    23:26  L3 ,GV1    23:26  L3 ,Plastic ,Ambient ,Ambient ,1.0,5kg 
50,3.0,potatoes old baked,3.1,Market old p otatoes ,Pack size: ,428.9,03.10.2011 ,"Independent market stall , Norwich ",,Batch Number: ,Packaging: Paper ,Paper ,Ambient ,Ambient ,1.0,2.5kg 
51,3.0,potatoes old baked,3.11,Garden of Elveden w hite potatoes ,Garden of Elveden ,10 x 2kg ,03.10.2011 ,"Makro , Norwich ",Best Before Date: ,Batch Number: Supplier:24333 Art No:368824 Code:273 ,Supplier:24333 Art No:368824 Code:273 ,Plastic ,Ambient ,Ambient ,0.0,10 x 2kg 
52,3.0,potatoes old baked,3.12,"Tesco , British King Edward p otatoes ",Tesco ,2.5kg ,16.01.2012 ,"Tesco, Blue Boar Road , Norwich ",19-Jan,21-Jan,GV1  20:07  L3 ,Plastic ,Ambient ,Ambient ,0.0,2.5kg 
53,3.0,potatoes old baked,3.13,"Tesco , Scottish Maris Piper p otatoes ",Tesco ,2.5kg ,,"Tesco, Blue Boar Road , Norwich ",18-Jan,20-Jan,GV3 16:50 LD ,Plastic ,Ambient ,Ambient ,0.0,2.5kg 
54,3.0,potatoes old baked,3.14,"Asda , British white p otatoes ",Asda ,2.5kg ,16.01.2012 ,"Asda , Norwich ",Best Before Date: ,Batch Number: QVL60217D02183443 Site code: 790180 ,QVL60217D02183443 Site code: 790180 ,Plastic ,Ambient ,Ambient ,0.0,2.5kg 
55,3.0,potatoes old baked,nan,"Asda , British white p otatoes ",Asda ,Purchase Date: 17.10.2011 ,16.01.2012 ,"Asda , Norwich ",Best Before Date: ,Batch Number: QVL65719C02183457 Site code: 790123 ,QVL65719C02183457 Site code: 790123 ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
56,,potatoes old baked,3.16,"Sainsbury’s , Desiree p otatoes ",Sainsbury’s ,2.5kg ,16.01.2012 ,"Sainsbury’s, Longwater , Norwich ",Best Before Date: 20 Jan ,20-Jan,D0646C  2253L2 ,Plastic ,Ambient ,Ambient ,0.0,2.5kg 
57,3.0,potatoes old baked,3.17,"Morrison s, white p otatoes ",Morrisons ,2.5kg ,16.01.2012 ,"Morrisons , Norwich ",19-Jan,21-Jan,12961 RD1 -POT7A01412KC 04:15 ,Plastic ,Ambient ,Ambient ,0.0,2.5kg 
58,3.0,potatoes old baked,3.18,"The Co -operative , white potatoes ",The C o-operative ,2.5kg ,16.01.2012 ,"The Co-operative , Wymondham ",Best Before Date: 18 Jan ,18-Jan,M082 / 8858 ,Plastic ,Ambient ,Ambient ,0.0,2.5kg 
59,,potatoes old baked,3.19,British r ed potatoes ,Aldi ,1.5kg ,16.01.2012 ,"Aldi, Norwich ",,Batch Number: 03 04 QVPL216551401 348 ,03 04 QVPL216551401 348 ,Plastic ,Ambient ,Ambient ,0.0,1.5kg 
60,3.0,potatoes old baked,3.2,"Sainsbury’ s, basics potatoes ",Sainsbury’s basics ,239.0,16.01.2012 ,"Sainsbury’s, Longwater, Norwich ",Best Before Date: 19 Jan ,19-Jan,D0646C (2) 23:30 ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
61,3.0,potatoes old baked,3.21,Market old potatoes ,Pack size: ,Purchase Date: 16.01.2012 ,16.01.2012 ,"Independent m arket stall, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Ambient ,0.0,Purchase Date: 16.01.2012 
62,3.0,potatoes old baked,3.22,"Farm Fresh , washed white potatoes ",Farm Fresh ,2kg ,16.01.2012 ,"Booker , Norwich ",Best Before Date: ,Batch Number: 43/2 07:25 56957 ,43/2 07:25 56957 ,,Ambient ,Ambient ,0.0,2kg 
63,4.0,potatoes old roasted,4.1,,Tesco ,Purchased ready prepared,16.01.2012 ,"Tesco, Blue Boar Road , Norwich ",19-Jan,21-Jan,GV1 20:07 L3 ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
64,4.0,potatoes old roasted,4.2,"Tesco , Scottish Maris Piper potatoes ",Tesco ,299.5,16.01.2012 ,"Tesco, Blue Boar Road , Norwich ",18-Jan,20-Jan,GV3 16:50 LD ,Plastic ,,Ambient ,1.0,2.5kg 
65,4.0,potatoes old roasted,4.3,"Asda , British w hite potatoes ",Asda ,358.5,16.01.2012 ,"Asda , Norwich ",Best Before Date: ,Batch Number: QVL60217D02183443 Site code: 790180 ,QVL60217D02183443 Site code: 790180 ,Plastic ,,Ambient ,1.0,2.5kg 
66,4.0,potatoes old roasted,4.5,"Sainsbury’s , Desiree potatoes ",Sainsbury’s ,315.3,16.01.2012 ,"Sainsbury’s, Longwater , Norwich ",Best Before Date: 20 Jan ,20-Jan,D0646C  2253L2 ,Plastic ,Ambient ,,1.0,2.5kg 
67,4.0,potatoes old roasted,4.6,"Morrisons , white potatoes ",Morrisons ,271.6,16.01.2012 ,"Morrisons , Norwich ",19-Jan,21-Jan,,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
68,4.0,potatoes old roasted,4.8,British r ed potatoes ,Aldi ,375.4,16.01.2012 ,"Aldi, Norwich ",Best Before Date: ,Batch Number: 03 04 QVPL216551401 348 ,03 04 QVPL216551401 348 ,Plastic ,Ambient ,Ambient ,1.0,1.5kg 
69,4.0,potatoes old roasted,4.9,"Sainsbury’s , basics Potatoes ",Sainsbury’s basics ,311.0,16.01.2012 ,"Sainsbury’s, Longwater, Norwich ",Best Before Date: 19 Jan ,19-Jan,D0646C (2) 23:30 ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
70,4.0,potatoes old roasted,4.1,Market o ld potato es ,Pack size: ,Purchased ready prepared,16.01.2012 ,"Independent market stall , Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,,1.0,2.5kg 
71,4.0,potatoes old roasted,4.11,"Farm Fresh , washed white potatoes ",Farm Fresh ,2kg ,16.01.2012 ,"Booker , Norwich ",Best Before Date: ,Batch Number: 43/2 07:25 56957 ,43/2 07:25 56957 ,Plastic ,Ambient ,Ambient ,0.0,2kg 
72,6.0,potatoes old microwaved,6.1,"Tesco , British King Edward p otatoes ",Tesco ,158.7,16.01.2012 ,"Tesco, Blue Boar Road , Norwich ",19-Jan,21-Jan,GV1  20:07  L3 ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
73,6.0,potatoes old microwaved,6.2,"Tesco , Scottish Maris Piper potatoes ",Tesco ,6.0,16.01.2012 ,"Tesco, Blue Boar Road , Norwich ",18-Jan,20-Jan,GV3  16:50  LD ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
74,6.0,potatoes old micr owaved,6.3,"Asda , British white potatoes ",Asda ,2.7,16.01.2012 ,"Asda , Norwich ",Best Before Date: ,Batch Number: QVL60217D02183443 Site code: 790180 ,QVL60217D02183443 Site code: 790180 ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
75,6.0,potatoes old microwaved,6.4,"Asda , British white potatoes ",Asda ,6.2,16.01. 2012 ,"Asda , Norwich ",Best Before Date: ,Batch Number: QVL65719C02183457 Site code: 790123 ,QVL65719C02183457 Site code: 790123 ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
76,6.0,potatoes old microwaved,6.5,"Sainsbury’s , Desiree potatoes ",Sainsbury’s ,192.9,16.01.2012 ,"Sainsbury’s, Longwater , Norwich ",Best Before Date: 20 Jan ,20-Jan,D0646C  2253L2 ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
77,6.0,potatoes old microwaved,6.6,"Morrisons , white potatoes ",Morrisons ,7.5,16.01.2012 ,"Morris ons, Norwich ",19-Jan,21-Jan,12961 RD1 -POT7A01412KC 04:15 ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
78,6.0,potatoes old microwaved,6.7,,The Co-operative ,3.3,16.01.2012 ,"The Co-operative , Wymondham ",Best Before Date: 18 Jan ,18-Jan,M082 / 8858 ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
79,6.0,potatoes old microwaved,6.8,British red potatoes ,Aldi ,6.2,16.01.2012 ,"Aldi, Norwich ",Best Before Date: ,Batch Number: 03 04  QVPL216551401  348 ,03 04  QVPL216551401  348 ,Plastic ,,Ambient ,1.0,1.5kg 
80,6.0,potatoes old microwaved,6.9,"Sainsbury’s , basics potatoes ",Sainsbury’s basics ,2.8,16.01.2012 ,"Sainsbury’s, Longwater, Norwich ",Best Before Date: 19 Jan ,19-Jan,D0646C (2) 23:30 ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
81,6.0,potatoes old microwaved,6.11,"Farm Fresh , washed white potatoes ",Farm Fresh ,2kg ,16.01.2012 ,"Booker , Norwich ",Best Before Date: ,Batch Number: 43/2  07:25  56957 ,43/2  07:25  56957 ,Plastic ,Ambient ,Ambient ,0.0,2kg 
82,7.0,potatoes new,7.1,"Tesco , Eastern Counties , baby new potatoes ",Tesco ,23.7,31.08.11 ,"Tesco, Harford Bridges , Norwich ",01-Sep,03-Sep,GV1    00:48   L4 ,Plastic ,Ambient ,Ambient ,1.0,1kg 
83,7.0,potatoes new,7.2,"Tesco , Eastern Counties , Charlot te potatoes ",Tesco ,27.7,31.08.11 ,"Tesco, Harford Bridges , Norwich ",03-Sep,05-Sep,GV1  18:08  L6 ,Plastic ,Ambient ,Refrigerated ,1.0,1kg 
84,7.0,potatoes new,nan,"Asda , baby new potatoes ",Asda ,Purchase Date: 17.10.2011 ,30.08.11 ,"Asda , Norwich ",04-Sep,06-Sep,QVL22107A35 Site code:790354 ,,Ambient ,Ambient ,1.0,2.5kg 
85,7.0,potatoes new,7.4,"Heygate Farms , Norfolk Peer , Best new potatoes ",Heygate Farms ,26.5,30.08.11 ,"Asda , Norwich ",01-Sep,03-Sep,7a 07:05   240 620367 ,Plastic ,Ambient ,Refrigerated ,1.0,750g 
86,7.0,potatoes new,7.5,"Sainsbury’s , Taste The Difference , British Anya potatoes ",Sainsbury’s Taste The D ifference ,1.0,30.08.11 ,"Sainsbury’s , Longwater, Norwich ",03-Sep,05-Sep,A0283 B LineA 2A  0808 ,Plastic ,,Ambient ,1.0,750g 
87,7.0,potatoes new,7.6,"Morrisons , salad potatoes ",Morrisons ,13.9,30.08.11 ,"Morrisons , Norwich ",02-Sep,04-Sep,2415 RD1 -POTSB 23911 DP  09:55 ,Plastic ,Ambient ,,1.0,750g 
88,7.0,potatoes new,7.7,"Waitrose , miniature new potatoes ",Waitrose ,30.1,30.08.11 ,"Waitrose , Norwich ",01-Sep,Batch Number: Supplier 236A GA PLO1 16:12 ,Supplier 236A GA PLO1 16:12 ,Plastic ,Ambient ,Ambient ,1.0,500g 
89,7.0,potatoes new,7.8,"Iceland , baby new potatoes ",Iceland ,8.9,30.08.11 ,"Iceland , Norwich ",02-Sep,Batch Number: 468 235 Pack code  4209 18:39 ,468 235 Pack code  4209 18:39 ,,Ambient ,Ambient ,1.0,750g 
90,7.0,potatoes new,7.9,"Tesco , Market Value , new potatoes ",Tesco Market Value ,24.8,30.08.11 ,"Tesco, Harford Bridges , Norwich ",02-Sep,Batch Number: GV1  12:11  L2 ,GV1  12:11  L2 ,Plastic ,Ambient ,Ambi ent ,1.0,1kg 
91,7.0,potatoes new,7.1,Market new potatoes ,Pack size: ,23.7,30.08. 11 ,"Independent market s tall, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Paper ,Paper ,Ambient ,Ambient ,1.0,1kg 
92,7.0,potatoes new,nan,"Garden of Elveden , premium salad potatoes ",Garden of Elveden ,Purchase Date: 17.10.2011 ,30.08.11 ,"Makro , Norwich ",Best Before Date: ,Batch Number: Supplier: 24333 Ar t No:369933 Code: 241 ,Supplier: 24333 Ar t No:369933 Code: 241 ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
93,7.0,potatoes new,7.12,"Tesco , Finest , Exquisa potatoes ",Tesco Finest ,1kg ,07.11.11 ,"Tesco, Blue Boar , Norwich ",09-Nov,11-Nov,BS1 9EO2  09:24 ,Plastic ,Ambient ,,0.0,1kg 
94,7.0,potatoes new,7.13,"Tesco , Eastern Counties , baby new potatoes ",Tesco ,1kg ,17.11.11 ,"Tesco, Blue Boar , Norwich ",09-Nov,11-Nov,GV1    21:32  L6 ,Plastic ,,Refrigerated ,0.0,1kg 
95,7.0,potatoes new,7.14,"Asda , baby new potatoes ",Asda ,1kg ,07.11.11 ,"Asda , Norwich ",10-Nov,12-Nov,QVL231 12D44179068 Site code:790829 ,Plastic ,Ambient ,Ambient ,0.0,1kg 
96,7.0,potatoes new,7.15,"Asda , new potatoes ",Asda ,2.5kg ,07.11.11 ,"Asda , Norwich ",07 N ov ,09-Nov,QVL62612A44174070 Site code: 790789 ,Plastic ,Ambient ,Ambient ,0.0,2.5kg 
97,7.0,potatoes new,7.16,"Sainsbury’s , British new potatoes ",Sainsb ury’s ,2kg ,07.11.11 ,"Sainsbury’s, Longwater , Norwich ",10-Nov,12-Nov,A0283 A Line F14 0814 JS 2kg New ,Plastic ,,Ambient ,0.0,2kg 
98,7.0,potatoes new,7.17,"Morrisons , salad potatoes ",Morrisons ,750g ,07.11.11 ,"Morrisons , Norwich ",11-Nov,13-Nov,6913  RD1 -POT8A 30911SK 11:06 ,Plastic ,Ambient ,,0.0,750g 
99,7.0,potatoes new,7.19,"Oaklands , British baby potatoes ",Oaklands ,1kg ,07.11.11 ,"Lidl, Attleborough ",11-Nov,11-Nov,4405 class 1  W0788  17:17 42mm 308 132383 ,Plastic ,Ambient ,Ambient ,0.0,1kg 
100,7.0,potatoes new   an d skin,7.2,"Tesco , Market Value , new potatoes ",Tesco Market Value ,27.7,07.11.11 ,"Tesco, Harford Bridges, Norwich ",09-Nov,,GV1    10:41   L4 ,Plastic ,Ambient ,Refrigerated ,1.0,1kg 
101,7.0,potatoes new,7.22,"Farm Fresh , baby new potatoes ",Farm Fresh ,,07.11.11 ,"Booker, Norwich ",09-Nov,Batch Number: 83 / 3 15:14  5 56957 ,83 / 3 15:14  5 56957 ,Plastic ,Ambient ,Ambient ,0.0,
102,8.0,carrots old,8.1,"Tesco , loose carrots ",Pack size: ,67.2,10.10.2011 ,"Tesco, Blue Boar , Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated ,1.0,Purchase Date: 10.10.2011 
