,Composite Sample Number,Composite Sample Name,Sub_sampleNumber,Sub-sample Name,Sample Weight,Purchase Date,Place of Purchase,Packaging,Pack size
35,30.0,"avocado pear, raw, flesh only  ",30.6,M&S Hass avocado  ,185.5,05.10.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Plastic; paper tray  ,Purchase Date:  
36,30.0,"avocado pear, raw, flesh only  ",30.7,Lidl avocado  ,264.3,,"Lidl, Drayton Road, Norwich  ",Loose  ,Purchase  Date:  
37,30.0,"avocado pear, raw, flesh only  ",30.8,Morrisons ready to eat avocados  ,169.1,07.12.15  ,"Morrisons, Albion Way, Norwich  ",Plastic  ,Count 2  
38,30.0,"avocado pear, raw, flesh only  ",30.9,The Co -operative Loved by Us 2 Avocados  ,179.6,07.12.15  ,"The Co -operative, Long Stratton , Norfolk  ",Plastic  ,Purchase Date:  
39,18.0,"beetroot, cooked  ",18.1,Tesco cooked British beetroot  ,181.8,28.09.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,300g  
40,18.0,"beetroot, cooked  ",18.2,Tesco cooked British beetroot  ,300g  ,05.10.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,300g  
41,18.0,"beetroot, cooked  ",18.3,Asda Grower’s Selection bunched beetroot  ,116.8,28.09.15  ,"Asda, Boundary Road, Norwich  ",Loose; tag: mixed material  ,500g  
42,18.0,"beetroot, cooked  ",18.4,Sainsbury’s bunched beetroot  ,133.2,28.09.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Loose  ,500g  
43,42.0,"blackberries, raw  ",42.1,Tesco British blackberries  ,9.3,26.08.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,350g  
44,42.0,"blackberries, raw  ",42.2,Tesco British supersweet blackberries  ,6.0,26.08.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,225g  
45,42.0,"blackberries, raw  ",42.3,Asda Grower’s Selection blackberries  ,5.3,16.11.15  ,"Asda, Boundary Road, Norwich  ",Plastic  ,150g  
46,42.0,"blackberries, raw  ",42.4,Sainsbury’s blackberries  ,6.0,02.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Plastic  ,150g  
47,42.0,"blackberries, raw  ",42.5,Morrisons blackberries  ,150g  ,02.11.15  ,"Morrisons, Albion Way, Norwich  ",Plastic  ,150g  
48,42.0,"blackberries, raw  ",42.6,M&S blackberries  ,9.1,09.11.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Plastic  ,150g  
49,42.0,"blackberries, raw  ",42.7,Driscoll’s blackberries  ,10.1,26.08.15  ,"Lidl, Drayton Road, Norwich  ",Plastic  ,125g  
50,42.0,"blackberries, raw  ",42.8,Sainsbury’s blackberries  ,5.7,02.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Plastic  ,150g  
51,42.0,"blackberries, raw  ",42.9,Tesco British blackberries  ,7.0,28.08.15  ,"Tesco Express, Westlegate, Norwich  ",Plastic  ,150g  
52,42.0,"blackberries, raw  ",42.1,Market blackberries  ,9.3,28.08.15  ,"Independent  Market Stall, Norwich Market  ",Plastic  ,350g  
53,42.0,"blackberries, raw  ",42.11,Bidvest Foodservice blackberries  ,5.9,24.08.15  ,Bidvest Foodservice delivery  ,Plastic  ,Purchase Date:  
54,33.0,"broad beans, fresh, boiled  ",33.1,Tesco British broad beans  ,39.2,11.08.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,500g  
55,33.0,"broad beans, fresh, boiled  ",33.2,Tesco British broad beans  ,47.6,17.08.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,500g  
