,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Pack size,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
211,14,"Broccoli (Calabrese), raw ",14.3,"Asda, British broccoli ",Asda ,300g ,05.09.2011 ,"Asda , Norwich ",,08-Sep,730000,Plastic ,Ambient ,Refrigerated 
212,14,"Broccoli (Calabrese), raw ",14.4,"Asda, broccoli loose ",Pack size: ,Purchase Date: 05.09.2011 ,05.09.2011 ,"Asda , Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
213,14,"Broccoli (Calabrese), raw ",14.5,"Sainsbury’s, broccoli, loose ",Pack size: ,Purchase Date: 05.09.2011 ,05.09.2011 ,"Sainsbury’s, Longwater , Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambi ent ,Refrigerated 
214,14,"Broccoli (Calabrese), raw ",14.6,"Morrisons, broccoli loose ",Pack size: ,Purchase Date: 05.09.2011 ,05.09.2011 ,"Morrisons , Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
215,14,"Broccoli (Calabrese), raw ",14.7,"Waitrose, broccoli, loose ",Pack size: ,Purchase Date: 05.09 .2011 ,05.09 .2011 ,"Waitrose, Wymondham ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
216,14,"Broccoli (Calabrese), raw ",14.8,"Aldi, British broccoli ",Aldi ,350g ,05.09.2011 ,"Aldi, Norwich ",Best Before Date: ,Batch Number: Supplier code: 348 JJ  Lot code: 3602 ,Supplier code: 348 JJ  Lot code: 3602 ,Plastic ,,Refrigerated 
217,14,"Broccoli (Calabrese), raw ",14.9,"Tesco, Market Value, broccoli ",Tesco Market Value ,293g ,05.09.2011 ,"Tesco, Blue Boar Road, Norwich ",06-Sep,Batch Number: 172855 CE ,172855 CE ,Plastic ,Ambient ,Refrigerated 
218,14,"Broccoli (Calabrese), raw ",14.1,Market broccoli ,Pack size: ,Purchase Date: 05.09.2011 ,05.09.2011 ,"Independent market stall, Norwich ",Best Before Date: ,Batch Number: ,Packaging: ,Sample Condition As Purchased: Ambient ,Ambient ,Refrigerated 
219,14,"Broccoli (Calabrese), raw ",14.12,"Tesco, broccoli, loose ",Pack size: ,Purchase Date: 28.11.2011 ,28.11.2011 ,"Tesco, Blue Boar Road, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
220,14,"Broccoli (Calabrese), raw ",14.13,"Tesco, broccoli, florets ",Tesco ,200g ,28.11.2011 ,"Tesco, Blue Boar Road , Norwich ",30-Nov,30-Nov,10:56  11 ,Plastic ,Ambient ,Refrigerated 
221,14,"Broccoli (Calabrese), raw ",14.14,"Asda, broccoli, loose ",Pack size: ,Purchase Date: 28.11.2011 ,28.11.2011 ,"Asda , Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
222,14,"Broccoli (Calabrese), raw ",14.15,,Asda ,335g ,28.11.2011 ,"Asda , Norwich ",28-Nov,30-Nov,900506,Plastic ,Ambie nt ,Refrigerated 
223,14,"Broccoli (Calabrese), raw ",14.16,"Sainsbury’s, broccoli ",Sainsbury’s ,300g ,28.11.2011 ,"Sainsbury’s, Longwater , Norwich ",Best Before Date: 30 Nov ,30-Nov,K0087D ,Plastic ,,Refrigerated 
224,14,"Broccoli (Calabrese), raw ",14.17,"Morrisons, broccoli, loose ",Pack size: ,Purchase Date: 28.11.2011 ,28.11.2011 ,"Morrisons , Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
225,14,"Broccoli (Calabrese), raw ",14.18,"Waitrose, broc coli, loose ",Pack size: ,Purchase Date: 28.11.2011 ,28.11.2011 ,"Waitrose, Wymondham ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
226,14,"Broccoli (Calabrese), raw ",14.19,Oaklands broccoli ,Oaklands ,500g ,28.11.2011 ,"Lidl, Norwich ",Best Before Date: ,Batch Number: W-0385 L-4702 TR2-24713496 AGRORIZAO S.L. CIF  ,W-0385 L-4702 TR2-24713496 AGRORIZAO S.L. CIF  ,Plastic ,Ambient ,Refrigerated 
227,14,"Broccoli (Calabrese), raw ",14.2,"Tesco, Market Value, broccoli ",Tesco Market Value ,339g ,28.11.2011 ,"Tesco, Blue Boar, Norwich ",30-Nov,Batch Number: ASE01(T) 178868 ,ASE01(T) 178868 ,Plastic ,Ambient ,Refrigerated 
228,14,"Broccoli (Calabrese), raw ",14.22,"Makro, broccoli, loose ",Pack size: ,Purchase Date: 28.11.2011 ,28.11.2011 ,"Makro, Norwich ",Best Before Date: ,Batch Number: ,Packaging: ,Sample Condition As Purchased: Ambient ,Ambient ,Refrigerated 
229,15,"Broccoli (Calabrese), boiled ",15.1,"Tesco, broccoli florets ",Tesco ,400g ,05.09.2011 ,"Tesco, Blue Boar , Norwich ",08-Sep,09-Sep,CE ,Plastic ,Ambient ,Refrigerated 
230,15,"Broccoli (Calabrese), boiled ",15.2,"Tesco, broccoli, loose ",Pack size: ,Purchase Date: 05.09.2011 ,05.09.2011 ,"Tesco, Blue Boar Road , Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
231,15,"Broccoli (Calabrese), boiled ",15.3,"Asda, British broccoli ",Asda ,300g ,05.09.2011 ,"Asda , Norwich ",06-Sep,08-Sep,730000,Plastic ,,Refrigerated 
232,15,"Broccoli (Calabrese), boiled ",15.4,"Asda, broccoli loose ",Pack size: ,Purchase Date: 05.09.2011 ,05.09.2011 ,"Asda , Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
233,15,"Broccoli (Calabrese), boiled ",15.5,"Sainsbury’s, broccoli, loose ",Pack size: ,Purchase Date: 05.09.2011 ,05.09.2011 ,"Sainsbur y’s, Longwater , Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
234,15,"Broccoli (Calabrese), boiled ",15.6,"Morrison s, broccoli loose ",Pack size: ,Purchase Date: 05.09.2011 ,05.09.2011 ,"Morrisons , Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,
235,15,"Broccoli (Calabrese), boiled ",15.7,"Waitrose, broccoli, loose ",Pack size: ,Purchase Date: 05.09.2011 ,05.09.2011 ,"Waitrose, Wymondham ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
236,15,"Broccoli (Calabrese), boiled ",15.8,"Aldi, British broccoli ",Aldi ,350g ,05.09.2011 ,,Best Before Date: ,Batch Number: Supplier code: 348 JJ  Lot code: 3602 ,Supplier code: 348 JJ  Lot code: 3602 ,Plastic ,Ambient ,Refrigerated 
237,15,"Broccoli (Calabrese), boiled ",15.9,"Tesco, Market Value, broccoli ",Tesco Market Value ,293g ,05.09.2011 ,"Tesco, Blue Boar Road, Norwich ",06-Sep,Batch Number: 172855 CE ,172855 CE ,Plastic ,Ambient ,Refrigerated 
238,15,"Broccoli (Calabrese), boiled ",15.1,Market broccoli ,Pack size: ,Purchase Date: 05.09.2011 ,05.09.2011 ,"Independent market stall, Norwich ",Best Before Date: ,Batch Number: ,Packaging: ,Sample Condition As Purchased: Ambient ,Ambient ,Refrigerated 
239,15,"Broccoli (Calabrese), boiled ",15.11,,Pack size: ,Purchase Date: 05.09.2011 ,05.09.2011 ,"Makro, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Cardboard ,Cardboard ,Ambient ,Refrigerated 
240,15,"Broccoli (Calabrese), boiled ",15.13,"Tesco, broccoli, florets ",Tesco ,200g ,28.11.2011 ,"Tesco, Blue Boar Road , Norwich ",30-Nov,30-Nov,10:56  11 ,Plastic ,Ambient ,Refrigerated 
241,15,"Broccoli (Calabrese), boiled ",15.14,"Asda, broccoli, loose ",Pack size: ,Purchase Date: 28.11.2011 ,28.11.2011 ,"Asda , Norwich ",Best Before Date : ,,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
242,15,"Broccoli (Calabrese), boiled ",15.15,"Asda, broccoli ",Asda ,335g ,28.11.2011 ,"Asda , Norwich ",28-Nov,30-Nov,900506,Plastic ,Ambient ,Refrigerated 
243,15,"Broccoli (Calabrese), boiled ",15.16,"Sainsbury’s, broccoli ",Sainsbury’s ,300g ,28.11.2011 ,"Sainsbury’s, Longwater , Norwich ",Best Before Date: 30 Nov ,30-Nov,K0087D ,Plastic ,Ambient ,Refrigerated 
244,15,"Broccoli (Calabrese), boiled ",15.17,"Morrisons, broccoli, loose ",Pack size: ,Purchase Date: 28.11.2011 ,28.11.2011 ,"Morrisons , Norwich ",Best Before Date: ,Batch Numbe r: ,,Plastic ,Ambient ,Refrigerated 
245,15,"Broccoli (Calabrese), boiled ",15.18,"Waitrose, broccoli, loose ",Pack size: ,Purchase Date: 28.11.2011 ,28.11.2011 ,"Waitrose, Wymondham ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
246,15,"Broccoli (Calabrese), boiled ",15.19,Oaklands broccoli ,Oaklands ,500g ,28.11.2011 ,"Lidl, Norwich ",Best Before Date: ,Batch Number: W-0385 L -4702 TR2-24713496 AGRORIZAO S.L. CIF  ,W-0385 L -4702 TR2-24713496 AGRORIZAO S.L. CIF  ,Plast ic ,Ambient ,Refrigerated 
247,15,"Broccoli (Calabrese), boiled ",15.2,"Tesco, Market Value, broccoli ",Tesco Market Value ,339g ,28.11.2011 ,"Tesco, Blue Boar, Norwich ",30-Nov,Batch Number: ASE01(T) 178868 ,ASE01(T) 178868 ,Plastic ,Ambient ,Refrigerated 
248,15,"Broccoli (Calabrese), boiled ",15.21,Market broccoli ,Pack size: ,Purchase Date: 28.11.2011 ,28.11.2011 ,"Independent market stall, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,,Refrigerated 
249,15,"Broccoli (Calabrese), boiled ",15.22,"Makro, broccoli, loose ",Pack size: ,Purchase Date: 28.11.2011 ,28.11.2011 ,"Makro, Norwich ",Best Before Date: ,Batch Number: ,Packaging: ,Sample Condition As Purchased: Ambient ,Ambient ,Refrigerated 
250,16,"Broccoli (Calabrese), steamed ",16.1,"Tesco, broccoli florets ",Tesc o ,400g ,05.09.2011 ,"Tesco, Blue Boar , Norwich ",08-Sep,09-Sep,CE ,Plastic ,Ambient ,
251,,"Broccoli (Calabrese), steamed ",16.2,"Tesco, broccoli, loose ",Pack size: ,Purchase Date: 05.09.2011 ,05.09.2011 ,"Tesco, Blue Boar Road , Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
252,16,"Broccoli (Calabrese), steamed ",16.3,"Asda, British broccoli ",Asda ,,05.09.2011 ,"Asda , Norwich ",06-Sep,08-Sep,730000,Plastic ,Ambient ,Refrigerated 
253,16,"Broccoli (Calabrese), steamed ",16.4,"Asda, broccoli loose ",Pack size: ,Purchase Date: 05.09.2011 ,05.09.2011 ,"Asda , Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
254,16,"Broccoli (Calabrese), steamed ",16.6,"Morrisons, broccoli loose ",Pack size: ,Purchase D ate: 05.09.2011 ,,"Morrisons , Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
255,16,"Broccoli (Calabrese), steamed ",16.7,"Waitrose, broccoli, loose ",Pack size: ,Purchase Date: 05.09.2011 ,05.09.2011 ,"Waitrose, Wymondham ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
256,16,"Broccoli (Calabrese), steamed ",16.8,"Aldi, British broccoli ",Aldi ,350g ,05.09.2011 ,"Aldi, Norwich ",Best Before Date: ,Batch Number: Supplier code: 348 JJ  Lot code: 3602 ,Supplier code: 348 JJ  Lot code: 3602 ,Plastic ,Ambient ,Refrigerated 
257,16,"Broccoli (Calabrese), steamed ",16.9,"Tesco, Market Value, broccoli ",Tesco Market Value ,293g ,05.09.2011 ,"Tesco, Blue Boar Road, Norwich ",06-Sep,Batch Number: 172855 CE ,172855 CE ,Plastic ,,Refrigerated 
258,,"Broccoli (Calabrese), steamed ",16.1,Market broccoli ,Pack size: ,Purchase Date: 05.09.2011 ,05.09.2011 ,"Independent market stall, Norwic h ",Best Before Date: ,Batch Number: ,Packaging: ,Sample Condition As Purchased: Ambient ,Ambient ,Refrigerated 
259,16,"Broccoli (Calabrese), steamed ",16.11,"Macro, broccoli, loose ",Pack size: ,Purchase Date: 05.09.2011 ,05.09.2011 ,"Makro, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Cardboard ,Cardboard ,Ambient ,Refrigerated 
260,16,"Broccoli (Calabrese), steamed ",,"Tesco, broccoli, loose ",Pack size: ,Purchase Date: 28.11.2011 ,28.11.2011 ,"Tesco, Blue Boar Road, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,,Refrigerated 
261,,"Broccoli (Calabrese), steamed ",16.13,"Tesco, broccoli, florets ",Tesco ,200g ,28.11.2011 ,"Tesco, Blue Boar Road , Norwich ",30-Nov,30-Nov,10:56  11 ,Plastic ,Ambient ,Refrigerated 
262,16,"Broccoli (Calabr ese), steamed ",16.14,"Asda, broccoli, loose ",Pack size: ,Purchase Date: 28.11.2011 ,28.11.2011 ,"Asda , Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
263,,"Broccoli (Calabrese), steamed ",16.15,"Asda, broccoli ",Asda ,335g ,28.11.2011 ,"Asda , Norwich ",,30-Nov,900506,Plastic ,Ambient ,Refrigerated 
264,16,"Broccoli (Calabrese), steamed ",16.16,"Sainsbury’s, broccoli ",Sainsbury’s ,300g ,28.11.2011 ,"Sainsbury’s, Longwater , Norwich ",Best Before Date: 30 Nov ,30-Nov,K0087D ,Plastic ,Ambient ,Refrigerated 
265,16,"Broccoli (Calabrese), steamed ",,"Morrisons, broccoli, loose ",Pack size: ,Purchase Date: 28.11.2011 ,28.11.2011 ,"Morrisons , Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
266,,"Broccoli (Calabrese), steamed ",16.18,"Waitrose, broccoli, loose ",Pack size: ,Purchase Date: 28.11.2011 ,28.11.2011 ,"Waitrose, Wymondham ",,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
267,16,"Broccoli (Calabrese), steamed ",16.19,Oaklands broccoli ,Oaklands ,500g ,28.11.2011 ,"Lidl, Norwich ",Best Before Date: ,Batch Number: W-0385 L -4702 TR2-24713496 AGRORIZAO S.L. CIF  ,W-0385 L -4702 TR2-24713496 AGRORIZAO S.L. CIF  ,Plastic ,Ambie nt ,Refrigerated 
268,16,"Broccoli (Calabrese), steamed ",16.2,"Tesco, Market Value, broccoli ",Tesco Market Value ,339g ,28.11.2011 ,"Tesco, Blue Boar, Nor wich ",30-Nov,Batch Number: ASE01(T) 178868 ,ASE01(T) 178868 ,Plastic ,Ambient ,Refrigerated 
269,16,"Broccoli (Calabrese), steamed ",16.21,Market broccoli ,Pack size: ,Purchase Date: 28.11.2011 ,28.11.2011 ,"Independent market stall, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
270,16,"Brocco li (Calabrese), steamed ",16.22,"Makro, broccoli, loose ",Pack size: ,Purchase Date: 28.11.2011 ,28.11.2011 ,"Makro, Norwich ",Best Before Date: ,Batch Number: ,Packaging: ,Sample Condition As Purchased: Ambient ,Ambient ,Refrigerated 
271,17,"Mushrooms, raw ",17.1,"Tesco, British closed cup mushrooms ",Tesco ,250g ,03.10.2011 ,"Tesco, Harford Bridges , Norwich ",04-Oct,06-Oct,232 GS15 ,Plastic ,Ambient ,Refrigerated 
272,17,"Mushro oms, raw ",17.2,"Tesco , mushrooms , loose ",Pack size: ,Purchase Date: 03.10.2011 ,03.10.2011 ,"Tesco, Harford Bridges , Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
273,17,"Mushrooms, raw ",17.3,"Asda, British closed cup mushrooms ",Asda ,250g ,03.10.2011 ,"Asda , Norwich ",05-Oct,07-Oct,640001 class I ,Plastic ,Ambient ,Refrigerated 
274,17,"Mushrooms, raw ",17.4,"Asda, mushrooms loose ",Pack size: ,Purchase Date: 03.10.2011 ,03.10.2011 ,"Asda , Norwich ",Best Before Date: ,Batch Number: ,Packaging: Paper ,Paper ,Ambient ,Refrigerated 
275,17,"Mushrooms, raw ",17.5,"Sainsbury’s , sliced mushrooms ",Sainsbury’s ,250g ,03.10.2011 ,"Sainsbury’s, Longwater , Norwich ",Best Before Date: 07 Oct ,07-Oct,M0819N ,Plastic ,Ambient ,Refrigerated 
276,17,"Mushrooms, raw ",17.6,"Morrisons, button mushrooms ",Morrisons ,250g ,03.10.2011 ,,05-Oct,06-Oct,1379/06 ,Plastic ,Ambient ,Refrigerated 
277,17,"Mushrooms, raw ",17.7,"Waitrose, mushro oms, loose ",Pack size: ,Purchase Date: 03.10.2011 ,03.10.2011 ,"Waitrose, Wymondham ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
278,17,"Mushrooms, raw ",17.8,"Aldi, button mushrooms ",Aldi ,150g ,03.10.2011 ,"Aldi, Norwich ",Best Before Date: ,Batch Number: Supplier code: 685 WM 6. Lot code: 4001 ,Supplier code: 685 WM 6. Lot code: 4001 ,Plastic ,Ambient ,Refrigerated 
279,17,"Mushrooms, raw ",17.9,"Asda, Smart Price, mushrooms ",Asda Smart Price ,750g ,03.10.2011 ,"Asda, Norwich ",04-Oct,06-Oct,ASL0906225 Ireland 987001 ,Plastic ,Ambient ,Refrigerated 
280,17,"Mushrooms, raw ",,"Waveney, cultivated cut mushrooms ",Waveney Mushrooms Ltd ,1.361kg (3lb) ,03.10.2011 ,"Independent market stall, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
281,17,"Mushrooms, raw ",17.11,"Makro, button mushrooms ",Makro ,,03.10.2011 ,"Makro, Norwich ",Best Before Date: ,Batch Number: 273 24296 355311 ,273 24296 355311 ,Plastic ,Ambient ,Refrigerated 
282,18,"Mushrooms, stewed ",18.2,"Tesco , mushrooms , loose ",Pack size: ,Purchase Date: 03.10.2011 ,03.10.2011 ,"Tesco, Harford Bridges , Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
283,18,"Mushrooms, stewed ",18.4,"Asda, mushrooms loose ",Pack size: ,Purchase Date: 03.10.2011 ,03.10.2011 ,"Asda , Norwich ",,Batch Number: ,Packaging: Paper ,Paper ,Ambient ,Refrigerated 
284,18,"Mushrooms, stewed ",18.5,"Sainsbury’s, sliced mushrooms ",Sainsbury’s ,250g ,03.10.2011 ,"Sainsbury’s, Longwater , Norwich ",Best Before Date: 07 Oct ,07-Oct,M0819N ,Plastic ,Ambient ,Refrigerated 
285,,"Mushrooms, stewed ",18.6,"Morrisons, button mushrooms ",Morrisons ,250g ,03.10.2011 ,"Morrisons , Norwich ",,06-Oct,1379/06 ,Plastic ,Ambient ,Refrigerated 
286,18,"Mushrooms, stewed ",18.7,"Waitrose, mushrooms, loose ",Pack size: ,Purchase Date: 03.10.2011 ,03.10.2011 ,"Waitrose, Wymondham ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
287,18,"Mushrooms, stewed ",18.8,"Aldi, button mushrooms ",Aldi ,150g ,03.10.2011 ,"Aldi, Norwich ",Best Before Date: ,Batch Number: Supplier code: 685 WM 6. Lot code: 4001 ,Supplier code: 685 WM 6. Lot code: 4001 ,Plastic ,Ambient ,Refrigerated 
288,18,"Mushrooms, stewed ",18.9,"Asda, Smart Price, mushrooms ",Asda Smart Price ,750g ,03.10.2011 ,"Asda, Norwich ",04-Oct,06-Oct,ASL0906225 Ireland 987001 ,Plastic ,Ambient ,Refrigerated 
289,18,"Mushrooms, stewed ",18.1,"Waveney, cultivated cut mushrooms ",Waveney Mushrooms Ltd ,1.361kg (3lb) ,03.10.2011 ,"Independent market stall, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plast ic ,Plast ic ,Ambient ,Refrigerated 
290,18,"Mushrooms, stewed ",18.11,"Makro, button mushrooms ",Makro ,250g ,03.10.2011 ,"Makro, Norwich ",Best Before Date: ,Batch Number: 273 24296 355311 ,273 24296 355311 ,Plastic ,Ambient ,Refrigerated 
291,19,"Mushrooms, cooked in sunflower oil ",19.2,"Tesco , mushrooms , loose ",Pack size: ,Purchase Date: 03.10.2011 ,03.10.2011 ,"Tesco, Harford Bridges , Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,,Refrigerated 
292,,"Mushrooms, cooked in sunflower oil ",19.3,"Asda, British closed cup mushrooms ",Asda ,250g ,03.10.2011 ,"Asda , Norwic h ",05-Oct,07-Oct,640001 class I ,Plastic ,Ambient ,Refrigerated 
293,19,"Mushrooms, cooked in sunflower oil ",19.4,"Asda, mushrooms loose ",Pack size: ,Purchase Date : 03.10.2011 ,,"Asda , Norwich ",Best Before Date: ,Batch Number: ,Packaging: Paper ,Paper ,Ambient ,Refrigerated 
294,19,"Mushrooms, cooked in sunflower oil ",19.5,"Sainsbury’s, sliced mushrooms ",Sainsbury’s ,250g ,03.10.2011 ,"Sainsbury’s, Longwater , Norwich ",Best Before Date: 07 Oct ,07-Oct,M0819N ,Plastic ,Ambient ,Refrigerated 
295,19,"Mushrooms, cooked in sunflower oil ",19.6,"Morrisons, button mushrooms ",Morrisons ,250g ,03.10.2011 ,"Morrisons , Norwich ",05-Oct,06-Oct,1379/06 ,Plastic ,Ambient ,Refrigerated 
296,19,"Mushrooms, cooked in sunflowe r oil ",19.7,"Waitrose, mushrooms, loose ",Pack size: ,Purchase Date: 03.10.2011 ,03.10.2011 ,"Waitrose, Wymondham ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
297,19,"Mushrooms, cooked in sunflower oil ",19.8,"Aldi, button mushrooms ",Aldi ,150g ,03.10.2011 ,"Aldi, Norwich ",Best Before Date: ,Batch Number: Supplier code: 685 WM 6. Lot code: 4001 ,Supplier code: 685 WM 6. Lot code: 4001 ,Plastic ,Ambient ,Refrigerated 
298,19,"Mushrooms, cooked in sunflower oil ",19.9,"Asda, Smart Price, mushrooms ",Asda Smart Price ,750g ,03.10.2011 ,"Asda, Norwich ",04-Oct,06-Oct,ASL0906225 Ireland 987001 ,,Ambient ,Refrigerated 
299,19,"Mushrooms, cooked in sunflower oil ",19.1,"Waveney, cultivated cut mushrooms ",Waveney Mushrooms Ltd ,1.361kg (3lb) ,03.10.2011 ,"Independent market stall, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
300,20,"Sweetcorn, kern els, boiled ‘on the cob’ ",20.1,"Tesco, sweetcorn cobettes ",Tesco ,Purchase Date: 05.09.2011 ,05.09.2011 ,"Tesco, Blue Boar Road , Norwich ",08-Sep,10-Sep,Supplier code: SADI ,Plastic ,Ambient ,Refrigerated 
301,20,"Sweetcorn, kern els, boiled ‘on the cob’ ",20.2,"Tesco, Finest , tendersweet sweetcorn ",Tesco Finest ,Purchase Date: 05.09.2011 ,05.09.2011 ,"Tesco, Blue Boar , Norwich ",07-Sep,09-Sep,Supplier code  BOB01  10:48 ,Plast ic ,Ambient ,Refrigerated 
302,20,"Sweetcorn, kern els, boiled ‘on the cob’ ",20.3,"Asda, swe etcorn cobettes ",Asda ,4 pack ,05.09.2011 ,"Asda , Norwich ",08-Sep,10-Sep,700244 SHP ,Plastic ,Ambient ,Refrigerated 
303,20,"Sweetcorn, kern els, boiled ‘on the cob’ ",20.4,"Asda, sweetcorn ",Asda ,2 pack ,05.09.2011 ,"Asda , Norwich ",,10-Sep,700244 SHP ,Plastic ,Ambient ,Refrigerated 
304,20,"Sweetcorn, kern els, boiled ‘on the cob’ ",20.5,"Sainsbur y’s, British sweetcorn cobettes ",Sainsbury’s ,Purchase Date: 05.09.2011 ,05.09.2011 ,"Sainsbury’s, Longwater, Norwich ",08-Sep,10-Sep,B0090B   17:19  6 2a ,Plastic ,Ambient ,Refrigerated 
305,20,"Sweetcorn, kern els, boiled ‘on the cob’ ",20.6,"Morrisons, sweetco rn cobs ",Morrisons ,2 pack ,05.09.2011 ,"Morrisons, Norwich ",09-Sep,11-Sep,2593/02  02 22:33 ,Plastic ,,Refrigerated 
306,20,"Sweetcorn, kern els, boiled ‘on the cob’ ",20.7,"Waitrose, Sweetcorn kebabs ",Waitrose ,Purchase Date: 05.09.2011 ,05.09.2011 ,"Waitrose, Wymondham ",07-Sep,Batch Number: 2b4 12:41   111A  AA ,2b4 12:41   111A  AA ,Plastic ,Ambient ,Refrigerated 
307,20,"Sweetcorn, kern els, boiled ‘on the cob’ ",,"Aldi, sweetcorn ",Aldi ,2 cobs ,05.09.2011 ,"Aldi, Norwich ",Best Before Date: ,Batch Number: 3603 (4) 12 Supplier code: 0570 ,3603 (4) 12 Supplier code: 0570 ,,Ambient ,Refrigerated 
308,20,"Sweetcorn, kern els, boiled ‘on the cob’ ",20.9,"Market sweetcorn, loose ",Pack size: ,Purchase Date: 05.09.2011 ,05.09.2011 ,"Independent market stall, Norwich ",Best Before Date: ,Batch Number: ,Packaging: ,Sample Condition As Purchased: Ambient ,Ambient ,Refrigerated 
309,20,"Sweetcorn, kern els, boiled ‘on the cob’ ",20.1,,Tesco ,Twin pack ,28.11.2011 ,"Tesco, Blue Boar , Norwich ",30-Nov,02-Dec,SADI ,Plastic ,,Refrigerated 
310,20,"Sweetcorn, kern els, boiled ‘on the cob’ ",20.11,"Tesco, family pack, supersweet sweetcorn ",Tesco ,Family pack ,28.11.2011 ,"Tesco, Blue Boar Road , Norwich ",01-Dec,03-Dec,SADI ,Plastic ,Ambient ,Refrigerated 
311,20,"Sweetcorn, kern els, boiled ‘on the cob’ ",20.12,"Asda, sweetcorn cobettes ",Asda ,4 pack ,,"Asda , Norwich ",30-Nov,02-Dec,700273 1911 4 ,Plastic ,Ambient ,Refrigerated 
312,20,"Sweetcorn, kern els, boiled ‘on the cob’ ",20.13,"Asda, Sweetcorn ",Asda ,2 pack ,28.11.2011 ,"Asda , Norwich ",30-Nov,02-Dec,700275 7 384 ,Plastic ,Ambient ,Refrigerated 
313,20,"Sweetcorn, kern els, boiled ‘on the cob’ ",20.14,"Sainsbury’s, sweetcorn cobettes ",Sainsbury’s ,Purchase Date: 28.11.2011 ,28.11.2011 ,"Sainsbury’s, Longwater , Norwich ",01-Dec,03-Dec,B0090 B   16:26  6 2a ,Plastic ,,Refrigerated 
314,20,"Sweetcorn, kern els, boiled ‘on the cob’ ",20.15,"Morrisons, sweetcorn cobettes ",Morrisons ,4 cobs ,28.11.2011 ,"Morrisons , Norwich ",29-Nov-11,01-Dec-11,2593/02  23 14:22 ,Plastic ,Ambient ,Refrigerated 
315,20,"Sweetcorn, kern els, boiled ‘on the cob’ ",20.16,"The Co -operative, corn on the cob ",The Co -operative ,2 cobs ,28.11.2011 ,"The Co-operative , Wymondham ",Best Before Date: 30 Nov ,30-Nov,Supplied by M244 ,Plastic ,Ambient ,Refrigerated 
