,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Pack size,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
45,3,"Potatoes, old, baked, flesh and skin ",3.5,"Sainsbury’s , British King Edward potatoes ",Sainsbury’s ,2.5kg ,03.10.2011 ,"Sainsbury’s, Longwater , Norwich ",05-Oct,07-Oct,A0283 B Line D 5 2001 ,Plastic ,,Ambient 
46,3,"Potatoes, old, baked, flesh and skin ",3.6,"Morrisons , white potatoes ",Morrisons ,2.5kg ,03.10.2011 ,"Morrisons , Norwich ",05-Oct,07-Oct,3104 RD1 -POT5B27311 8S 13:5C ,Plastic ,Ambient ,Ambient 
47,3,"Potatoes, old, baked, flesh and skin ",3.7,"Waitrose , Maris Piper p otatoes ",Waitrose ,2.5kg ,03.10.2011 ,"Waitrose, Wymondham ",07-Oct,,Supplier 236A HC PL5  10:39 r 236A ,Plastic ,Ambient ,Ambient 
48,3,"Potatoes, old, baked, flesh and skin ",3.8,,Aldi ,2.5kg ,03.10.2011 ,"Aldi, Norwich ",Best Before Date: ,Batch Number: 3906 33L11052609 348 ,3906 33L11052609 348 ,Plastic ,,Ambient 
49,,"Potatoes, old, baked, flesh and skin ",3.9,"Tesco , Market Value p otatoes ",Tesco Market Value ,5kg ,03.10.2011 ,"Tesco, Harford Bridges , Norwich ",06-Oct,Batch Number: GV1    23:26  L3 ,GV1    23:26  L3 ,Plastic ,Ambient ,Ambient 
50,3,"Potatoes, old, baked, flesh and skin ",3.1,Market old p otatoes ,Pack size: ,Purchase Date: 03.10.2011 ,03.10.2011 ,"Independent market stall , Norwich ",,Batch Number: ,Packaging: Paper ,Paper ,Ambient ,Ambient 
51,3,"Potatoes, old, baked, flesh and skin ",3.11,Garden of Elveden w hite potatoes ,Garden of Elveden ,10 x 2kg ,03.10.2011 ,"Makro , Norwich ",Best Before Date: ,Batch Number: Supplier:24333 Art No:368824 Code:273 ,Supplier:24333 Art No:368824 Code:273 ,Plastic ,Ambient ,Ambient 
52,3,"Potatoes, old, baked, flesh and skin ",3.12,"Tesco , British King Edward p otatoes ",Tesco ,2.5kg ,16.01.2012 ,"Tesco, Blue Boar Road , Norwich ",19-Jan,21-Jan,GV1  20:07  L3 ,Plastic ,Ambient ,Ambient 
53,3,"Potatoes, old, baked, flesh and skin ",3.13,"Tesco , Scottish Maris Piper p otatoes ",Tesco ,2.5kg ,,"Tesco, Blue Boar Road , Norwich ",18-Jan,20-Jan,GV3 16:50 LD ,Plastic ,Ambient ,Ambient 
54,3,"Potatoes, old, baked, flesh and skin ",3.14,"Asda , British white p otatoes ",Asda ,2.5kg ,16.01.2012 ,"Asda , Norwich ",Best Before Date: ,Batch Number: QVL60217D02183443 Site code: 790180 ,QVL60217D02183443 Site code: 790180 ,Plastic ,Ambient ,Ambient 
55,3,"Potatoes, old, baked, flesh and skin ",,"Asda , British white p otatoes ",Asda ,2.5kg ,16.01.2012 ,"Asda , Norwich ",Best Before Date: ,Batch Number: QVL65719C02183457 Site code: 790123 ,QVL65719C02183457 Site code: 790123 ,Plastic ,Ambient ,Ambient 
56,,"Potatoes, old, baked, flesh and skin ",3.16,"Sainsbury’s , Desiree p otatoes ",Sainsbury’s ,2.5kg ,16.01.2012 ,"Sainsbury’s, Longwater , Norwich ",Best Before Date: 20 Jan ,20-Jan,D0646C  2253L2 ,Plastic ,Ambient ,Ambient 
57,3,"Potatoes, old, baked, flesh and skin ",3.17,"Morrison s, white p otatoes ",Morrisons ,2.5kg ,16.01.2012 ,"Morrisons , Norwich ",19-Jan,21-Jan,12961 RD1 -POT7A01412KC 04:15 ,Plastic ,Ambient ,Ambient 
58,3,"Potatoes, old, baked, flesh and skin ",3.18,"The Co -operative , white potatoes ",The C o-operative ,2.5kg ,16.01.2012 ,"The Co-operative , Wymondham ",Best Before Date: 18 Jan ,18-Jan,M082 / 8858 ,Plastic ,Ambient ,Ambient 
59,,"Potatoes, old, baked, flesh and skin ",3.19,British r ed potatoes ,Aldi ,1.5kg ,16.01.2012 ,"Aldi, Norwich ",,Batch Number: 03 04 QVPL216551401 348 ,03 04 QVPL216551401 348 ,Plastic ,Ambient ,Ambient 
60,3,"Potatoes, old, baked, flesh and skin ",3.2,"Sainsbury’ s, basics potatoes ",Sainsbury’s basics ,2.5kg ,16.01.2012 ,"Sainsbury’s, Longwater, Norwich ",Best Before Date: 19 Jan ,19-Jan,D0646C (2) 23:30 ,Plastic ,Ambient ,Ambient 
61,3,"Potatoes, old, baked, flesh and skin ",3.21,Market old potatoes ,Pack size: ,Purchase Date: 16.01.2012 ,16.01.2012 ,"Independent m arket stall, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Ambient 
62,3,"Potatoes, old, baked, flesh and skin ",3.22,"Farm Fresh , washed white potatoes ",Farm Fresh ,2kg ,16.01.2012 ,"Booker , Norwich ",Best Before Date: ,Batch Number: 43/2 07:25 56957 ,43/2 07:25 56957 ,,Ambient ,Ambient 
63,4,"Potatoes, old, roasted , flesh only ",4.1,,Tesco ,2.5kg ,16.01.2012 ,"Tesco, Blue Boar Road , Norwich ",19-Jan,21-Jan,GV1 20:07 L3 ,Plastic ,Ambient ,Ambient 
64,4,"Potatoes, old, roasted, flesh only ",4.2,"Tesco , Scottish Maris Piper potatoes ",Tesco ,2.5kg ,16.01.2012 ,"Tesco, Blue Boar Road , Norwich ",18-Jan,20-Jan,GV3 16:50 LD ,Plastic ,,Ambient 
65,4,"Potatoes, old, roasted, flesh only ",4.3,"Asda , British w hite potatoes ",Asda ,2.5kg ,16.01.2012 ,"Asda , Norwich ",Best Before Date: ,Batch Number: QVL60217D02183443 Site code: 790180 ,QVL60217D02183443 Site code: 790180 ,Plastic ,,Ambient 
66,4,"Potatoes, old, roasted, flesh only ",4.5,"Sainsbury’s , Desiree potatoes ",Sainsbury’s ,2.5kg ,16.01.2012 ,"Sainsbury’s, Longwater , Norwich ",Best Before Date: 20 Jan ,20-Jan,D0646C  2253L2 ,Plastic ,Ambient ,
67,4,"Potatoes, old, roasted, flesh only ",4.6,"Morrisons , white potatoes ",Morrisons ,2.5kg ,16.01.2012 ,"Morrisons , Norwich ",19-Jan,21-Jan,,Plastic ,Ambient ,Ambient 
68,4,"Potatoes, old, roasted, flesh only ",4.8,British r ed potatoes ,Aldi ,1.5kg ,16.01.2012 ,"Aldi, Norwich ",Best Before Date: ,Batch Number: 03 04 QVPL216551401 348 ,03 04 QVPL216551401 348 ,Plastic ,Ambient ,Ambient 
69,4,"Potatoes, old, roasted, flesh only ",4.9,"Sainsbury’s , basics Potatoes ",Sainsbury’s basics ,2.5kg ,16.01.2012 ,"Sainsbury’s, Longwater, Norwich ",Best Before Date: 19 Jan ,19-Jan,D0646C (2) 23:30 ,Plastic ,Ambient ,Ambient 
70,4,"Potatoes, old, roasted, flesh only ",4.1,Market o ld potato es ,Pack size: ,Purchase Date: 16.01.2012 ,16.01.2012 ,"Independent market stall , Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,
71,4,"Potatoes, old, roasted, flesh only ",4.11,"Farm Fresh , washed white potatoes ",Farm Fresh ,2kg ,16.01.2012 ,"Booker , Norwich ",Best Before Date: ,Batch Number: 43/2 07:25 56957 ,43/2 07:25 56957 ,Plastic ,Ambient ,Ambient 
72,6,"Potatoes, old, microwaved , flesh and skin ",6.1,"Tesco , British King Edward p otatoes ",Tesco ,2.5kg ,16.01.2012 ,"Tesco, Blue Boar Road , Norwich ",19-Jan,21-Jan,GV1  20:07  L3 ,Plastic ,Ambient ,Ambient 
73,6,"Potatoes, old, microwaved, flesh and skin ",6.2,"Tesco , Scottish Maris Piper potatoes ",Tesco ,2.5kg ,16.01.2012 ,"Tesco, Blue Boar Road , Norwich ",18-Jan,20-Jan,GV3  16:50  LD ,Plastic ,Ambient ,Ambient 
74,6,"Potatoes, old, micr owaved, flesh and skin ",6.3,"Asda , British white potatoes ",Asda ,2.5kg ,16.01.2012 ,"Asda , Norwich ",Best Before Date: ,Batch Number: QVL60217D02183443 Site code: 790180 ,QVL60217D02183443 Site code: 790180 ,Plastic ,Ambient ,Ambient 
75,6,"Potatoes, old, microwaved , flesh and skin ",6.4,"Asda , British white potatoes ",Asda ,2.5kg ,16.01. 2012 ,"Asda , Norwich ",Best Before Date: ,Batch Number: QVL65719C02183457 Site code: 790123 ,QVL65719C02183457 Site code: 790123 ,Plastic ,Ambient ,Ambient 
76,6,"Potatoes, old, microwaved , flesh and skin ",6.5,"Sainsbury’s , Desiree potatoes ",Sainsbury’s ,2.5kg ,16.01.2012 ,"Sainsbury’s, Longwater , Norwich ",Best Before Date: 20 Jan ,20-Jan,D0646C  2253L2 ,Plastic ,Ambient ,Ambient 
77,6,"Potatoes, old, microwaved , flesh and skin ",6.6,"Morrisons , white potatoes ",Morrisons ,2.5kg ,16.01.2012 ,"Morris ons, Norwich ",19-Jan,21-Jan,12961 RD1 -POT7A01412KC 04:15 ,Plastic ,Ambient ,Ambient 
78,6,"Potatoes, old, microwaved , flesh and skin ",6.7,,The Co-operative ,2.5kg ,16.01.2012 ,"The Co-operative , Wymondham ",Best Before Date: 18 Jan ,18-Jan,M082 / 8858 ,Plastic ,Ambient ,Ambient 
79,6,"Potatoes, old, microwaved , flesh and skin ",6.8,British red potatoes ,Aldi ,1.5kg ,16.01.2012 ,"Aldi, Norwich ",Best Before Date: ,Batch Number: 03 04  QVPL216551401  348 ,03 04  QVPL216551401  348 ,Plastic ,,Ambient 
80,6,"Potatoes, old, microwaved , flesh and skin ",6.9,"Sainsbury’s , basics potatoes ",Sainsbury’s basics ,2.5kg ,16.01.2012 ,"Sainsbury’s, Longwater, Norwich ",Best Before Date: 19 Jan ,19-Jan,D0646C (2) 23:30 ,Plastic ,Ambient ,Ambient 
81,6,"Potatoes, old, microwaved , flesh and skin ",6.11,"Farm Fresh , washed white potatoes ",Farm Fresh ,2kg ,16.01.2012 ,"Booker , Norwich ",Best Before Date: ,Batch Number: 43/2  07:25  56957 ,43/2  07:25  56957 ,Plastic ,Ambient ,Ambient 
82,7,"Potatoes, new, boiled, flesh and skin ",7.1,"Tesco , Eastern Counties , baby new potatoes ",Tesco ,1kg ,31.08.11 ,"Tesco, Harford Bridges , Norwich ",01-Sep,03-Sep,GV1    00:48   L4 ,Plastic ,Ambient ,Ambient 
83,7,"Potatoes, new, boiled, flesh and skin ",7.2,"Tesco , Eastern Counties , Charlot te potatoes ",Tesco ,1kg ,31.08.11 ,"Tesco, Harford Bridges , Norwich ",03-Sep,05-Sep,GV1  18:08  L6 ,Plastic ,Ambient ,Refrigerated 
84,7,"Potatoes, new, boiled, flesh and skin ",,"Asda , baby new potatoes ",Asda ,1kg ,30.08.11 ,"Asda , Norwich ",04-Sep,06-Sep,QVL22107A35 Site code:790354 ,,Ambient ,Ambient 
85,7,"Potatoes, new, boiled, flesh and skin ",7.4,"Heygate Farms , Norfolk Peer , Best new potatoes ",Heygate Farms ,750g ,30.08.11 ,"Asda , Norwich ",01-Sep,03-Sep,7a 07:05   240 620367 ,Plastic ,Ambient ,Refrigerated 
86,7,"Potatoes, new, boiled, flesh and skin ",7.5,"Sainsbury’s , Taste The Difference , British Anya potatoes ",Sainsbury’s Taste The D ifference ,750g ,30.08.11 ,"Sainsbury’s , Longwater, Norwich ",03-Sep,05-Sep,A0283 B LineA 2A  0808 ,Plastic ,,Ambient 
87,7,"Potatoes, new, boiled, flesh and skin ",7.6,"Morrisons , salad potatoes ",Morrisons ,750g ,30.08.11 ,"Morrisons , Norwich ",02-Sep,04-Sep,2415 RD1 -POTSB 23911 DP  09:55 ,Plastic ,Ambient ,
88,7,"Potatoes, new, boiled, flesh and skin ",7.7,"Waitrose , miniature new potatoes ",Waitrose ,500g ,30.08.11 ,"Waitrose , Norwich ",01-Sep,Batch Number: Supplier 236A GA PLO1 16:12 ,Supplier 236A GA PLO1 16:12 ,Plastic ,Ambient ,Ambient 
89,7,"Potatoes, new, boiled, flesh and skin ",7.8,"Iceland , baby new potatoes ",Iceland ,750g ,30.08.11 ,"Iceland , Norwich ",02-Sep,Batch Number: 468 235 Pack code  4209 18:39 ,468 235 Pack code  4209 18:39 ,,Ambient ,Ambient 
