,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Sample Weight,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
373,24.0,"Cauliflower, raw ",24.1,"Tesco, Lincolnshire extra large cauliflower ",Tesco ,1123.0,17.10.2011 ,"Tesco, Harford Bridges , Norwich ",20-Oct,Batch Number: Supplier code: CE ,Supplier code: CE ,Plastic ,Ambient ,Refrigerated 
374,24.0,"Cauliflower, raw ",24.2,"Tesco , Lincolnshire cauliflower ",Tesco ,881.2,17.10.2011 ,"Tesco, Harford Bridges , Norwich ",21-Oct,23-Oct,Supplier code: CE 003892330 ,Plastic ,Ambient ,Refrigerated 
375,24.0,"Cauliflower, raw ",24.3,"Asda, British cauliflower ",Asda ,800.3,,"Asda , Norwich ",21-Oct,23-Oct,730000,Plastic ,Ambient ,Refrigerated 
376,24.0,"Cauliflower, raw ",24.4,"Asda, cauliflower florets ",Asda ,Purchased pre-prepared,17.10.2011 ,"Asda , Norwich ",20-Oct,22-Oct,730000,Plastic ,Ambient ,Refrigerated 
377,24.0,"Cauliflower, raw ",24.5,"Sainsbury’s, cauliflower ",Sainsbury’s ,990.5,17.10.2011 ,"Sainsbury’s, Longwater , Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
378,24.0,"Cauliflower, raw ",,"Morrisons, cauliflower ",Morrisons ,Purchase Date: 17.10.2011 ,17.10.2011 ,"Morrisons , Norwich ",18-Oct,19-Oct,6321 016223623 ,,Ambient ,Refrigerated 
379,24.0,"Cauliflower, raw ",24.7,"The Co -operative, cauliflower ",The Co -op ,749.1,17.10.2011 ,"The Co -operative , Earlham Green Lane , Norwich ",17-Oct,19-Oct,M253 ,Plastic ,Ambient ,Refrigerated 
380,24.0,"Cauliflower, raw ",24.9,"Sainsbury’s, basics, cauliflower ",Sainsbury’s basics ,730.6,17.10.2011 ,"Sainsbury’s, Longwater , Norwich ",17-Oct,19-Oct,M0259A ,Plastic ,Ambient ,Refrigerated 
