,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Sample Weight,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
586,36.0,"Peppers, red, raw ",36.1,"Tesco, loose red pepper ",Pack size: ,158.7,26.09.2011 ,"Tesco, Harford Bridges, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
587,36.0,"Peppers, red, raw ",36.2,"Tesco, crunchy mixed peppers ",Tesco ,135.7,26.09.2011 ,"Tesco, Harford Bridges, Norwich ",01-Oct,03-Oct,GN ,Plastic ,Ambient ,
588,36.0,"Peppers, red, raw ",36.3,"Asda, l oose red pepper ",Pack size: ,150.7,26.09.2011 ,"Asda, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
589,36.0,"Peppers, red, raw ",36.4,"Asda , organi cs pepper s ",Asda ,150.1,26.09.2011 ,"Asda, Norwich ",30-Sep,02-Oct,520568 07:57 GB -ORG -02 ,Plastic ,Ambi ent ,Refrigerated 
590,,"Peppers, red, raw ",36.5,"Sainsbury’s, loose red pepper ",Pack size: ,192.9,26.09.2011 ,"Sainsbury’s, Longwater, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
591,36.0,"Peppers, red, raw ",36.6,"Morrisons, m ixed pepper s ",Morrisons ,164.2,26.09.2011 ,"Morrisons, Norwich ",02-Oct,04-Oct,Kcb7 5 0258 2263 ,Plastic ,Ambient ,
592,36.0,"Peppers, red, raw ",36.7,"The Co -operative, 3 British m ixed pepper s ",The Co -operative ,120.4,26.09.2011 ,"Co-operative , Wymondham ",,05-Oct,M038V NCE1U1 ,Plastic ,Ambient ,Refrigerated 
593,36.0,"Peppers, red, raw ",36.8,"Aldi, mixed Pepper s ",Aldi ,137.8,26.09.2011 ,"Aldi, Norwich ",Best Before Date: ,Batch Number: 01438 3905 E 14:25 ,01438 3905 E 14:25 ,Plastic ,,Refrigerated 
594,36.0,"Peppers, red, raw ",36.9,"Tesco, Market Value, pepper s ",Tesco Market Value ,104.0,26.09.2011 ,"Tesco, Blue Boar Road, Norwich ",30-Sep,Batch Number: P33 12:22 52168101 BV01 ,P33 12:22 52168101 BV01 ,Net ,Ambient ,Refrigerated 
