,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Sample Weight,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
659,40.0,"Apples, eating, raw, flesh and skin ",40.1,"Tesco, British gala apples ",Tesco ,7 count ,14.11.2011 ,"Tesco, Blue Boar Road, Norwich ",17-Nov,19-Nov,NC71/91/9908 0560 000316507 ,Plastic ,Ambient ,Refrigerated 
660,40.0,"Apples, eating, raw, flesh and skin ",40.2,"Tesco, loose Golden Delicious apples ",Tesco ,Purchase Date: 14.11.2011 ,14.11.2011 ,"Tesco, Blue Boar Road, Norwich ",Best Before Date: ,Batch Number: 4021 ,4021,Plastic ,Ambient ,Refrigerated 
661,40.0,"Apples, eating, raw, flesh and skin ",40.3,"Asda, Braeburn apples ",Asda ,5 fruit ,14.11.2011 ,"Asda, Norwich ",Best Before Date : ,,"GR.9061 -G94 PD307R 909567 PO. 147053, ",Plastic ,Ambient ,Refrigerated 
662,40.0,"Apples, eating, raw, flesh and skin ",40.4,Pink Lady apples ,Pink Lady ,128.4,14.11.2011 ,"Asda, Norwich ",22-Nov,24-Nov,375396 909008 ,Plastic ,,Refrigerated 
663,,"Apples, eating, raw, flesh and skin ",40.5,"Sainsbury’s, loose Royal Gala apples ",Pack size: ,147.3,14.11.2011 ,"Sains bury’s, Longwater, Norwich ",Best Before Date: ,Batch Number: 4173 ,4173,Plastic ,Ambient ,Refrigerated 
664,40.0,"Apples, eating, raw, flesh and skin ",40.6,,Pack size: ,172.2,14.11.2011 ,"Morrisons, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambie nt ,Refrigerated 
665,,"Apples, eating, raw, flesh and skin ",40.7,"The Co -operative, British Royal Gala apples ",The Co -operative ,114.6,14.11.2011 ,,Best Before Date: 20 Nov ,20-Nov,M2578 OFD 666600 11 NEA6U3 ,Plastic ,Ambient ,Refrigerated 
666,40.0,"Apples, eating, raw, flesh and skin ",40.8,"Aldi, Golden Delicious apples ",Aldi ,136.5,14.11.2011 ,"Aldi, Norwich ",Best Before Date: ,Batch Number: Supplier no: 1117 Defra code: E58530 4604 EW 86 ,Supplier no: 1117 Defra code: E58530 4604 EW 86 ,Plastic ,Ambient ,Refrigerated 
667,,"Apples, eating, raw, flesh and skin ",40.9,"Tesco, Market Value, apples ",Tesco Market Value ,128.7,14.11.2011 ,,18-Nov,Batch Number: EW65 ,EW65 ,Plastic ,Ambient ,Refrigerated 
