,Food Code,Food Name,Description,Group,Previous,Main data references,Footnote,Energy (kJ),Energy (kcal),Fat (g),Saturates (g),Carbohydrate (g),Sugars (g),Starch (g),Fibre (g),Protein (g),Salt (g),Super Group
2566,17-711,"Soup, minestrone, canned",Label data,WA,17-542 ,"Industry data, 2013",,139,33,0.2,0.1,6.2,1.8,4.4,0.9,1.1,0.5,"Soups, sauces and miscellaneous foods"
2555,17-695,"Soup, chicken, cream of, canned","10 cans, 3 brands",WAC,17-250 ,"MW5, 1991; and industry data, 2013",,240,58,3.8,0.6,4.1,1.1,3.1,0,1.7,0.6,"Soups, sauces and miscellaneous foods"
2557,17-652,"Soup, cream of tomato, canned","10 samples, 5 brands",WAC,17-278 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,222,53,2.0,0.27,7.6,5.4,2.2,0.6,0.9,0.61,"Soups, sauces and miscellaneous foods"
2563,17-698,"Soup, lentil, canned","10 cans, 4 brands",WAC,17-263 ,"LFRA, Nutrient analysis of miscellaneous foods, 1992; and industry data, 2013",,203,48,0.2,N,7.8,1.2,6.6,1.2,3.1,0.5,"Soups, sauces and miscellaneous foods"
2571,17-700,"Soup, oxtail, canned","10 cans, 3 brands",WAC,17-272 ,"MW4, 1978; and industry data, 2013",,184,44,1.7,0.6,4.7,0.9,3.8,0.1,2.4,0.55,"Soups, sauces and miscellaneous foods"
2575,17-712,"Soup, vegetable, canned","10 cans, 3 brands",WAC,17-284 ,"LFRA, Nutrient analysis of miscellaneous foods, 1992; and industry data, 2013",,175,42,0.6,N,6.9,2.5,4.4,1.5,1.4,0.58,"Soups, sauces and miscellaneous foods"
2561,17-653,"Soup, instant, dried, as purchased","11 samples, 3 brands, powder only, not including croutons",WAE,17-507 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,1652,393,13.4,8.7,59.5,16.8,26.5,5.6,5.9,5.94,"Soups, sauces and miscellaneous foods"
2453,17-628,"Sauce, Chinese cook in, sweet & sour","10 samples, 7 products, chilled and ambient",WC,,"Direct Laboratories, Nutrient analysis catch up project, 2003; and industry data, 2013",,414,98,1.0,0,21.3,18.8,2.5,0.8,0.5,0.63,"Soups, sauces and miscellaneous foods"
2454,17-629,"Sauce, Chinese stir fry","10 samples, 10 products, including black bean and Szechuan, chilled and ambient",WC,,"Direct Laboratories, Nutrient analysis catch up project, 2003; and industry data, 2013",,405,96,1.3,0.12,19.2,16.2,2.9,0.9,1.4,1.43,"Soups, sauces and miscellaneous foods"
2397,17-703,Salad cream,"3 samples, different brands",WCG,17-512 ,"LGC, Dairy products and eggs, 1989; and industry data, 2013. Vitamin E from Milk Marketing Board, 1992 'Fat, Fatty acids and vitamin E content of a selection of biscuits, cakes and desserts'.",,1359,328,26.7,2,20.2,16.1,4.1,0.5,1.4,1.75,"Soups, sauces and miscellaneous foods"
2470,17-336,"Sauce, sweet and sour, take-away","7 samples purchased from Chinese restaurants, sundry-style dipping sauce",WCN,,"LFRA, Nutrient analysis of miscellaneous foods, 1992",,N,N,3.4,N,31.9,27.1,4.8,N,0.2,0.38,"Soups, sauces and miscellaneous foods"
2577,17-721,"Soy sauce, light and dark varieties","8 samples, 4 brands",WCN,17-334 ,"LFRA, Nutrient analysis of miscellaneous foods, 1992; and industry data, 2013",,345,81,0.0,0,17.3,15.9,1.4,0,3.0,13.75,"Soups, sauces and miscellaneous foods"
2432,17-367,Salt,"2 samples, table salt",WY,50-1184 ,"Reviewed 2013. LGC, Analysis of assorted foods, 1994",,0,0,0.0,0,0,0,0,0,0.0,98.25,"Soups, sauces and miscellaneous foods"
2613,17-515,"Stock cubes, beef","10 samples, 6 brands including Bovril, Oxo and own brands",WY,17-368 17-476 50-1182 ,"Reviewed 2013. RHM Technology, Nutrient analysis of selected foods, 1995; and Fatty Acid Supplement, 1998 (17-478)",,1162,276,9.2,3.51,30.5,1.8,28.7,0,17.8,36.4,"Soups, sauces and miscellaneous foods"
2617,17-680,Stock gel,"Including stock pots, stock melts and squeezy tubes",WY,,"Industry data, 2013",,698,166,3.6,1.74,25.7,5.6,20.1,1.8,6.7,16.13,"Soups, sauces and miscellaneous foods"
2618,17-681,"Stock, chicken, ready made, retail",Label data,WY,,"Industry data, 2013",,52,12,0.2,0.1,0.2,0.1,0.1,0.3,2.3,0.56,"Soups, sauces and miscellaneous foods"
