,Food Code,Food Name,Description,Group,Previous,Main data references,Footnote,Energy (kJ),Energy (kcal),Fat (g),Saturates (g),Carbohydrate (g),Sugars (g),Starch (g),Fibre (g),Protein (g),Salt (g),Super Group
2885,11-1135,"Yorkshire pudding, made with skimmed milk, homemade",Recipe,AT,11-713 ,Updated 2014,,803,191,7.4,1.23,23.6,3.3,20.3,1.1,7.0,0.14,Cereals and cereal products
2871,12-555,"Yogurt, Greek style, plain","7 samples, 6 brands, made with whole milk",BN,12-376 ,"Reviewed 2013. Campden and Chorleywood FRA, Nutrient analysis of yoghurts, fromage frais and chilled desserts, 1998. Some vitamins estimated from 12-194, fats as Fatty Acids Supplement 12-872",,551,133,10.2,6.75,4.6,4.3,0.3,0,5.6,0.17,Milk and milk products
2879,12-375,"Yogurt, whole milk, fruit","9 samples, 5 brands, assorted flavours including bio varieties",BN,12-185 12-869 50-261 ,"Reviewed 2013. Campden and Chorleywood FRA, Nutrient analysis of yoghurts, fromage frais and chilled desserts, 1998. Fatty acids as published in Fatty Acid Supplement 12-869",,471,112,3.0,2.01,17.1,16.1,1,0.3,3.9,0.15,Milk and milk products
2863,13-398,"Yam, baked",Literature sources and calculation from raw; baked 30 minutes,DG,,"Vegetables, Herbs and Spices Supplement, 1991",,654,154,0.4,0.1,34.1,0.9,33.2,3.1,2.1,0.01, Vegetables
2867,17-517,Yeast extract,Mixed sample including Marmite and own brands,WY,17-380 50-1179 ,"As Miscellaneous Foods Supplement 17-380 with folate from LGC 'Individual folates in foodstuffs' 1996, Food Surveillance Information Sheet No.92",,793,187,0.4,0.04,3.4,1.7,1.7,0,42.4,10.75,"Soups, sauces and miscellaneous foods"
