,Food Code,Food Name,Description,Group,Previous,Main data references,Footnote,Energy (kJ),Energy (kcal),Fat (g),Saturates (g),Carbohydrate (g),Sugars (g),Starch (g),Fibre (g),Protein (g),Salt (g),Super Group
1351,11-739,Jaffa cakes,"10 samples, 6 products, including McVities, Lyons and own brands",AM,11-515 ,"Direct Laboratories, Nutrient analysis catch up project, 2003",,1527,362,8.5,4.33,65.7,49.6,14.8,1.5,4.9,0.21,Cereals and cereal products
1352,11-846,"Jam tarts, retail","10 samples, 6 products",AS,11-540 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,1507,359,13.5,5.54,55.1,31.3,23.8,1.4,3.5,0.07,Cereals and cereal products
1360,12-516,"Jelly, sugar free, made with water",Recipe,BR,,"Industry data, 2013; and estimated from standard jelly",,28,7,0.0,0,0,0,0,0,1.6,0.01,Milk and milk products
1354,17-075,"Jam, reduced sugar","9 samples, 5 brands; assorted flavours",SC,50-1006 ,"LFRA, Nutrient analysis of miscellaneous foods, 1992",,571,134,0.1,0,31.6,31.6,0,1.7,0.5,0.05,"Sugars, preserves and snacks"
