Product Name,Weight,Packaging Details,Country,Food Group,Food_Category,Super_Category,Weight_Value,Weight_Unit,Normalized_Weight,Normalized_Unit
scottish porridge oats,1 kg,"Cardboard, en:card-carton, en:card-carton","France,Royaume-Uni,en:united-kingdom",Cereals,Uncategorized,Other,1000.0,g,1000.0,g
plain flour,1.5kg,Paper-bag,Verenigd Koninkrijk,Cereals,Uncategorized,Other,1500.0,g,1500.0,g
so simple original porridge pot,45 g,Stück,"Austria, en:united-kingdom",Cereals,Uncategorized,Other,45.0,g,45.0,g
fruit fibre,750g,"Card-box, Mixed plastic film-packet, en:ldpe-packet",United Kingdom,Cereals,Fruit,Plant-based foods,750.0,g,750.0,g
multigrain dino shape,350g,,United Kingdom,Cereals,Uncategorized,Other,350.0,g,350.0,g
oat drink organic,1 l,en:card-carton,United Kingdom,Cereals,Non-alcoholic beverages,Beverages,1.0,l,,g
nordic oat drink,1l,"en:composite-carton to recycle, plastic cap to recycle",United Kingdom,Cereals,Non-alcoholic beverages,Beverages,1.0,l,,g
medium egg noodles,250 g,"Plastic, en:hdpe film-bag",United Kingdom,Cereals,Uncategorized,Other,250.0,g,250.0,g
raisin almond granola,1 kg,en:hdpe film-bag,France,Cereals,Uncategorized,Other,1000.0,g,1000.0,g
fruit n fibre cereal imp,375g,"Sleeve, Card-box","France,Royaume-Uni",Cereals,Fruit,Plant-based foods,375.0,g,375.0,g
straight to wok medium noodles,300 g (2 * 150 g e),"Plastique, Sachet","Belgium, France, en:united-kingdom",Cereals,Uncategorized,Other,300.0,g,300.0,g
penne rigate nº 41,500g,"Plastic, de:packung(en), Pp-packet, Sacchetto","Austria, Belgium, Denmark, France, Germany, Italy, Spain, Switzerland, en:united-kingdom",Cereals,Uncategorized,Other,500.0,g,500.0,g
king kotes - corn fried barbecue flavoured,14g,,"Morocco,Spain",Cereals,Uncategorized,Other,14.0,g,14.0,g
"flaxseed, sunflower, pumpkin chia seeds goji berries",425 g,Unknown Packaging,Reino Unido,Cereals,Nuts and seeds,Plant-based foods,425.0,g,425.0,g
low sugar grain-free granola,285 g,Unknown Packaging,en:gb,Cereals,Sugars and confectionery,Processed foods,285.0,g,285.0,g
bitesize wheat shreds,500g,Unknown Packaging,United Kingdom,Cereals,Uncategorized,Other,500.0,g,500.0,g
high fibre bran. tesco.,750g,Cardboard and recyclable bag,"France,Royaume-Uni",Cereals,Uncategorized,Other,750.0,g,750.0,g
creamy oat,250 ml,"Tetra Pak, Composite-carton, Paper carton",United Kingdom,Cereals,Uncategorized,Other,250.0,ml,,g
harvest morn corn flakes,500g,,"United Kingdom, en:ireland",Cereals,Uncategorized,Other,500.0,g,500.0,g
cous cous,500g,en:mixed plastic-bag,"United Kingdom, en:ireland",Cereals,Uncategorized,Other,500.0,g,500.0,g
tilda steamed brown basmati and quinoa,250g,Unknown Packaging,"France, New Zealand, en:united-kingdom",Cereals,Non-alcoholic beverages,Beverages,250.0,g,250.0,g
sweetcorn in water,200 g,Aluminium-tin,United Kingdom,Cereals,Sugars and confectionery,Processed foods,200.0,g,200.0,g
fruit nut muesli,750g,en:mixed plastic film-packet,"France, Ireland, en:united-kingdom",Cereals,Fruit,Plant-based foods,750.0,g,750.0,g
wholewheat noodles,250g,Pp-packet,United Kingdom,Cereals,Uncategorized,Other,250.0,g,250.0,g
corn flakes,500 g,"en:Plastic,07 OTHER","Hrvatska,Mađarska",Cereals,Uncategorized,Other,500.0,g,500.0,g
oat,1l,"Container,Composite-carton",United Kingdom,Cereals,Uncategorized,Other,1.0,l,,g
special muesli,750 g,en:hdpe film-packet,"France,Royaume-Uni",Cereals,Uncategorized,Other,750.0,g,750.0,g
chicken mushroom,90 g,"Metal,Plastic,Recyclable Metals,Aluminium,Mixed plastic-packet,Pp-pot","France,Ireland,United Kingdom,en:australia",Cereals,Uncategorized,Other,90.0,g,90.0,g
low fat special flakes,500g,,"France, United Kingdom, en:ireland",Cereals,Oils and fats,Other,500.0,g,500.0,g
mac and cheese original flavor,7.25oz,Cardboard Box,"France,United States,Allemagne,Royaume-Uni",Cereals,Uncategorized,Other,205.53750000000002,g,205.53750000000002,g
multigrain hoops,375g,en:hdpe film-bag,United Kingdom,Cereals,Uncategorized,Other,375.0,g,375.0,g
belgian dark chocolate,4*21g,Unknown Packaging,en:GB,Cereals,Uncategorized,Other,421.0,g,421.0,g
wholemeal spelt flour,1kg,Paper-bag,United Kingdom,Cereals,Prepared meals,Processed foods,1000.0,g,1000.0,g
red fruit benefit,375g,,"Ireland, en:united-kingdom",Cereals,Fruit,Plant-based foods,375.0,g,375.0,g
granola triple nut,425g,Unknown Packaging,en:united-kingdom,Cereals,Nuts and seeds,Plant-based foods,425.0,g,425.0,g
scottish porridge oats,1 kg,Unknown Packaging,en:United Kingdom,Cereals,Uncategorized,Other,1000.0,g,1000.0,g
cheerios heart shape imp,252 g,Card carton,"Mexico,United States, World",Cereals,Uncategorized,Other,252.0,g,252.0,g
grape-nuts,20.5 OZ (1 LB 4.5 OZ) 581 g,"Plastic, Cardboard box","Panama,United States, World",Cereals,Nuts and seeds,Plant-based foods,581.1750000000001,g,581.1750000000001,g
organic fruits seeds muesli,650g,Unknown Packaging,"France, en:united-kingdom",Cereals,Fruit,Plant-based foods,650.0,g,650.0,g
"wholegrain, wild red rice",250g,Unknown Packaging,United Kingdom,Cereals,Uncategorized,Other,250.0,g,250.0,g
spaghetti hoops,400 g,Aluminium-can,"France,United Kingdom",Cereals,Uncategorized,Other,400.0,g,400.0,g
nutty muesli,750g,"Plastic,Recyclable material,Recyclable plastic",United Kingdom,Cereals,Nuts and seeds,Plant-based foods,750.0,g,750.0,g
apple cinnamon gut-loving porridge,400g,,United Kingdom,Cereals,Uncategorized,Other,400.0,g,400.0,g
,60 g.,"Plástico, PP","Francia,España",Cereals,Uncategorized,Other,60.0,g,60.0,g
mama instant rice noodles,225g,Unknown Packaging,"Finland,France,United Kingdom",Cereals,Uncategorized,Other,225.0,g,225.0,g
oats plenty super seedy nutty porridge,400g,,United Kingdom,Cereals,Nuts and seeds,Plant-based foods,400.0,g,400.0,g
choco pops cereals,430g,Unknown Packaging,United Kingdom,Cereals,Cereals,Plant-based foods,430.0,g,430.0,g
low sugar maple pecan granola imp,450 g,Unknown Packaging,"United States, en:united-kingdom",Cereals,Sugars and confectionery,Processed foods,450.0,g,450.0,g
pumpkin seed flax granola,35.3 oz (2 lb 3.3 oz) 1 kg,Pack,"France, World, en:united-states",Cereals,Nuts and seeds,Plant-based foods,1000.755,g,1000.755,g
