Product Name,Weight,Packaging Details,Country,Food Group,Food_Category,Super_Category,Weight_Value,Weight_Unit,Normalized_Weight,Normalized_Unit
curiously cinnamon,375g,"Card-box,Ldpe-sleeve,HdpeFilm-packet","France,United Kingdom",Cereals,Uncategorized,Other,375.0,g,375.0,g
bran flakes,500 g,"Card-box, Pp-bag",United Kingdom,Cereals,Uncategorized,Other,500.0,g,500.0,g
golden vegetable rice,250 g,"Plastic, Don't recycle","United Kingdom,Czech Republic",Cereals,Vegetables,Plant-based foods,250.0,g,250.0,g
crunchy nut granola fruit nut imp,380g,Unknown Packaging,"Belgium, en:united-kingdom",Cereals,Fruit,Plant-based foods,380.0,g,380.0,g
scottish porridge oats,1 kg,Unknown Packaging,United Kingdom,Cereals,Uncategorized,Other,1000.0,g,1000.0,g
scottish oats,2 kg,en:mixed plastic-packet,"France,United Kingdom",Cereals,Uncategorized,Other,2000.0,g,2000.0,g
crunchy muesli choco nuts,600 g,"Plástico,en:pe-polyethylene,en:hdpe-high-density-polyethylene,Cartão,Pacote,Papel cartonado","Bélgica,França,Alemanha,Grécia,Itália,Portugal,Espanha",Cereals,Nuts and seeds,Plant-based foods,600.0,g,600.0,g
apple rice cakes,40g,Unknown Packaging,en:gb,Cereals,Uncategorized,Other,40.0,g,40.0,g
shreddies,720g,Unknown Packaging,"United Kingdom, en:ireland",Cereals,Uncategorized,Other,720.0,g,720.0,g
fruity muesli,750g,,"France, United Kingdom",Cereals,Fruit,Plant-based foods,750.0,g,750.0,g
,250 g,"Plastique,en:container,Sachet en plastique",France,Cereals,Uncategorized,Other,250.0,g,250.0,g
jordans country crisp chocolate,500 g,en:card-box,"France,Royaume-Uni",Cereals,Snack foods,Processed foods,500.0,g,500.0,g
weet-bix,1.2 kg,"Card-box, Ldpe-bag, Paper box","Australia,en:australia",Cereals,Uncategorized,Other,1200.0,g,1200.0,g
long grain brown easy cook rice,1 kg,Unknown Packaging,en:france,Cereals,Uncategorized,Other,1000.0,g,1000.0,g
cornflour,500 g,"Card-carton, Mixed plastic-bag",United Kingdom,Cereals,Uncategorized,Other,500.0,g,500.0,g
fruit fiber,750 g,"Card-box, Ldpe-bag",United Kingdom,Cereals,Fruit,Plant-based foods,750.0,g,750.0,g
pad thai rice noodles,200g,Unknown Packaging,en:United Kingdom,Cereals,Uncategorized,Other,200.0,g,200.0,g
brown rice,1 kg,,United Kingdom,Cereals,Uncategorized,Other,1000.0,g,1000.0,g
tilda basmati rice,1kg,"Plastic, Bag, Foil-packet",United Kingdom,Cereals,Uncategorized,Other,1000.0,g,1000.0,g
shin kimchi ramyun,120g,"Plastic,Mixed plastic film-bag","France,Germany,Switzerland,United Kingdom",Cereals,Uncategorized,Other,120.0,g,120.0,g
zingy korean-style grains,250 g,en:mixed plastic film-pouch,"France, en:united-kingdom",Cereals,Uncategorized,Other,250.0,g,250.0,g
organic whole grain rolled oats,32 oz (907 g),Unknown Packaging,United States,Cereals,Uncategorized,Other,907.2,g,907.2,g
carrot cake soft oaty bars,6 x 25g = 125g,Unknown Packaging,en:gb,Cereals,Uncategorized,Other,25.0,g,25.0,g
"protein granola - hazelnut, almond, chocolate",300 g,Unknown Packaging,"Poland, en:romania",Cereals,Nuts and seeds,Plant-based foods,300.0,g,300.0,g
golden vegetable rice,250g,Unknown Packaging,en:United Kingdom,Cereals,Vegetables,Plant-based foods,250.0,g,250.0,g
"nissin, top ramen, ramen noodle soup, chicken",3 oz,Unknown Packaging,United States,Cereals,Uncategorized,Other,85.05000000000001,g,85.05000000000001,g
,"130,4 g","Plastique,Sachet",France,Cereals,Uncategorized,Other,4.0,g,4.0,g
wholegrain brown basmati rice,500g,Mixed plastic film-packet,"France, en:united-kingdom",Cereals,Uncategorized,Other,500.0,g,500.0,g
gluten free self raising white flour,1 kg,Paper,Royaume-Uni,Cereals,Uncategorized,Other,1000.0,g,1000.0,g
puffed oats,175g,,"France, Spain, en:united-kingdom",Cereals,Uncategorized,Other,175.0,g,175.0,g
lasaña fácil,200 g,"Caja, Recipiente, Green dot","Belgium,Spain",Cereals,Uncategorized,Other,200.0,g,200.0,g
quick 1-minute oats imp,1 lb 2 oz,Cardboard,"Germany,United States, World",Cereals,Nuts and seeds,Plant-based foods,453.592,g,453.592,g
cereal flakes,"1 box, 2lb 6oz",Unknown Packaging,en:us,Cereals,Cereals,Plant-based foods,907.184,g,907.184,g
thick udon noodles,2 x 150 g,,"France,United Kingdom",Cereals,Uncategorized,Other,150.0,g,150.0,g
muesli,1kg,"Bag, Mixed plastic film-packet",en:United Kingdom,Cereals,Uncategorized,Other,1000.0,g,1000.0,g
green giant,340g,"Can, Paper-unknown, Steel-can",United Kingdom,Cereals,Uncategorized,Other,340.0,g,340.0,g
nestle cheerios honey 515g,515 g,"en:card-box, en:hdpeFilm-bag",United Kingdom,Cereals,Uncategorized,Other,515.0,g,515.0,g
puff pastry,320g,Unknown Packaging,United Kingdom,Cereals,Bakery products,Processed foods,320.0,g,320.0,g
sante crunchy crispy muesli banana with chocolate 350g,350 g,,"France,Italy,Morocco,Poland",Cereals,Snack foods,Processed foods,350.0,g,350.0,g
corn flakes,500g,"1 carton to recycle, 1 film to recycle with bags at large supermarket don’t recycle at home",en:GB,Cereals,Uncategorized,Other,500.0,g,500.0,g
honey hoops,30.0g,en:card-box,gb,Cereals,Uncategorized,Other,30.0,g,30.0,g
corn flakes,250g,,"Spain, en:united-kingdom",Cereals,Uncategorized,Other,250.0,g,250.0,g
dorset cereals tasty toasted spelt flaked muesli,570g,,United Kingdom,Cereals,Cereals,Plant-based foods,570.0,g,570.0,g
plain flour,1.5kg,Paper-bag,United Kingdom,Cereals,Uncategorized,Other,1500.0,g,1500.0,g
milk chocolate rice cakes,105 g,,"United Kingdom,Ireland",Cereals,Milk and milk products,Animal-based foods,105.0,g,105.0,g
all bran flakes,625 g,"en:card-box, en:hdpe film-bag","United Kingdom,United States",Cereals,Uncategorized,Other,625.0,g,625.0,g
garlic mozzarella gnocchi,280g,Unknown Packaging,en:United Kingdom,Cereals,Uncategorized,Other,280.0,g,280.0,g
italian arborio rice,500g,"Container, Card-box",United Kingdom,Cereals,Uncategorized,Other,500.0,g,500.0,g
italiamo fusilli pugliesi tris,400g,"Sacco,en:Punga plastic","Francuska,Njemačka,Rumunjska,Hrvatska",Cereals,Uncategorized,Other,400.0,g,400.0,g
polenta pronta,1 kg,Box,France,Cereals,Uncategorized,Other,1000.0,g,1000.0,g
bio crackers,200 g,"en:Plastic,22 PAP,PP","Czech Republic,France,Spain",Cereals,Uncategorized,Other,200.0,g,200.0,g
quaker oats so simple sultana raisin c berryapl imp,385 g,Unknown Packaging,"France, en:united-kingdom",Cereals,Uncategorized,Other,385.0,g,385.0,g
oat so simple original protein,302g,Unknown Packaging,"France,United Kingdom",Cereals,Uncategorized,Other,302.0,g,302.0,g
arroz basmati,1 kg,"Bolsa, Green dot",Spain,Cereals,Uncategorized,Other,1000.0,g,1000.0,g
riso scotti risovital gallette di riso rice cakes,100 g,LOW PER PORTION 129 к 130 kcal Energy for 100g 1617k/381 kcal Reference intake en lug uscat / Съхранява Хранить при температуре от 0 °C до +25 °C и относительной влажности воздуха не более 75 % / Зберігати при температурі від 0 °С до +25 °С та відносній вологості повітря не більше 75 %. of an average adul gene 05 РР 250) 8 001860,"Switzerland, en:romania",Cereals,Uncategorized,Other,100.0,g,100.0,g
honey nut,480 g,en:card-box,"United Kingdom, en:ireland",Cereals,Nuts and seeds,Plant-based foods,480.0,g,480.0,g
"linwoods cold milled flaxseed, bio cultures vitamin d",200 g,"Pack, Mixed plastic-bag",en:gb,Cereals,Nuts and seeds,Plant-based foods,200.0,g,200.0,g
oatly haver vanille,1l,"Cardboard, Paperboard, Tetra Pak",Germany,Cereals,Uncategorized,Other,1.0,l,,g
multigrain hoops,500 g,Unknown Packaging,United Kingdom,Cereals,Uncategorized,Other,500.0,g,500.0,g
supersweet sweetcorn in water,"340g, 285g drained",Unknown Packaging,en:gb,Cereals,Sugars and confectionery,Processed foods,340.0,g,340.0,g
"raisin, almond honey granola",1 kg,,United Kingdom,Cereals,Uncategorized,Other,1000.0,g,1000.0,g
fruit fibre flakes,500g,"box,plastic,card,bag",United Kingdom,Cereals,Fruit,Plant-based foods,500.0,g,500.0,g
malted wheats,750g,Unknown Packaging,en:United Kingdom,Cereals,Uncategorized,Other,750.0,g,750.0,g
egg noodles,410g,,Royaume-Uni,Cereals,Uncategorized,Other,410.0,g,410.0,g
long grain easy cook rice,1kg,"Kunststoff,Tüte,PP - Polypropylen","Denmark,Germany",Cereals,Uncategorized,Other,1000.0,g,1000.0,g
crunchy oat granola fruit nut,750g,,"France, en:united-kingdom",Cereals,Fruit,Plant-based foods,750.0,g,750.0,g
soba instant nudeln,109g,"Plastic, Bag, Tetra Rex","Frankreich, Schweiz, Germany",Cereals,Uncategorized,Other,109.0,g,109.0,g
farfalle 500 g,500 g,"Plastique, Boîte, Sachet papier","France, Italie, Suisse, Germany",Cereals,Uncategorized,Other,500.0,g,500.0,g
shin cup gourmet spicy noodle soup,68 g,"Metall, Kunststoff, Wiederverwertbare Metalle, Aluminium, Pappe","France,Germany,Spain,United Kingdom",Cereals,Uncategorized,Other,68.0,g,68.0,g
honey nut cheerios,436 g,,United States,Cereals,Nuts and seeds,Plant-based foods,436.0,g,436.0,g
mornflake,1 kg,,"España,Reino Unido",Cereals,Uncategorized,Other,1000.0,g,1000.0,g
long grain rice,1Kg,en:mixed plastic film-bag,"France, en:united-kingdom",Cereals,Uncategorized,Other,1000.0,g,1000.0,g
wholewheat couscous,500 g,Plastic,en:United Kingdom,Cereals,Uncategorized,Other,500.0,g,500.0,g
supergrain hoops,300g,Unknown Packaging,en:gb,Cereals,Uncategorized,Other,300.0,g,300.0,g
"hazelnut, pecan maple oat bar",50g,Unknown Packaging,en:gb,Cereals,Nuts and seeds,Plant-based foods,50.0,g,50.0,g
muesli whole grain cereal,32 g,,United States,Cereals,Cereals,Plant-based foods,32.0,g,32.0,g
organic muesli with raisins almonds,750 g,,"France,United Kingdom",Cereals,Uncategorized,Other,750.0,g,750.0,g
salt free naturally sweet corn,198 g,"Can, Steel-can",United Kingdom,Cereals,Sugars and confectionery,Processed foods,198.0,g,198.0,g
rude health spelt flakes,300 g,Unknown Packaging,"France, en:united-kingdom",Cereals,Uncategorized,Other,300.0,g,300.0,g
picolini,500g,"Box,Cardboard, Film","France,Germany",Cereals,Uncategorized,Other,500.0,g,500.0,g
everyday essentials porridge oats,1 kg,Paper,United Kingdom,Cereals,Uncategorized,Other,1000.0,g,1000.0,g
quinoa,300g,"Plastic,Individual bag","France,Ireland,United Kingdom",Cereals,Uncategorized,Other,300.0,g,300.0,g
grape-nuts,29 oz,Unknown Packaging,"United States,World",Cereals,Nuts and seeds,Plant-based foods,822.1500000000001,g,822.1500000000001,g
authentic tahini,500 g,Unknown Packaging,en:gb,Cereals,Uncategorized,Other,500.0,g,500.0,g
golden yorkshires,190g,"Pack, en:ldpe-packet",United Kingdom,Cereals,Uncategorized,Other,190.0,g,190.0,g
wholegrain rice,250 g,Unknown Packaging,United Kingdom,Cereals,Uncategorized,Other,250.0,g,250.0,g
protein granola,300 g,Unknown Packaging,"Poland, en:romania",Cereals,Uncategorized,Other,300.0,g,300.0,g
fussilli,1kg,Unknown Packaging,en:gb,Cereals,Uncategorized,Other,1000.0,g,1000.0,g
shreddies,600 g,Unknown Packaging,United Kingdom,Cereals,Uncategorized,Other,600.0,g,600.0,g
shin ramen,120 g,"Plastic, Wrapper, Metallized","France,United States,New Zealand",Cereals,Uncategorized,Other,120.0,g,120.0,g
fusilli pasta,500g,"Kunststoff,Tüte,PP - Polypropylen","France,Germany,Hungary,Lithuania",Cereals,Uncategorized,Other,500.0,g,500.0,g
four cheese tortelloni,300g,"Mixed plastic-packet, en:pp-tray, en:film","France,United Kingdom",Cereals,Uncategorized,Other,300.0,g,300.0,g
porridge oats,1.5kg,,"Francia,Irlanda,España",Cereals,Uncategorized,Other,1500.0,g,1500.0,g
fruit fibre,750 g,Unknown Packaging,"United Kingdom, en:ireland",Cereals,Fruit,Plant-based foods,750.0,g,750.0,g
sea salt cider vinegar - activated chips,80 g,Unknown Packaging,United Kingdom,Cereals,Snack foods,Processed foods,80.0,g,80.0,g
raspberry porridge oat bar,1 x 42g,,United Kingdom,Cereals,Uncategorized,Other,42.0,g,42.0,g
oatly no sugars oat drink,1L,Unknown Packaging,en:United Kingdom,Cereals,Sugars and confectionery,Processed foods,1.0,l,,g
fusilli bronze,500g,Unknown Packaging,"France, en:united-kingdom",Cereals,Uncategorized,Other,500.0,g,500.0,g
lemon poppy seed oat bars,3 x 50g,Unknown Packaging,en:United Kingdom,Cereals,Nuts and seeds,Plant-based foods,50.0,g,50.0,g
frosted shredders,600 g,Unknown Packaging,en:United Kingdom,Cereals,Uncategorized,Other,600.0,g,600.0,g
oat original,1.75 L,Composite-carton,"Canada,United States, World",Cereals,Uncategorized,Other,1.75,l,,g
quaker apple blueberry flavour hot oat cereal,57 g,en:Pp-bottle,"United States,United Kingdom",Cereals,Cereals,Plant-based foods,57.0,g,57.0,g
tagliatelle pasta,500 g,Mixed plastic-bag,"France,United Kingdom,Ireland",Cereals,Uncategorized,Other,500.0,g,500.0,g
instant oats - golden syrup flavour,55g,Unknown Packaging,"France,United Kingdom",Cereals,Uncategorized,Other,55.0,g,55.0,g
nudeln fusilli,1000g,"Karton, Ungewellte Pappe, en:container, Packung(en)","Austria, France, Germany, Italy, Switzerland, en:sweden",Cereals,Uncategorized,Other,1000.0,g,1000.0,g
cruesli fruta,375g,"Plástico, Recipiente","Francia,Alemania,Italia,España",Cereals,Uncategorized,Other,375.0,g,375.0,g
unsalted corn caked,150g,Unknown Packaging,"France, en:united-kingdom",Cereals,Uncategorized,Other,150.0,g,150.0,g
risotto rice,500 g,,"Spain, en:united-kingdom",Cereals,Uncategorized,Other,500.0,g,500.0,g
egg fried rice,250 g,Mixed plastic-packet,"United Kingdom,Ireland",Cereals,Uncategorized,Other,250.0,g,250.0,g
crisp cereal strawberry,500 g,"Plastic, Paper","Ireland,en:united-kingdom",Cereals,Cereals,Plant-based foods,500.0,g,500.0,g
cinnamon toast keto friendly cereal,20 oz,,United States,Cereals,Cereals,Plant-based foods,567.0,g,567.0,g
low sugar berry granola,500g,Unknown Packaging,en:gb,Cereals,Sugars and confectionery,Processed foods,500.0,g,500.0,g
honey bunches of oats w almosnd,12 oz,Unknown Packaging,en:us,Cereals,Uncategorized,Other,340.20000000000005,g,340.20000000000005,g
granola,1 kg,Unknown Packaging,United Kingdom,Cereals,Uncategorized,Other,1000.0,g,1000.0,g
choco balls,500g,Unknown Packaging,"Sweden, en:romania",Cereals,Uncategorized,Other,500.0,g,500.0,g
choc cherry granola,450 g,Unknown Packaging,en:United Kingdom,Cereals,Uncategorized,Other,450.0,g,450.0,g
"organic honey, seed almond granola",500g,Unknown Packaging,United Kingdom,Cereals,Nuts and seeds,Plant-based foods,500.0,g,500.0,g
high fibre mixed fruit muesli,500 g,Unknown Packaging,en:United Kingdom,Cereals,Fruit,Plant-based foods,500.0,g,500.0,g
elbows,16 oz (1LB) 454 grams,en:Cardboard Box,"United States, World",Cereals,Uncategorized,Other,453.6,g,453.6,g
"great value 100 whole grain old fashioned oats, 42 oz",42 oz,"Cardboard,plastic,plastic #4,LDPE,paper",United States,Cereals,Uncategorized,Other,1190.7,g,1190.7,g
lightly salted rice cakes,130 g,,United Kingdom,Cereals,Uncategorized,Other,130.0,g,130.0,g
copos de avena integrales suaves ecológi,1kg,,"Francia,España",Cereals,Uncategorized,Other,1000.0,g,1000.0,g
high protein porridge chocolate,70g,"1 pot, Card-sleeve, Foil-wrapper, Pet-pot","France,United Kingdom",Cereals,Uncategorized,Other,70.0,g,70.0,g
long grain rice,250g,"Pouch flask, Mixed plastic film-packet","Austria, Ireland, en:united-kingdom",Cereals,Uncategorized,Other,250.0,g,250.0,g
sweetcorn in water,260 g,en:steel-tin,"France,United Kingdom",Cereals,Sugars and confectionery,Processed foods,260.0,g,260.0,g
basmati rice,1kg,Plastic,United Kingdom,Cereals,Uncategorized,Other,1000.0,g,1000.0,g
original bran cereal,555 g,,United States,Cereals,Cereals,Plant-based foods,555.0,g,555.0,g
freee white bread flour imp,1kg,paper,en:United Kingdom,Cereals,Bakery products,Processed foods,1000.0,g,1000.0,g
fusilli,1kg,"Plastic, en:ldpe-bag",en:United Kingdom,Cereals,Uncategorized,Other,1000.0,g,1000.0,g
nice and nobbly granola,300 g,Unknown Packaging,en:gb,Cereals,Uncategorized,Other,300.0,g,300.0,g
malt wheaties,625g,"en:card-box, en:hdpe film-bag","Ireland, en:united-kingdom",Cereals,Uncategorized,Other,625.0,g,625.0,g
pilau microwave rice,250g,Unknown Packaging,en:gb,Cereals,Uncategorized,Other,250.0,g,250.0,g
barista edition oat drink,500 ml,,United Kingdom,Cereals,Non-alcoholic beverages,Beverages,500.0,ml,,g
,400 g,Unknown Packaging,"Spain, en:belgium",Cereals,Uncategorized,Other,400.0,g,400.0,g
sticky rice,250 g,Unknown Packaging,United Kingdom,Cereals,Uncategorized,Other,250.0,g,250.0,g
"roc rice cakes, lightly salted",241g,Unknown Packaging,"United States, Germany, World",Cereals,Uncategorized,Other,241.0,g,241.0,g
pecan maple crisp cereal,500 g,"Cardboard box,Plastic bag","France,United Kingdom",Cereals,Cereals,Plant-based foods,500.0,g,500.0,g
croc wild berries,500g,,"Frankreich, Schweiz, Germany",Cereals,Uncategorized,Other,500.0,g,500.0,g
nudeln trofie,500 g,"Boîte,Carton,Carton non ondulé,de:Entsorgung Altpapier,de:Producto,de:Produkt,de:Verpackung Karton,en:Container,en:Green dot,Emballage carton,Recyclage carton, Film","Francia,Alemania",Cereals,Uncategorized,Other,500.0,g,500.0,g
grains seeds granola,500g,Unknown Packaging,United Kingdom,Cereals,Nuts and seeds,Plant-based foods,500.0,g,500.0,g
porridge oats,1.5 kg,Unknown Packaging,"Spain,United Kingdom",Cereals,Uncategorized,Other,1500.0,g,1500.0,g
nesquik duo,325 g,,"Bulgaria,Croatia,Bosnia and Herzegovina",Cereals,Uncategorized,Other,325.0,g,325.0,g
peri peri basmati rice,250 g,Unknown Packaging,"United Kingdom,New Zealand",Cereals,Uncategorized,Other,250.0,g,250.0,g
spaghetti rings in tomato sauce,410 g,"Paper-sleeve, Steel-can",en:United Kingdom,Cereals,Uncategorized,Other,410.0,g,410.0,g
,280 g,"Film,Etui en carton,Sachet en plastique",France,Cereals,Uncategorized,Other,280.0,g,280.0,g
udon japanese style noodles,400g,,United Kingdom,Cereals,Uncategorized,Other,400.0,g,400.0,g
scottish porridge oats,1kg,en:mixed plastic-bag,en:United Kingdom,Cereals,Uncategorized,Other,1000.0,g,1000.0,g
honey nut crunchy corn flakes,500g,en:card-box,en:United Kingdom,Cereals,Nuts and seeds,Plant-based foods,500.0,g,500.0,g
oat milk rich smooth - long life,1 L,"1 1L composite carton to recycle, 1 plastic lid to recycle",United Kingdom,Cereals,Milk and milk products,Animal-based foods,1.0,l,,g
cheerios honey,575 g,Unknown Packaging,en:gb,Cereals,Uncategorized,Other,575.0,g,575.0,g
multi grain cheerios,510g,en:card-box,en:us,Cereals,Uncategorized,Other,510.0,g,510.0,g
color loops,300g,,"Belgium, Germany, en:switzerland",Cereals,Uncategorized,Other,300.0,g,300.0,g
fruit nut granola,500g,,United Kingdom,Cereals,Fruit,Plant-based foods,500.0,g,500.0,g
egg fried rice,220g,Unknown Packaging,en:United Kingdom,Cereals,Uncategorized,Other,220.0,g,220.0,g
barista oat drink,1 l,Unknown Packaging,"Czech Republic, Italy, en:bulgaria",Cereals,Non-alcoholic beverages,Beverages,1.0,l,,g
hot cereal original,28 oz,Unknown Packaging,United States,Cereals,Cereals,Plant-based foods,793.8000000000001,g,793.8000000000001,g
macaroni and cheese,6 OZ (170g),"Box, en:card-box, en:paper-packet",United States,Cereals,Uncategorized,Other,170.10000000000002,g,170.10000000000002,g
waitrose organic jumbo oats,1000g,Box,"France, en:united-kingdom",Cereals,Uncategorized,Other,1000.0,g,1000.0,g
morrisons,1 Kg,Unknown Packaging,United Kingdom,Cereals,Uncategorized,Other,1000.0,g,1000.0,g
wholemeal rye flour imp,1 kg,"Paper, Bag, Paper-box","France, United Kingdom",Cereals,Prepared meals,Processed foods,1000.0,g,1000.0,g
soba classic noodles,90 g,"en:pp-tub,en:pp-lid,","France, Spain, en:united-kingdom",Cereals,Uncategorized,Other,90.0,g,90.0,g
raisin almond granola,1kg,,United Kingdom,Cereals,Uncategorized,Other,1000.0,g,1000.0,g
granola golden crunch,500 g,,United Kingdom,Cereals,Uncategorized,Other,500.0,g,500.0,g
basmati micro rice,250g,en:packet,Royaume-Uni,Cereals,Uncategorized,Other,250.0,g,250.0,g
wholewheat tagliatelle,500 g,Mixed plastic film-packet,United Kingdom,Cereals,Uncategorized,Other,500.0,g,500.0,g
lentil pea veggie cakes - spinach pesto imp,122 g,Unknown Packaging,United Kingdom,Cereals,Uncategorized,Other,122.0,g,122.0,g
