,Food Code,Food Name,Group,Super Group,Sale format(s)
395,17-517,Yeast extract,WY,"Soups, sauces and miscellaneous foods",jar
396,17-659,Chocolate spread,SC,"Sugars, preserves and snacks",jar
397,17-658,Chocolate covered bar with caramel and cereal,SEA,"Sugars, preserves and snacks","indiviudal bar, multipack"
398,17-763,Creme egg,SEA,"Sugars, preserves and snacks",individual
399,17-645,Corn snacks,SN,"Sugars, preserves and snacks",bag
400,,"Chevda/chevra/chewra, retial",SNC,"Sugars, preserves and snacks",
401,17-049,"Glucose liquid, BP",SC,"Sugars, preserves and snacks",tube
402,17-050,Honey,SC,"Sugars, preserves and snacks",jar
403,17-689,"Ice cream sauce, topping, strawberry and chocolate flavours",SC,"Sugars, preserves and snacks",
404,17-075,"Jam, reduced sugar",SC,"Sugars, preserves and snacks",jar
405,17-777,Liquorice allsorts,SEC,"Sugars, preserves and snacks",bag
406,17-078,Marmalade,SC,"Sugars, preserves and snacks",jar
407,17-651,Maltesers and similar products,SEA,"Sugars, preserves and snacks","individual bag, share bag"
408,17-668,Mars bar and own brand equivalents,SEA,"Sugars, preserves and snacks","indiviudal bar, multipack"
409,17-669,Milky Way and own brand equivalents,SEA,"Sugars, preserves and snacks","indiviudal bar, multipack"
410,17-114,Marshmallows,SEC,"Sugars, preserves and snacks",
411,,Nougat,SEC,"Sugars, preserves and snacks",
412,17-117,Peppermints,SEC,"Sugars, preserves and snacks",
413,17-692,"Popcorn, salted, retail",SN,"Sugars, preserves and snacks",
414,17-132,Pork scratchings,SN,"Sugars, preserves and snacks",bag
415,17-693,"Potato crisps, low fat",SN,"Sugars, preserves and snacks",bag
416,17-060,"Sugar, brown",SC,"Sugars, preserves and snacks",bag
417,17-062,"Sugar, icing",SC,"Sugars, preserves and snacks",bag
418,17-063,"Sugar, white",SC,"Sugars, preserves and snacks",bag
419,17-065,"Syrup, golden",SC,"Sugars, preserves and snacks",tin
420,17-096,Smartie-type sweets,SEA,"Sugars, preserves and snacks",tube
421,,"Ackee, canned",DG,Vegetables,tin
422,13-146,"Agar, dried",DG,Vegetables,
423,13-148,"Alfalfa sprouts, raw",DG,Vegetables,
424,13-149,"Amaranth leaves, raw",DG,Vegetables,
425,13-151,"Arrowhead, raw",DG,Vegetables,
426,13-153,"Artichoke, globe, raw",DG,Vegetables,"loose, individual"
427,,"Artichoke, canned",DG,Vegetables,tin
428,,"Artichoke, jar",DG,Vegetables,jar
429,13-157,"Asparagus, raw",DG,Vegetables,"bunch, packet"
430,13-161,"Aubergine, raw",DG,Vegetables,"loose, individual"
431,13-532,"Baked beans, canned in tomato sauce",DB,Vegetables,tin
432,13-041,"Beans, aduki, whole, dried, raw",DB,Vegetables,packet
433,,"Beans, aduki, canned",DB,Vegetables,tin
434,13-062,"Beans, blackeye, whole, dried, raw",DB,Vegetables,packet
435,,"Beans, blackeye, canned",DB,Vegetables,tin
436,13-070,"Beans, butter, dried, raw",DB,Vegetables,packet
437,,"Beans, butter, canned",DB,Vegetables,tin
438,13-074,"Beans, chick peas, Kabuli, whole, dried, raw",DB,Vegetables,packet
439,,"Beans, chick peas, canned",DB,Vegetables,tin
440,13-080,"Beans, cluster, raw",DB,Vegetables,packet
441,,"Beans, edamame, frozen",DB,Vegetables,packet
442,,"Beans, edamame, canned",DB,Vegetables,tin
443,13-514,"Beans, green, raw",DB,Vegetables,packet
444,13-086,"Beans, haricot, whole, dried, raw",DB,Vegetables,jar
445,,"Beans, haricot, canned",DB,Vegetables,tin
446,13-098,"Beans, mung, dahl, dried, raw",DB,Vegetables,packet
447,13-102,"Beans, pigeon peas, whole, dried, raw",DB,Vegetables,packet
448,13-106,"Beans, pinto, dried, raw",DB,Vegetables,packet
449,,"Beans, pinto, canned, ",DB,Vegetables,tin
450,13-109,"Beans, red kidney, dried, raw",DB,Vegetables,packet
451,,"Beans, red kidney, canned",DB,Vegetables,tin
452,13-112,"Beans, runner, raw",DB,Vegetables,packet
453,13-115,"Beans, soya, dried, raw",DB,Vegetables,packet
454,13-117,"Beans, sword, raw",DB,Vegetables,packet
455,13-426,"Beansprouts, mung, raw",DB,Vegetables,packet
456,13-056,"Black gram, urad gram, whole, dried, raw",DB,Vegetables,packet
457,13-164,"Beetroot, raw",DG,Vegetables,"loose, individual"
458,13-167,"Breadfruit, raw",DG,Vegetables,"loose, individual"
459,13-502,"Broccoli, green, raw",DG,Vegetables,"loose, individual"
460,13-174,"Broccoli, purple sprouting, raw",DG,Vegetables,packet
461,13-177,"Brussels sprouts, raw",DG,Vegetables,packet
462,,"Beanburger, retail",DR,Vegetables,packet
463,,"Beanburger, vegetarian",DR,Vegetables,packet
464,13-067,"Beans, broad, dried, raw",DB,Vegetables,"loose, individual"
465,,"Beans, broad, canned",DB,Vegetables,tin
466,13-064,"Beans, broad, whole, raw, without pod",DB,Vegetables,packet
467,,"Beans, cannellini, canned",DB,Vegetables,can
468,13-582,"Cabbage, average, raw",DG,Vegetables,"loose, individual"
469,13-187,"Cabbage, Chinese, raw",DG,Vegetables,"loose, individual"
470,13-510,"Cabbage, green, raw",DG,Vegetables,"loose, individual"
471,13-190,"Cabbage, red, raw",DG,Vegetables,"loose, individual"
472,13-509,"Cabbage, white, raw",DG,Vegetables,"loose, individual"
473,13-448,"Carrots, young, raw",DG,Vegetables,"loose, individual, bag"
474,13-512,"Cauliflower, raw",DG,Vegetables,"loose, individual"
475,13-219,"Celeriac, raw",DG,Vegetables,"loose, individual"
476,13-636,"Celery, raw",DG,Vegetables,"loose, individual"
477,13-223,"Chard, Swiss, raw",DG,Vegetables,"loose, individual"
478,13-225,"Chicory, pale variety, raw",DG,Vegetables,"loose, individual"
479,13-627,"Courgette, raw",DG,Vegetables,"loose, individual"
480,13-234,"Curly kale, raw",DG,Vegetables,bag
481,,"Casserole, vegetable, retail",DR,Vegetables,packet
482,15-637,"Cauliflower cheese, retail",DR,Vegetables,packet
483,15-635,"Coleslaw, not low calorie, retail",DR,Vegetables,packet
484,,"Curry, Vegetable, Mixed, canned",DR,Vegetables,tin
485,13-244,"Garlic, raw",DG,Vegetables,"individual, pack"
486,13-245,"Gherkins, raw",DG,Vegetables,jar
487,13-608,"Green beans, dried",DI,Vegetables,packet
488,,"Green beans, in water, canned ",DI,Vegetables,tin
489,13-556,Houmous,DB,Vegetables,packet
490,13-258,"Horseradish, raw",DG,Vegetables,
491,13-261,"Kohl rabi, raw",DG,Vegetables,"loose, individual"
492,15-809,Khadhi,DR,Vegetables,
493,13-089,"Lentils, green and brown, whole, dried, raw",DB,Vegetables,packet
494,,"Lentils, canned",DB,Vegetables,can
495,13-624,"Leeks, raw",DG,Vegetables,"loose, individual"
496,13-520,"Lettuce, average, raw",DG,Vegetables,"loose, individual"
497,13-271,"Lotus tubers, raw",DG,Vegetables,
498,15-651,"Lasagne, vegetable, retail",DR,Vegetables,packet
499,13-505,"Mushrooms, white, raw",DG,Vegetables,packet
500,13-298,"Mustard leaves, raw",DG,Vegetables,
501,15-652,"Moussaka, vegetable, retail",DR,Vegetables,packet
502,13-300,"Okra, raw",DG,Vegetables,packet
503,13-499,"Onions, raw",DG,Vegetables,"loose, individual"
504,,"Potatoes,",DA,Vegetables,
505,,"Potato chips,",DAP,Vegetables,
506,,"Potato wedges, retail, ",DAR,Vegetables,
507,,"Peas, canned in water",DF,Vegetables,tin
508,13-527,"Peas, frozen, raw",DF,Vegetables,
509,,"Pak choi, raw",DG,Vegetables,
510,13-311,"Papaya, unripe, green flesh, raw",DG,Vegetables,"loose, individual"
511,13-312,"Parsnip, raw",DG,Vegetables,"loose, individual, packet"
512,13-524,"Pepper, capsicum, red, raw",DG,Vegetables,"loose, individual"
513,13-323,"Plantain, green flesh, raw",DG,Vegetables,"loose, individual"
514,13-326,"Pumpkin, flesh only, raw",DG,Vegetables,"loose, individual"
515,15-262,Quorn korma,DR,Vegetables,
516,13-332,"Radish leaves, raw",DG,Vegetables,
517,13-522,"Rocket, raw",DG,Vegetables,packet
518,15-869,"Roulade, spinach",DR,Vegetables,
519,13-521,"Spinach, baby, raw",DG,Vegetables,packet
520,13-359,"Swede, flesh only, raw",DG,Vegetables,
521,,"Swede, raw,flesh and skin",DG,Vegetables,
522,13-463,"Sweet potato, raw, flesh only",DG,Vegetables,packet
523,,"Sweet potato, raw, flesh and skin",DG,Vegetables,packet
524,,"Sweetcorn kernels, canned",DG,Vegetables,tin
525,13-622,"Sweetcorn, kernels, raw",DG,Vegetables,packet
526,,Sweetcorn on a cob,DG,Vegetables,packet
527,15-872,"Salad, pasta, vegetables and mayonnaise",DR,Vegetables,
528,15-883,"Shepherd's pie, vegetable",DR,Vegetables,
529,15-617,"Sushi, vegetable",DR,Vegetables,
530,,"Vegetables, mixed, frozen",DG,Vegetables,
531,15-656,"Vegeburger, retail, grilled",DR,Vegetables,
532,,"Vegetable stir fry mix,",DR,Vegetables,packet
533,13-673,"Watercress, raw",DG,Vegetables,packet
534,13-397,"Yam, flesh only, raw",DG,Vegetables,
