,Food Code,Food Name,Group,Super Group,Sale format(s)
254,17-487,"Dripping, beef",OF,Fats and oils,jar
355,17-010,Lard,OF,Fats and oils,block
417,17-031,"Oil, coconut",OC,Fats and oils,jar
418,17-039,"Oil, palm",OC,Fats and oils,bottle
419,17-044,"Oil, soya",OC,Fats and oils,bottle
420,17-045,"Oil, sunflower",OC,Fats and oils,bottle
421,17-686,"Oil, vegetable, average",OC,Fats and oils,bottle
