,Food Code,Food Name,Food sub-group codes,Food Group,Sale format(s),Source,Similarity Score,Weight,PurEqualCon,Portion Consumed
346,14-892,peanut butter smooth,GA,Nuts and seeds,jar,,0.814234036,25g,Y,1 portion pack
347,14-882,peanuts and raisins,GA,Nuts and seeds,packet,,0.422049821,,,
348,14-840,pistachio nuts kernel only roasted and salted,GA,Nuts and seeds,packet,,0.529493312,,,
349,14-843,quinoa,GA,Nuts and seeds,packet,,0,,,
350,14-845,sunflower seeds,GA,Nuts and seeds,packet,,0,,,
351,14-879,walnuts kernel only,GA,Nuts and seeds,packet,,0,,,
352,,apple sauce,WC,"Soups, sauces and miscellaneous foods",jar,,0.379256617,,,
353,17-705,barbecue sauce,WC,"Soups, sauces and miscellaneous foods",,,0.525602448,,,
354,17-678,brown sauce reduced salt/sugar,WCN,"Soups, sauces and miscellaneous foods",,,0.466926379,,,
355,17-697,chicken soup cream of condensed as served,WAC,"Soups, sauces and miscellaneous foods",can,,0.466845915,,,
356,17-719,chilli sauce,WC,"Soups, sauces and miscellaneous foods",,,0.323542919,,,
357,,cheese sauce,WCD,"Soups, sauces and miscellaneous foods",,,0.410011635,,,
358,17-345,chutney tomato,WCG,"Soups, sauces and miscellaneous foods",jar,,0.474148922,,,
359,17-358,cream of tartar,WY,"Soups, sauces and miscellaneous foods",sachet,,0.396469855,,,
360,17-715,dressing blue cheese,WCG,"Soups, sauces and miscellaneous foods",,,0.450274572,,,
361,17-701,dressing french,WCG,"Soups, sauces and miscellaneous foods",,,0.521994694,,,
362,17-717,dressing thousand island,WCG,"Soups, sauces and miscellaneous foods",,,0,,,
363,,guacamole,WC,"Soups, sauces and miscellaneous foods",,,0,,,
364,17-360,gelatine,WY,"Soups, sauces and miscellaneous foods",,,0,,,
365,17-724,gravy instant granules,WY,"Soups, sauces and miscellaneous foods",,,0.553439095,,,
366,,hollandaise sauce,WC,"Soups, sauces and miscellaneous foods",jar,,0.525602448,,,
367,,hollandaise sauce vegan,WC,"Soups, sauces and miscellaneous foods",jar,,0.444075904,,,
368,17-654,mayonnaise standard,WCG,"Soups, sauces and miscellaneous foods",,,0.509113424,,,
369,17-364,mustard smooth,WY,"Soups, sauces and miscellaneous foods",jar,,0.786442736,5g,Y,I sachet
370,17-623,pesto red,WC,"Soups, sauces and miscellaneous foods",jar,,0,,,
371,17-718,pickle sweet,WCG,"Soups, sauces and miscellaneous foods",jar,,0.712555195,20g,Y,1 portion pack
372,17-702,piccalilli,WCN,"Soups, sauces and miscellaneous foods",jar,,0,,,
373,17-354,relish tomato based,WCN,"Soups, sauces and miscellaneous foods",jar,,0.474148922,,,
374,17-711,soup minestrone,WA,"Soups, sauces and miscellaneous foods",can,,0.810965079,170g,Y,vending machine soup
375,17-695,soup chicken cream of,WAC,"Soups, sauces and miscellaneous foods",can,,0.414406429,,,
376,17-652,soup cream of tomato,WAC,"Soups, sauces and miscellaneous foods",can,,0.425200593,,,
377,17-698,soup lentil,WAC,"Soups, sauces and miscellaneous foods",can,,0.810965079,170g,Y,vending machine soup
378,17-700,soup oxtail,WAC,"Soups, sauces and miscellaneous foods",can,,0.810965079,170g,Y,vending machine soup
379,17-712,soup,WAC,"Soups, sauces and miscellaneous foods",can,,0.810965079,170g,Y,vending machine soup
380,17-653,soup instant dried as purchased,WAE,"Soups, sauces and miscellaneous foods",can,,0.415079926,,,
381,17-628,sauce chinese cook in sweet & sour,WC,"Soups, sauces and miscellaneous foods",,,0.461741431,,,
382,17-629,sauce chinese stir fry,WC,"Soups, sauces and miscellaneous foods",,,0.381638919,,,
383,17-703,salad cream,WCG,"Soups, sauces and miscellaneous foods",,,0.840662827,12g,Y,1 sachet
384,,sauce sweet and sour,WCN,"Soups, sauces and miscellaneous foods",jar,,0.37562878,,,
385,17-721,soy sauce light and dark varieties,WCN,"Soups, sauces and miscellaneous foods",,,0.345065631,,,
386,17-367,salt,WY,"Soups, sauces and miscellaneous foods",,,0.460500085,,,
387,17-515,stock cubes beef,WY,"Soups, sauces and miscellaneous foods",,,0.585931837,,,
388,17-680,stock gel,WY,"Soups, sauces and miscellaneous foods",,,0,,,
389,17-681,stock chicken ready made,WY,"Soups, sauces and miscellaneous foods",,,0.354088542,,,
390,17-339,vinegar,WY,"Soups, sauces and miscellaneous foods",,,0.460500085,,,
391,,white sauce,WCD,"Soups, sauces and miscellaneous foods",jar,,0.342569209,,,
392,,white sauce vegan,WCD,"Soups, sauces and miscellaneous foods",jar,,0.36238576,,,
393,17-723,worcestershire sauce,WCN,"Soups, sauces and miscellaneous foods",,,0.525602448,,,
394,17-377,water distilled,WY,"Soups, sauces and miscellaneous foods",,,0.638043706,250g,Y,small
395,17-517,yeast extract,WY,"Soups, sauces and miscellaneous foods",jar,,0,,,
396,17-659,chocolate spread,SC,"Sugars, preserves and snacks",jar,,0.536800808,,,
397,17-658,chocolate covered bar with caramel and cereal,SEA,"Sugars, preserves and snacks","indiviudal bar, multipack",,0.523511013,,,
398,17-763,creme egg,SEA,"Sugars, preserves and snacks",individual,,0.441470119,,,
399,17-645,corn snacks,SN,"Sugars, preserves and snacks",bag,,0.406280649,,,
400,,chevda/chevra/chewra,SNC,"Sugars, preserves and snacks",,,0,,,
401,17-049,glucose liquid bp,SC,"Sugars, preserves and snacks",tube,,0,,,
402,17-050,honey,SC,"Sugars, preserves and snacks",jar,,0,,,
403,17-689,ice cream sauce topping strawberry and chocolate flavours,SC,"Sugars, preserves and snacks",,,0.578132899,,,
404,17-075,jam reduced sugar,SC,"Sugars, preserves and snacks",jar,,0.562836456,,,
405,17-777,liquorice allsorts,SEC,"Sugars, preserves and snacks",bag,,0.733722336,56g,Y,small bag
406,17-078,marmalade,SC,"Sugars, preserves and snacks",jar,,0.437450331,,,
407,17-651,maltesers and similar products,SEA,"Sugars, preserves and snacks","individual bag, share bag",,0.526185984,,,
408,17-668,mars bar and own brand equivalents,SEA,"Sugars, preserves and snacks","indiviudal bar, multipack",,0.531670435,,,
409,17-669,milky way and own brand equivalents,SEA,"Sugars, preserves and snacks","indiviudal bar, multipack",,0.606277133,26g,Y,standard
410,17-114,marshmallows,SEC,"Sugars, preserves and snacks",,,0.89907633,40g,Y,bag
411,,nougat,SEC,"Sugars, preserves and snacks",,,0.789060544,70g,Y,small bar
412,17-117,peppermints,SEC,"Sugars, preserves and snacks",,,0,,,
413,17-692,popcorn salted,SN,"Sugars, preserves and snacks",,,0.518909784,,,
414,17-132,pork scratchings,SN,"Sugars, preserves and snacks",bag,,0.883366818,22g,Y,per bag
415,17-693,potato crisps low fat,SN,"Sugars, preserves and snacks",bag,,0.428238204,,,
416,17-060,sugar brown,SC,"Sugars, preserves and snacks",bag,,0.712353282,6g,Y,1 'packet' sugar
417,17-062,sugar icing,SC,"Sugars, preserves and snacks",bag,,0.954899939,6g,Y,1 'packet' sugar
418,17-063,sugar white,SC,"Sugars, preserves and snacks",bag,,0.712353282,6g,Y,1 'packet' sugar
419,17-065,syrup golden,SC,"Sugars, preserves and snacks",tin,,0.418157025,,,
420,17-096,smartie-type sweets,SEA,"Sugars, preserves and snacks",tube,,0,,,
421,,ackee,DG,Vegetables,tin,,0,,,
422,13-146,agar dried,DG,Vegetables,,,0,,,
423,13-148,alfalfa sprouts,DG,Vegetables,,,0,,,
424,13-149,amaranth leaves,DG,Vegetables,,,0,,,
425,13-151,arrowhead,DG,Vegetables,,,0,,,
426,13-153,artichoke globe,DG,Vegetables,"loose, individual",,0,,,
427,,artichoke,DG,Vegetables,tin,,0,,,
428,,artichoke jar,DG,Vegetables,jar,,0.594410078,,,
429,13-157,asparagus,DG,Vegetables,"bunch, packet",,0,,,
430,13-161,aubergine,DG,Vegetables,"loose, individual",,0,,,
431,13-532,baked beans in tomato sauce,DB,Vegetables,tin,,0.559228665,,,
432,13-041,beans aduki whole dried,DB,Vegetables,packet,,0.469653374,,,
433,,beans aduki,DB,Vegetables,tin,,0.698585286,170g,Y,small can
434,13-062,beans blackeye whole dried,DB,Vegetables,packet,,0.469653374,,,
435,,beans blackeye,DB,Vegetables,tin,,0.698585286,170g,Y,small can
436,13-070,beans butter dried,DB,Vegetables,packet,,0.47267724,,,
437,,beans butter,DB,Vegetables,tin,,0.47267724,,,
438,13-074,beans chick peas kabuli whole dried,DB,Vegetables,packet,,0.469653374,,,
439,,beans chick peas,DB,Vegetables,tin,,0.698585286,170g,Y,small can
440,13-080,beans cluster,DB,Vegetables,packet,,0.698585286,170g,Y,small can
441,,beans edamame frozen,DB,Vegetables,packet,,0.493974393,,,
442,,beans edamame,DB,Vegetables,tin,,0.698585286,170g,Y,small can
443,13-514,beans green,DB,Vegetables,packet,,0.698585286,170g,Y,small can
444,13-086,beans haricot whole dried,DB,Vegetables,jar,,0.469653374,,,
445,,beans haricot,DB,Vegetables,tin,,0.698585286,170g,Y,small can
446,13-098,beans mung dahl dried,DB,Vegetables,packet,,0.698585286,170g,Y,small can
447,13-102,beans pigeon peas whole dried,DB,Vegetables,packet,,0.469653374,,,
448,13-106,beans pinto dried,DB,Vegetables,packet,,0.698585286,170g,Y,small can
449,,beans pinto,DB,Vegetables,tin,,0.698585286,170g,Y,small can
450,13-109,beans red kidney dried,DB,Vegetables,packet,,0.417555947,,,
451,,beans red kidney,DB,Vegetables,tin,,0.417555947,,,
452,13-112,beans runner,DB,Vegetables,packet,,0.698585286,170g,Y,small can
453,13-115,beans soya dried,DB,Vegetables,packet,,0.698585286,170g,Y,small can
454,13-117,beans sword,DB,Vegetables,packet,,0.698585286,170g,Y,small can
455,13-426,beansprouts mung,DB,Vegetables,packet,,0,,,
456,13-056,black gram urad gram whole dried,DB,Vegetables,packet,,0.59642214,,,
457,13-164,beetroot,DG,Vegetables,"loose, individual",,0,,,
458,13-167,breadfruit,DG,Vegetables,"loose, individual",,0,,,
459,13-502,broccoli green,DG,Vegetables,"loose, individual",,0,,,
460,13-174,broccoli purple sprouting,DG,Vegetables,packet,,0,,,
461,13-177,brussels sprouts,DG,Vegetables,packet,,0,,,
462,,beanburger,DR,Vegetables,packet,,0,,,
463,,beanburger vegetarian,DR,Vegetables,packet,,0.510221519,,,
464,13-067,beans broad dried,DB,Vegetables,"loose, individual",,0.698585286,170g,Y,small can
465,,beans broad,DB,Vegetables,tin,,0.698585286,170g,Y,small can
466,13-064,beans broad whole without pod,DB,Vegetables,packet,,0.429160836,,,
467,,beans cannellini,DB,Vegetables,can,,0.698585286,170g,Y,small can
468,13-582,cabbage average,DG,Vegetables,"loose, individual",,0.439410618,,,
469,13-187,cabbage chinese,DG,Vegetables,"loose, individual",,0.414587918,,,
470,13-510,cabbage green,DG,Vegetables,"loose, individual",,0,,,
471,13-190,cabbage red,DG,Vegetables,"loose, individual",,0,,,
472,13-509,cabbage white,DG,Vegetables,"loose, individual",,0.372787127,,,
473,13-448,carrots young,DG,Vegetables,"loose, individual, bag",,0,,,
474,13-512,cauliflower,DG,Vegetables,"loose, individual",,0,,,
475,13-219,celeriac,DG,Vegetables,"loose, individual",,0,,,
476,13-636,celery,DG,Vegetables,"loose, individual",,0,,,
477,13-223,chard swiss,DG,Vegetables,"loose, individual",,0,,,
478,13-225,chicory pale variety,DG,Vegetables,"loose, individual",,0,,,
479,13-627,courgette,DG,Vegetables,"loose, individual",,0,,,
480,13-234,curly kale,DG,Vegetables,bag,,0,,,
481,,casserole,DR,Vegetables,packet,,0,,,
482,15-637,cauliflower cheese,DR,Vegetables,packet,,0.450274572,,,
483,15-635,coleslaw not low calorie,DR,Vegetables,packet,,0.355267884,,,
484,,curry mixed,DR,Vegetables,tin,,0.358754345,,,
485,13-244,garlic,DG,Vegetables,"individual, pack",,0.565405342,,,
486,13-245,gherkins,DG,Vegetables,jar,,0,,,
487,13-608,green beans dried,DI,Vegetables,packet,,0.698585286,170g,Y,small can
488,,green beans in water,DI,Vegetables,tin,,0.517496702,,,
489,13-556,houmous,DB,Vegetables,packet,,0,,,
490,13-258,horseradish,DG,Vegetables,,,0.685131348,12g,Y,1 sachet
491,13-261,kohl rabi,DG,Vegetables,"loose, individual",,0,,,
492,15-809,khadhi,DR,Vegetables,,,0,,,
493,13-089,lentils green and brown whole dried,DB,Vegetables,packet,,0.362729759,,,
494,,lentils,DB,Vegetables,can,,0,,,
495,13-624,leeks,DG,Vegetables,"loose, individual",,0,,,
496,13-520,lettuce average,DG,Vegetables,"loose, individual",,0.439410618,,,
497,13-271,lotus tubers,DG,Vegetables,,,0,,,
498,15-651,lasagne,DR,Vegetables,packet,,0.475066791,,,
499,13-505,mushrooms white,DG,Vegetables,packet,,0.372787127,,,
500,13-298,mustard leaves,DG,Vegetables,,,0.786442736,5g,Y,I sachet
501,15-652,moussaka,DR,Vegetables,packet,,0,,,
502,13-300,okra,DG,Vegetables,packet,,0,,,
503,13-499,onions,DG,Vegetables,"loose, individual",,0,,,
504,,potatoes,DA,Vegetables,,,0.833041817,75g,Y,small
505,,potato chips,DAP,Vegetables,,,0.374638575,,,
506,,potato wedges,DAR,Vegetables,,,0.332714819,,,
507,,peas in water,DF,Vegetables,tin,,0.513016791,,,
508,13-527,peas frozen,DF,Vegetables,,,0.483319953,,,
509,,pak choi,DG,Vegetables,,,0,,,
510,13-311,papaya unripe green flesh,DG,Vegetables,"loose, individual",,0,,,
511,13-312,parsnip,DG,Vegetables,"loose, individual, packet",,0,,,
512,13-524,pepper capsicum red,DG,Vegetables,"loose, individual",,0,,,
513,13-323,plantain green flesh,DG,Vegetables,"loose, individual",,0,,,
514,13-326,pumpkin flesh only,DG,Vegetables,"loose, individual",,0,,,
515,15-262,quorn korma,DR,Vegetables,,,0.281496672,,,
516,13-332,radish leaves,DG,Vegetables,,,0,,,
517,13-522,rocket,DG,Vegetables,packet,,0,,,
518,15-869,roulade spinach,DR,Vegetables,,,0,,,
519,13-521,spinach baby,DG,Vegetables,packet,,0.713528342,60g,Y,Baby Danone
520,13-359,swede flesh only,DG,Vegetables,,,0,,,
521,,swede flesh and skin,DG,Vegetables,,,0.324623371,,,
522,13-463,sweet potato flesh only,DG,Vegetables,packet,,0.332714819,,,
523,,sweet potato flesh and skin,DG,Vegetables,packet,,0.338630981,,,
524,,sweetcorn kernels,DG,Vegetables,tin,,0,,,
525,13-622,sweetcorn kernels,DG,Vegetables,packet,,0,,,
526,,sweetcorn on a cob,DG,Vegetables,packet,,0.443994647,,,
527,15-872,salad pasta vegetables and mayonnaise,DR,Vegetables,,,0.570665335,,,
528,15-883,shepherd's pie,DR,Vegetables,,,0.641882036,480g,Y,large
529,15-617,sushi,DR,Vegetables,,,0,,,
530,,vegetables mixed frozen,DG,Vegetables,,,0.385196251,,,
531,15-656,vegeburger grilled,DR,Vegetables,,,0,,,
532,,stir fry mix,DR,Vegetables,packet,,0.446576082,,,
533,13-673,watercress,DG,Vegetables,packet,,0,,,
534,13-397,yam flesh only,DG,Vegetables,,,0,,,
535,13-530,"Tomatoes, canned, whole contents",DG,Vegetables,,,,,,
536,13-517,"Tomatoes, standard, raw",DG,Vegetables,,,,,,
