,Food Code,Food Name,Group,Super Group,Sale format(s),VJ comments
392,14-339,"Melon, Canteloupe-type, flesh only",FA,Fruit,"loose, individual",
393,14-168,"Mulberries, whole fruit, raw",FA,Fruit,punnet,
394,14-891,"Macadamia nuts, salted",G,Nuts and seeds,packet,
395,14-875,"Marzipan, white and yellow, retail",GA,Nuts and seeds,packet,
396,13-835,"Marjoram, dried",H,Herbs and spices,spice jar,
397,13-836,"Mint, fresh",H,Herbs and spices,bunch,
398,13-886,Mixed curry spices,H,Herbs and spices,spice jar,
399,13-884,"Mixed herbs, dried",H,Herbs and spices,spice jar,
400,13-839,Mustard seeds,H,Herbs and spices,spice jar,
401,16-393,"Mackerel, flesh only, raw",JC,Fish and fish products,,
402,16-497,"Mussels, raw",JM,Fish and fish products,,
403,19-605,"Meat loaf, homemade",MR,Meat and meat products,,
404,19-326,"Meat samosas, takeaway",MR,Meat and meat products,,
405,19-613,"Meatballs, pork and beef, in tomato sauce, homemade",MR,Meat and meat products,,
406,17-733,"Milk shake, powder",PAA,Beverages,,
407,17-078,Marmalade,SC,"Sugars, preserves and snacks",jar,
408,17-651,Maltesers and similar products,SEA,"Sugars, preserves and snacks","individual bag, share bag",
409,17-668,Mars bar and own brand equivalents,SEA,"Sugars, preserves and snacks","indiviudal bar, multipack",
410,17-669,Milky Way and own brand equivalents,SEA,"Sugars, preserves and snacks","indiviudal bar, multipack",
411,17-114,Marshmallows,SEC,"Sugars, preserves and snacks",,
412,17-654,"Mayonnaise, standard, retail",WCG,"Soups, sauces and miscellaneous foods",,
413,17-364,"Mustard, smooth",WY,"Soups, sauces and miscellaneous foods",jar,
414,11-719,"Noodles, egg, dried, raw",AD,Cereals and cereal products,,
415,14-380,"Nectarines, flesh and skin, raw",FA,Fruit,punnet,
416,14-880,"Nuts, mixed",GA,Nuts and seeds,packet,
417,13-877,"Nutmeg, ground",H,Herbs and spices,spice jar,
418,17-814,"Nougat, homemade",SEC,"Sugars, preserves and snacks",,
419,11-823,"Oatcakes, plain, retail",AM,Cereals and cereal products,wrapper or box,
420,13-300,"Okra, raw",DG,Vegetables,,
421,13-499,"Onions, raw",DG,Vegetables,"loose, individual",
422,14-340,"Olives, green, in brine, drained, flesh and skin",FA,Fruit,"tin, jar",
423,14-327,"Oranges, flesh only",FA,Fruit,"loose, individual, net",include version with skin included if available
424,14-369,"Orange juice, freshly squeezed",FC,Fruit,"carton, tetrapak, bottle",
425,13-878,"Oregano, dried, ground",H,Herbs and spices,spice jar,
426,16-259,"Octopus, raw",JM,Fish and fish products,,
427,16-260,"Oysters, raw",JM,Fish and fish products,,
428,18-419,"Oxtail, raw",MG,Meat and meat products,,
429,17-031,"Oil, coconut",OC,Fats and oils,jar,
430,17-039,"Oil, palm",OC,Fats and oils,bottle,
431,17-044,"Oil, soya",OC,Fats and oils,bottle,
432,17-045,"Oil, sunflower",OC,Fats and oils,bottle,
433,17-686,"Oil, vegetable, average",OC,Fats and oils,bottle,
434,17-734,"Ovaltine, powder",PAA,Beverages,,
435,11-936,"Pizza, cheese and tomato, retail",A,Cereals and cereal products,,
436,11-788,"Porridge oats, unfortified",A,Cereals and cereal products,,
437,11-450,"Pasta, plain, fresh, boiled",AD,Cereals and cereal products,,include uncooked version and uncooked dried pasta too
438,11-735,"Pasta, spaghetti, canned, in tomato sauce",AD,Cereals and cereal products,tin,include dried spaghetti too
439,11-998,"Papadums, takeaway",AF,Cereals and cereal products,,
440,11-853,"Pastry, shortcrust, retail, cooked",AO,Cereals and cereal products,,
441,11-844,"Pastries, chocolate eclairs, cream filled, retail",AP,Cereals and cereal products,,
442,11-1141,"Pancakes, sweet, made with skimmed milk, homemade",AS,Cereals and cereal products,,
443,11-921,"Pie, apple, pastry, double crust, retail",AS,Cereals and cereal products,,
444,11-847,"Pie, fruit, individual, retail",AS,Cereals and cereal products,,
445,11-1119,"Pudding, sponge, homemade",AS,Cereals and cereal products,,
446,11-1023,"Prawn crackers, takeaway",AT,Cereals and cereal products,,
447,12-553,"Pudding, rice, canned, low fat",BR,Milk and milk products,tin,
448,13-534,"Potatoes, old, roasted in rapeseed oil",DA,Vegetables,,
449,13-487,"Potato chips, oven ready, no batter, baked",DAP,Vegetables,,
450,13-483,"Potato wedges, retail, cooked",DAR,Vegetables,,
451,13-564,"Peas, canned in water, re-heated, drained",DF,Vegetables,tin,include undrained version (as sold)
452,13-527,"Peas, frozen, raw",DF,Vegetables,,
453,13-516,"Pak choi, steamed",DG,Vegetables,,
454,13-311,"Papaya, unripe, green flesh, raw",DG,Vegetables,"loose, individual",
455,13-312,"Parsnip, raw",DG,Vegetables,,
456,13-524,"Pepper, capsicum, red, raw",DG,Vegetables,"loose, individual",
457,13-323,"Plantain, green flesh, raw",DG,Vegetables,"loose, individual",
458,13-326,"Pumpkin, flesh only, raw",DG,Vegetables,"loose, individual",
459,14-365,"Pears, average, raw, flesh only",F,Fruit,"loose, individual, bag",include version with core included if available
460,14-188,"Peaches, canned in juice, whole contents",FA,Fruit,tin  ,
461,14-196,"Pears, dried",FA,Fruit,packet,
462,14-376,"Pineapple, flesh only, raw",FA,Fruit,"loose, individual",include version with skin included if available
463,14-222,"Plums, Victoria, stewed without sugar",FA,Fruit,,"suggest removing, this would be made at home and unlikely bought from a supermarket"
464,14-226,"Pomegranate, flesh and pips",FA,Fruit,"loose, individual",
465,14-285,Passion fruit juice,FC,Fruit,"carton, tetrapak, bottle",
466,14-341,Pomegranate juice drink,FC,Fruit,"carton, tetrapak, bottle",
467,14-289,Prune juice,FC,Fruit,"carton, tetrapak, bottle",
468,14-892,"Peanut butter, smooth",GA,Nuts and seeds,jar,
469,14-882,Peanuts and raisins,GA,Nuts and seeds,packet,
470,14-840,"Pistachio nuts, kernel only, roasted and salted",GA,Nuts and seeds,packet,
471,13-879,Paprika,H,Herbs and spices,spice jar,
472,13-844,"Parsley, fresh",H,Herbs and spices,bunch,
473,13-880,"Pepper, black",H,Herbs and spices,,
474,16-378,"Pollock, Alaskan, flesh only, raw",JA,Fish and fish products,,
475,16-387,"Prawns, king, raw",JK,Fish and fish products,,
476,18-609,"Pork, spare ribs, raw, lean and fat",MAG,Meat and meat products,,
477,17-234,Port,QF,Alcoholic beverages,bottle,
478,17-117,Peppermints,SEC,"Sugars, preserves and snacks",,
479,17-692,"Popcorn, salted, retail",SN,"Sugars, preserves and snacks",,
480,17-132,Pork scratchings,SN,"Sugars, preserves and snacks",bag,
481,17-693,"Potato crisps, low fat",SN,"Sugars, preserves and snacks",bag,
482,17-623,"Pesto, red",WC,"Soups, sauces and miscellaneous foods",jar,
483,17-718,"Pickle, sweet",WCG,"Soups, sauces and miscellaneous foods",jar,
484,17-702,Piccalilli,WCN,"Soups, sauces and miscellaneous foods",jar,
485,12-949,"Quiche, vegetable, retail",CD,Eggs,"small individual, large sharing",
486,15-262,Quorn korma,DR,Vegetables,,
487,14-843,"Quinoa, raw",GA,Nuts and seeds,packet,
488,11-866,"Rice, brown, basmati, raw",AC,Cereals and cereal products,packet,
489,11-870,"Rice, brown, easy cook, raw",AC,Cereals and cereal products,packet,
490,11-874,"Rice, Thai fragrant, raw",AC,Cereals and cereal products,packet,
491,11-863,"Rice, white, long grain, easy cook, raw",AC,Cereals and cereal products,packet,
492,11-940,Rusks,AK,Cereals and cereal products,,
493,11-999,"Risotto, plain, homemade",AT,Cereals and cereal products,,
494,12-595,"Raita, yogurt and gram flour, homemade",BV,Milk and milk products,,
495,13-332,"Radish leaves, raw",DG,Vegetables,,
496,13-522,"Rocket, raw",DG,Vegetables,,
497,15-869,"Roulade, spinach",DR,Vegetables,,
498,14-393,"Raisins, dried",FA,Fruit,packet,
499,14-375,"Raspberries, raw",FA,Fruit,punnet,
500,14-249,"Redcurrants, raw",FA,Fruit,punnet,
501,14-252,"Rhubarb, stems only, raw",FA,Fruit,bunch,
502,13-892,"Rosemary, fresh",H,Herbs and spices,bunch,
503,18-387,"Rabbit, raw, meat only",MEC,Meat and meat products,,
504,17-354,"Relish, tomato based",WCN,"Soups, sauces and miscellaneous foods",jar,
505,11-903,"Semolina, raw",AA,Cereals and cereal products,,
506,11-955,"Sandwich, white bread, bacon, lettuce and tomato",AB,Cereals and cereal products,,"I suggest for purposes of weight data info, change this to generic sandwich product i.e. it doesn't matter what flavour"
507,11-802,Shortbread,AM,Cereals and cereal products,wrapper or box,
508,11-544,"Scotch pancakes, retail",AP,Cereals and cereal products,,
509,11-919,"Strudel, fruit filled, retail, frozen",AS,Cereals and cereal products,,
510,17-371,"Stuffing mix, dried",AT,Cereals and cereal products,,
511,13-521,"Spinach, baby, raw",DG,Vegetables,,
512,13-359,"Swede, flesh only, raw",DG,Vegetables,,include version with skin too if available
513,13-672,"Sweet potato, baked",DG,Vegetables,,include raw version if available
514,13-529,"Sweetcorn kernels, canned in water, drained",DG,Vegetables,tin,include undrained version (as sold)
515,13-622,"Sweetcorn, kernels, raw",DG,Vegetables,,include raw corn on the cob instead
516,15-872,"Salad, pasta, vegetables and mayonnaise",DR,Vegetables,,
517,15-883,"Shepherd's pie, vegetable",DR,Vegetables,,
518,15-617,"Sushi, vegetable",DR,Vegetables,,
519,14-059,Star fruit,FA,Fruit,"loose, individual",
520,14-324,"Strawberries, raw",FA,Fruit,punnet,
521,14-845,Sunflower seeds,GA,Nuts and seeds,packet,
522,13-852,Saffron,H,Herbs and spices,spice jar,
523,13-854,"Sage, dried, ground",H,Herbs and spices,spice jar,
524,17-236,"Sherry, medium",QF,Alcoholic beverages,bottle,
525,17-247,"Spirits, 40% volume",QK,Alcoholic beverages,"bottle, miniature",
526,17-060,"Sugar, brown",SC,"Sugars, preserves and snacks",bag,
527,17-062,"Sugar, icing",SC,"Sugars, preserves and snacks",bag,
528,17-063,"Sugar, white",SC,"Sugars, preserves and snacks",bag,
529,17-065,"Syrup, golden",SC,"Sugars, preserves and snacks",tin,
530,17-096,Smartie-type sweets,SEA,"Sugars, preserves and snacks",tube,
531,17-711,"Soup, minestrone, canned",WA,"Soups, sauces and miscellaneous foods",can,
532,17-695,"Soup, chicken, cream of, canned",WAC,"Soups, sauces and miscellaneous foods",can,
533,17-652,"Soup, cream of tomato, canned",WAC,"Soups, sauces and miscellaneous foods",can,
534,17-698,"Soup, lentil, canned",WAC,"Soups, sauces and miscellaneous foods",can,
535,17-700,"Soup, oxtail, canned",WAC,"Soups, sauces and miscellaneous foods",can,
536,17-712,"Soup, vegetable, canned",WAC,"Soups, sauces and miscellaneous foods",can,
537,17-653,"Soup, instant, dried, as purchased",WAE,"Soups, sauces and miscellaneous foods",can,
538,17-628,"Sauce, Chinese cook in, sweet & sour",WC,"Soups, sauces and miscellaneous foods",,
539,17-629,"Sauce, Chinese stir fry",WC,"Soups, sauces and miscellaneous foods",,
540,17-703,Salad cream,WCG,"Soups, sauces and miscellaneous foods",,
541,17-336,"Sauce, sweet and sour, take-away",WCN,"Soups, sauces and miscellaneous foods",,
542,17-721,"Soy sauce, light and dark varieties",WCN,"Soups, sauces and miscellaneous foods",,
543,17-367,Salt,WY,"Soups, sauces and miscellaneous foods",,
544,17-515,"Stock cubes, beef",WY,"Soups, sauces and miscellaneous foods",,
545,17-680,Stock gel,WY,"Soups, sauces and miscellaneous foods",,
546,17-681,"Stock, chicken, ready made, retail",WY,"Soups, sauces and miscellaneous foods",,
547,11-925,"Tortilla, wheat, soft",AF,,,
548,11-845,"Tarts, bakewell, iced, retail",AS,,,
549,12-547,Tzatziki,BN,,,
550,13-570,"Tofu, soya bean, steamed",DB,,,
551,13-530,"Tomatoes, canned, whole contents",DG,,tin,
552,13-517,"Tomatoes, standard, raw",DG,,,
553,13-389,"Turnip, flesh only, raw",DG,,,include version with skin too if available
554,14-847,Tahini paste,GA,,jar,
555,14-848,Tigernuts,GA,,bag,
556,14-849,Trail mix,GA,,bag,
557,13-858,"Tarragon, dried, ground",H,,spice jar,
558,13-883,"Thyme, dried, ground",H,,spice jar,
559,13-861,"Turmeric, ground",H,,spice jar,
560,16-154,"Tilapia, raw",JA,,,
561,16-224,"Trout, brown, raw",JC,,,
562,16-416,"Tuna, canned in brine, drained",JC,,,include undrained version if available
563,18-352,"Turkey, whole, raw",MCO,,,
564,18-423,"Tongue, lamb, raw",MG,,,
565,18-428,"Tripe, dressed, raw",MG,,,
566,17-644,Tortilla chips fried in sunflower oil,SN,,bag,
567,17-694,Twiglets,SN,,bag,
568,17-722,Tartare sauce,WCN,,jar,
569,17-709,Tomato ketchup,WCN,,,
570,13-543,"Vegetables, mixed, frozen, boiled in unsalted water",DG,Vegetables,,include unboiled raw version if available
571,15-656,"Vegeburger, retail, grilled",DR,Vegetables,,
572,15-345,"Vegetable stir fry mix, fried in sunflower oil",DR,Vegetables,,
573,18-390,"Venison, meat only, raw",MEE,Meat and meat products,,
574,17-239,"Vermouth, dry",QG,Alcoholic beverages,bottle,
575,17-339,Vinegar,WY,"Soups, sauces and miscellaneous foods",,
576,11-800,"Wafers, plain ice cream wafers, not filled",AM,Cereals and cereal products,,
577,13-673,"Watercress, raw",DG,Vegetables,,
578,14-268,"Whitecurrants, raw",FA,Fruit,punnet,
579,14-879,"Walnuts, kernel only",GA,Nuts and seeds,packet,
580,16-231,"Whitebait, in flour, fried",JC,Fish and fish products,,
581,17-752,"Wine, red",QE,Alcoholic beverages,"bottle, small bottle, box",
582,17-756,"Wine, white, medium",QE,Alcoholic beverages,"bottle, small bottle, box",
583,17-778,"White sauce, savoury, made with skimmed milk, homemade",WCD,"Soups, sauces and miscellaneous foods",,
584,17-723,Worcestershire sauce,WCN,"Soups, sauces and miscellaneous foods",,
585,17-377,"Water, distilled",WY,"Soups, sauces and miscellaneous foods",,
586,11-1135,"Yorkshire pudding, made with skimmed milk, homemade",AT,Cereals and cereal products,,
587,12-555,"Yogurt, Greek style, plain",BN,Milk and milk products,,
588,12-375,"Yogurt, whole milk, fruit",BN,Milk and milk products,,
589,13-398,"Yam, baked",DG,Vegetables,,
590,17-517,Yeast extract,WY,"Soups, sauces and miscellaneous foods",jar,
591,,"Swede, raw,flesh and skin",DG,Vegetables,,
592,14-379,"Mangoes, ripe, flesh only, raw, weighed with skin and stone",FA,Fruit,"loose, individual",include version with skin included if available
593,13-463,"Sweet potato, raw, flesh only",DG,Vegetables,,include raw version if available
