,Food Code,Food Name,Group,Super Group,Sale format(s),VJ comments
67,11-970,"Bagels, plain",AP,Cereals and cereal products,"loose, individual
multiple pack",
68,11-1038,"Bread pudding, homemade",AS,Cereals and cereal products,,
69,12-500,"Baking fat and margarine (75-90% fat), hard block",BTM,Milk and milk products,block,
70,13-532,"Baked beans, canned in tomato sauce",DB,Vegetables,tin,
71,13-041,"Beans, aduki, whole, dried, raw",DB,Vegetables,packet,"for beans, where there are options for canned versions, I would include them as well as the dried versions, as canned beans are a very common packaging format"
72,13-062,"Beans, blackeye, whole, dried, raw",DB,Vegetables,packet,
73,13-070,"Beans, butter, dried, raw",DB,Vegetables,packet,
74,13-074,"Beans, chick peas, Kabuli, whole, dried, raw",DB,Vegetables,packet,
75,13-080,"Beans, cluster, raw",DB,Vegetables,packet,
76,,"Beans, edamame, frozen, ",DB,Vegetables,,Is there a version which is not boiled?
77,13-514,"Beans, green, raw",DB,Vegetables,packet,
78,13-086,"Beans, haricot, whole, dried, raw",DB,Vegetables,packet,
79,13-098,"Beans, mung, dahl, dried, raw",DB,Vegetables,packet,
80,13-102,"Beans, pigeon peas, whole, dried, raw",DB,Vegetables,packet,
81,13-106,"Beans, pinto, dried, raw",DB,Vegetables,packet,
82,13-109,"Beans, red kidney, dried, raw",DB,Vegetables,packet,
83,13-112,"Beans, runner, raw",DB,Vegetables,packet,
84,13-115,"Beans, soya, dried, raw",DB,Vegetables,packet,
85,13-117,"Beans, sword, raw",DB,Vegetables,packet,
86,13-426,"Beansprouts, mung, raw",DB,Vegetables,packet,
87,13-056,"Black gram, urad gram, whole, dried, raw",DB,Vegetables,packet,
88,13-164,"Beetroot, raw",DG,Vegetables,"loose, individual",
89,13-167,"Breadfruit, raw",DG,Vegetables,"loose, individual",
90,13-502,"Broccoli, green, raw",DG,Vegetables,"loose, individual",
91,13-174,"Broccoli, purple sprouting, raw",DG,Vegetables,packet,
92,13-177,"Brussels sprouts, raw",DG,Vegetables,packet,
93,15-664,"Bean loaf, mixed beans, homemade",DR,Vegetables,,
94,15-667,"Beanburger, red kidney bean, fried in rapeseed oil",DR,Vegetables,,
95,15-669,"Bhaji, aubergine and potato, homemade",DR,Vegetables,,
96,15-672,"Bhaji, cabbage and pea, with butter ghee, homemade",DR,Vegetables,,
97,15-676,"Bhaji, carrot, potato and pea, with butter, homemade",DR,Vegetables,,
98,15-703,"Bubble and squeak, fried in sunflower oil, homemade",DR,Vegetables,,
99,14-364,"Blackberry and apple, stewed without sugar",F,Fruit,home prepared,
