,Food Code,Food Name,Group,Super Group,Sale format(s),VJ comments
5,12-322,"Milk, Channel islands, whole, summer",BAB,Milk and milk products,"bottle 1 pint, 2 pint, 4 pint, 6 pint, carton 1 litre",
6,12-307,"Milk, skimmed, pasteurised, average",BAE,Milk and milk products,"bottle 1 pint, 2 pint, 4 pint, 6 pint, carton 1 litre",
7,12-313,"Milk, semi-skimmed, pasteurised, average",BAH,Milk and milk products,"bottle 1 pint, 2 pint, 4 pint, 6 pint, carton 1 litre",
8,12-596,"Milk, whole, pasteurised, average",BAK,Milk and milk products,"bottle 1 pint, 2 pint, 4 pint, 6 pint, carton 1 litre",
9,12-520,"Milk, condensed, whole, sweetened",BAR,Milk and milk products,tin,
10,12-522,"Milk, evaporated, whole",BAR,Milk and milk products,tin,
11,12-524,"Milk, soya, non-dairy alternative to milk, unsweetened, fortified",BC,Milk and milk products,"carton, 1L",
12,12-517,"Meringue, homemade",BR,Milk and milk products,,
13,12-401,"Mousse, chocolate, low fat",BR,Milk and milk products,,
14,12-951,"Macaroon, homemade",CDH,Eggs,,
15,13-273,"Mango, unripe, green flesh, raw",DG,Vegetables,"loose, individual",suggest removing this one as we have the ripe version
16,13-505,"Mushrooms, white, raw",DG,Vegetables,,
17,13-298,"Mustard leaves, raw",DG,Vegetables,,
18,15-652,"Moussaka, vegetable, retail",DR,Vegetables,,
19,14-378,"Mangoes, ripe, flesh only, raw",FA,Fruit,"loose, individual",include version with skin included if available
20,14-339,"Melon, Canteloupe-type, flesh only",FA,Fruit,"loose, individual",
21,14-168,"Mulberries, whole fruit, raw",FA,Fruit,punnet,
22,14-891,"Macadamia nuts, salted",G,Nuts and seeds,packet,
23,14-875,"Marzipan, white and yellow, retail",GA,Nuts and seeds,packet,
24,13-835,"Marjoram, dried",H,Herbs and Spices,spice jar,
25,13-836,"Mint, fresh",H,Herbs and Spices,bunch,
26,13-886,Mixed curry spices,H,Herbs and Spices,spice jar,
27,13-884,"Mixed herbs, dried",H,Herbs and Spices,spice jar,
28,13-839,Mustard seeds,H,Herbs and Spices,spice jar,
29,16-393,"Mackerel, flesh only, raw",JC,Fish and fish products,,
30,16-497,"Mussels, raw",JM,Fish and fish products,,
31,19-605,"Meat loaf, homemade",MR,Meat and meat products,,
32,19-326,"Meat samosas, takeaway",MR,Meat and meat products,,
33,19-613,"Meatballs, pork and beef, in tomato sauce, homemade",MR,Meat and meat products,,
34,17-733,"Milk shake, powder",PAA,Beverages,,
35,17-078,Marmalade,SC,"Sugars, preserves and snacks",jar,
36,17-651,Maltesers and similar products,SEA,"Sugars, preserves and snacks","individual bag, share bag",
37,17-668,Mars bar and own brand equivalents,SEA,"Sugars, preserves and snacks","indiviudal bar, multipack",
38,17-669,Milky Way and own brand equivalents,SEA,"Sugars, preserves and snacks","indiviudal bar, multipack",
39,17-114,Marshmallows,SEC,"Sugars, preserves and snacks",,
40,17-654,"Mayonnaise, standard, retail",WCG,"Soups, sauces and miscellaneous foods",,
41,17-364,"Mustard, smooth",WY,"Soups, sauces and miscellaneous foods",jar,
0,11-719,"Noodles, egg, dried, raw",AD,Cereals and cereal products,,
1,14-380,"Nectarines, flesh and skin, raw",FA,Fruit,punnet,
2,14-880,"Nuts, mixed",GA,Nuts and seeds,packet,
3,13-877,"Nutmeg, ground",H,Herbs and Spices,spice jar,
4,17-814,"Nougat, homemade",SEC,"Sugars, preserves and snacks",,
0,11-823,"Oatcakes, plain, retail",AM,Cereals and cereal products,wrapper or box,
1,13-300,"Okra, raw",DG,Vegetables,,
2,13-499,"Onions, raw",DG,Vegetables,"loose, individual",
3,14-340,"Olives, green, in brine, drained, flesh and skin",FA,Fruit,"tin, jar",
4,14-327,"Oranges, flesh only",FA,Fruit,"loose, individual, net",include version with skin included if available
5,14-369,"Orange juice, freshly squeezed",FC,Fruit,"carton, tetrapak, bottle",
6,13-878,"Oregano, dried, ground",H,Herbs and Spices,spice jar,
7,16-259,"Octopus, raw",JM,Fish and fish products,,
8,16-260,"Oysters, raw",JM,Fish and fish products,,
9,18-419,"Oxtail, raw",MG,Meat and meat products,,
10,17-031,"Oil, coconut",OC,Fats and oils,jar,
11,17-039,"Oil, palm",OC,Fats and oils,bottle,
12,17-044,"Oil, soya",OC,Fats and oils,bottle,
13,17-045,"Oil, sunflower",OC,Fats and oils,bottle,
14,17-686,"Oil, vegetable, average",OC,Fats and oils,bottle,
15,17-734,"Ovaltine, powder",PAA,Beverages,,
0,11-936,"Pizza, cheese and tomato, retail",A,Cereals and cereal products,,
1,11-788,"Porridge oats, unfortified",A,Cereals and cereal products,,
2,11-450,"Pasta, plain, fresh, boiled",AD,Cereals and cereal products,,include uncooked version and uncooked dried pasta too
3,11-735,"Pasta, spaghetti, canned, in tomato sauce",AD,Cereals and cereal products,tin,include dried spaghetti too
4,11-998,"Papadums, takeaway",AF,Cereals and cereal products,,
5,11-853,"Pastry, shortcrust, retail, cooked",AO,Cereals and cereal products,,
6,11-844,"Pastries, chocolate eclairs, cream filled, retail",AP,Cereals and cereal products,,
7,11-1141,"Pancakes, sweet, made with skimmed milk, homemade",AS,Cereals and cereal products,,
8,11-921,"Pie, apple, pastry, double crust, retail",AS,Cereals and cereal products,,
9,11-847,"Pie, fruit, individual, retail",AS,Cereals and cereal products,,
10,11-1119,"Pudding, sponge, homemade",AS,Cereals and cereal products,,
11,11-1023,"Prawn crackers, takeaway",AT,Cereals and cereal products,,
12,12-553,"Pudding, rice, canned, low fat",BR,Milk and milk products,tin,
13,13-534,"Potatoes, old, roasted in rapeseed oil",DA,Vegetables,,
14,13-487,"Potato chips, oven ready, no batter, baked",DAP,Vegetables,,
15,13-483,"Potato wedges, retail, cooked",DAR,Vegetables,,
16,13-564,"Peas, canned in water, re-heated, drained",DF,Vegetables,tin,include undrained version (as sold)
17,13-527,"Peas, frozen, raw",DF,Vegetables,,
18,13-516,"Pak choi, steamed",DG,Vegetables,,
19,13-311,"Papaya, unripe, green flesh, raw",DG,Vegetables,"loose, individual",
20,13-312,"Parsnip, raw",DG,Vegetables,,
21,13-524,"Pepper, capsicum, red, raw",DG,Vegetables,"loose, individual",
22,13-323,"Plantain, green flesh, raw",DG,Vegetables,"loose, individual",
23,13-326,"Pumpkin, flesh only, raw",DG,Vegetables,"loose, individual",
24,14-365,"Pears, average, raw, flesh only",F,Fruit,"loose, individual, bag",include version with core included if available
25,14-188,"Peaches, canned in juice, whole contents",FA,Fruit,tin  ,
26,14-196,"Pears, dried",FA,Fruit,packet,
27,14-376,"Pineapple, flesh only, raw",FA,Fruit,"loose, individual",include version with skin included if available
28,14-222,"Plums, Victoria, stewed without sugar",FA,Fruit,,"suggest removing, this would be made at home and unlikely bought from a supermarket"
29,14-226,"Pomegranate, flesh and pips",FA,Fruit,"loose, individual",
30,14-285,Passion fruit juice,FC,Fruit,"carton, tetrapak, bottle",
31,14-341,Pomegranate juice drink,FC,Fruit,"carton, tetrapak, bottle",
32,14-289,Prune juice,FC,Fruit,"carton, tetrapak, bottle",
33,14-892,"Peanut butter, smooth",GA,Nuts and seeds,jar,
34,14-882,Peanuts and raisins,GA,Nuts and seeds,packet,
35,14-840,"Pistachio nuts, kernel only, roasted and salted",GA,Nuts and seeds,packet,
36,13-879,Paprika,H,Herbs and Spices,spice jar,
37,13-844,"Parsley, fresh",H,Herbs and Spices,bunch,
38,13-880,"Pepper, black",H,Herbs and Spices,,
39,16-378,"Pollock, Alaskan, flesh only, raw",JA,Fish and fish products,,
40,16-387,"Prawns, king, raw",JK,Fish and fish products,,
41,18-609,"Pork, spare ribs, raw, lean and fat",MAG,Meat and meat products,,
42,17-234,Port,QF,Alcoholic beverages,bottle,
43,17-117,Peppermints,SEC,"Sugars, preserves and snacks",,
44,17-692,"Popcorn, salted, retail",SN,"Sugars, preserves and snacks",,
45,17-132,Pork scratchings,SN,"Sugars, preserves and snacks",bag,
46,17-693,"Potato crisps, low fat",SN,"Sugars, preserves and snacks",bag,
47,17-623,"Pesto, red",WC,"Soups, sauces and miscellaneous foods",jar,
48,17-718,"Pickle, sweet",WCG,"Soups, sauces and miscellaneous foods",jar,
49,17-702,Piccalilli,WCN,"Soups, sauces and miscellaneous foods",jar,
0,12-949,"Quiche, vegetable, retail",CD,Eggs,"small individual, large sharing",
1,15-262,Quorn korma,DR,Vegetables,,
2,14-843,"Quinoa, raw",GA,Nuts and seeds,packet,
0,11-866,"Rice, brown, basmati, raw",AC,Cereals and cereal products,packet,
1,11-870,"Rice, brown, easy cook, raw",AC,Cereals and cereal products,packet,
2,11-874,"Rice, Thai fragrant, raw",AC,Cereals and cereal products,packet,
3,11-863,"Rice, white, long grain, easy cook, raw",AC,Cereals and cereal products,packet,
4,11-940,Rusks,AK,Cereals and cereal products,,
5,11-999,"Risotto, plain, homemade",AT,Cereals and cereal products,,
6,12-595,"Raita, yogurt and gram flour, homemade",BV,Milk and milk products,,
7,13-332,"Radish leaves, raw",DG,Vegetables,,
8,13-522,"Rocket, raw",DG,Vegetables,,
9,15-869,"Roulade, spinach",DR,Vegetables,,
10,14-393,"Raisins, dried",FA,Fruit,packet,
11,14-375,"Raspberries, raw",FA,Fruit,punnet,
12,14-249,"Redcurrants, raw",FA,Fruit,punnet,
13,14-252,"Rhubarb, stems only, raw",FA,Fruit,bunch,
14,13-892,"Rosemary, fresh",H,Herbs and spices,bunch,
15,18-387,"Rabbit, raw, meat only",MEC,Meat and meat products,,
16,17-354,"Relish, tomato based",WCN,"Soups, sauces and miscellaneous foods",jar,
0,11-903,"Semolina, raw",AA,Cereals and cereal products,,
1,11-955,"Sandwich, white bread, bacon, lettuce and tomato",AB,Cereals and cereal products,,"I suggest for purposes of weight data info, change this to generic sandwich product i.e. it doesn't matter what flavour"
2,11-802,Shortbread,AM,Cereals and cereal products,wrapper or box,
3,11-544,"Scotch pancakes, retail",AP,Cereals and cereal products,,
4,11-919,"Strudel, fruit filled, retail, frozen",AS,Cereals and cereal products,,
5,17-371,"Stuffing mix, dried",AT,Cereals and cereal products,,
6,13-521,"Spinach, baby, raw",DG,Vegetables,,
7,13-359,"Swede, flesh only, raw",DG,Vegetables,,include version with skin too if available
8,13-672,"Sweet potato, baked",DG,Vegetables,,include raw version if available
9,13-529,"Sweetcorn kernels, canned in water, drained",DG,Vegetables,tin,include undrained version (as sold)
10,13-622,"Sweetcorn, kernels, raw",DG,Vegetables,,include raw corn on the cob instead
11,15-872,"Salad, pasta, vegetables and mayonnaise",DR,Vegetables,,
12,15-883,"Shepherd's pie, vegetable",DR,Vegetables,,
13,15-617,"Sushi, vegetable",DR,Vegetables,,
14,14-059,Star fruit,FA,Fruit,"loose, individual",
15,14-324,"Strawberries, raw",FA,Fruit,punnet,
16,14-845,Sunflower seeds,GA,Nuts and seeds,packet,
17,13-852,Saffron,H,Herbs and spices,spice jar,
18,13-854,"Sage, dried, ground",H,Herbs and spices,spice jar,
19,17-236,"Sherry, medium",QF,Alcoholic beverages,bottle,
20,17-247,"Spirits, 40% volume",QK,Alcoholic beverages,"bottle, miniature",
21,17-060,"Sugar, brown",SC,"Sugars, preserves and snacks",bag,
22,17-062,"Sugar, icing",SC,"Sugars, preserves and snacks",bag,
23,17-063,"Sugar, white",SC,"Sugars, preserves and snacks",bag,
24,17-065,"Syrup, golden",SC,"Sugars, preserves and snacks",tin,
25,17-096,Smartie-type sweets,SEA,"Sugars, preserves and snacks",tube,
26,17-711,"Soup, minestrone, canned",WA,"Soups, sauces and miscellaneous foods",can,
27,17-695,"Soup, chicken, cream of, canned",WAC,"Soups, sauces and miscellaneous foods",can,
28,17-652,"Soup, cream of tomato, canned",WAC,"Soups, sauces and miscellaneous foods",can,
29,17-698,"Soup, lentil, canned",WAC,"Soups, sauces and miscellaneous foods",can,
30,17-700,"Soup, oxtail, canned",WAC,"Soups, sauces and miscellaneous foods",can,
31,17-712,"Soup, vegetable, canned",WAC,"Soups, sauces and miscellaneous foods",can,
32,17-653,"Soup, instant, dried, as purchased",WAE,"Soups, sauces and miscellaneous foods",can,
33,17-628,"Sauce, Chinese cook in, sweet & sour",WC,"Soups, sauces and miscellaneous foods",,
34,17-629,"Sauce, Chinese stir fry",WC,"Soups, sauces and miscellaneous foods",,
35,17-703,Salad cream,WCG,"Soups, sauces and miscellaneous foods",,
36,17-336,"Sauce, sweet and sour, take-away",WCN,"Soups, sauces and miscellaneous foods",,
37,17-721,"Soy sauce, light and dark varieties",WCN,"Soups, sauces and miscellaneous foods",,
38,17-367,Salt,WY,"Soups, sauces and miscellaneous foods",,
39,17-515,"Stock cubes, beef",WY,"Soups, sauces and miscellaneous foods",,
40,17-680,Stock gel,WY,"Soups, sauces and miscellaneous foods",,
41,17-681,"Stock, chicken, ready made, retail",WY,"Soups, sauces and miscellaneous foods",,
0,11-925,"Tortilla, wheat, soft",AF,,,
1,11-845,"Tarts, bakewell, iced, retail",AS,,,
2,12-547,Tzatziki,BN,,,
3,13-570,"Tofu, soya bean, steamed",DB,,,
4,13-530,"Tomatoes, canned, whole contents",DG,,tin,
5,13-517,"Tomatoes, standard, raw",DG,,,
6,13-389,"Turnip, flesh only, raw",DG,,,include version with skin too if available
7,14-847,Tahini paste,GA,,jar,
8,14-848,Tigernuts,GA,,bag,
9,14-849,Trail mix,GA,,bag,
10,13-858,"Tarragon, dried, ground",H,,spice jar,
11,13-883,"Thyme, dried, ground",H,,spice jar,
12,13-861,"Turmeric, ground",H,,spice jar,
13,16-154,"Tilapia, raw",JA,,,
14,16-224,"Trout, brown, raw",JC,,,
15,16-416,"Tuna, canned in brine, drained",JC,,,include undrained version if available
16,18-352,"Turkey, whole, raw",MCO,,,
17,18-423,"Tongue, lamb, raw",MG,,,
18,18-428,"Tripe, dressed, raw",MG,,,
19,17-644,Tortilla chips fried in sunflower oil,SN,,bag,
20,17-694,Twiglets,SN,,bag,
21,17-722,Tartare sauce,WCN,,jar,
22,17-709,Tomato ketchup,WCN,,,
0,13-543,"Vegetables, mixed, frozen, boiled in unsalted water",DG,Vegetables,,include unboiled raw version if available
1,15-656,"Vegeburger, retail, grilled",DR,Vegetables,,
2,15-345,"Vegetable stir fry mix, fried in sunflower oil",DR,Vegetables,,
3,18-390,"Venison, meat only, raw",MEE,Meat and meat products,,
4,17-239,"Vermouth, dry",QG,Alcoholic beverages,bottle,
5,17-339,Vinegar,WY,"Soups, sauces and miscellaneous foods",,
0,11-800,"Wafers, plain ice cream wafers, not filled",AM,Cereals and cereal products,,
1,13-673,"Watercress, raw",DG, Vegetables,,
2,14-268,"Whitecurrants, raw",FA, Fruit,punnet,
3,14-879,"Walnuts, kernel only",GA,Nuts and seeds,packet,
4,16-231,"Whitebait, in flour, fried",JC,Fish and fish products,,
5,17-752,"Wine, red",QE,Alcoholic beverages,"bottle, small bottle, box",
6,17-756,"Wine, white, medium",QE,Alcoholic beverages,"bottle, small bottle, box",
7,17-778,"White sauce, savoury, made with skimmed milk, homemade",WCD,"Soups, sauces and miscellaneous foods",,
8,17-723,Worcestershire sauce,WCN,"Soups, sauces and miscellaneous foods",,
9,17-377,"Water, distilled",WY,"Soups, sauces and miscellaneous foods",,
0,11-1135,"Yorkshire pudding, made with skimmed milk, homemade",AT,Cereals and cereal products,,
1,12-555,"Yogurt, Greek style, plain",BN,Milk and milk products,,
2,12-375,"Yogurt, whole milk, fruit",BN,Milk and milk products,,
3,13-398,"Yam, baked",DG, Vegetables,,
4,17-517,Yeast extract,WY,"Soups, sauces and miscellaneous foods",jar,
