Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
18-487,"Veal, escalope, fried in corn oil",9 samples,MAI,18-093  ,"Reviewed 2013. LGC, Nutrient analysis of carcase beef, 1992-1993; vitamin D from LGC, Determination of 25-OH vitamin D in selected foodstuffs, 1997",,58.7,5.39,33.7,6.8,0.0,196,825,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.70,1.76,29.15,1.83,1.06,0.07,38.95,2.44,40.90,2.48,29.63,1.86,30.20,1.90,28.10,1.76,0.60,0.04,1.24,0.08,110.0,Unknown,Unknown
18-486,"Veal, escalope, raw",9 samples,MAI,18-092 50-429 ,"LGC, Nutrient analysis of carcase beef, 1992-1993; vitamin D from LGC 'Determination of 25-OH vitamin D in selected foodstuffs' 1997.",,75.1,3.63,22.7,1.7,0.0,106,449,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.80,0.60,,,,,,,43.80,0.70,,,15.80,0.30,,,,,1.70,Tr,52.0,Unknown,Unknown
18-094,"Veal, mince, raw",5 samples,MAI,,"LGC, Nutrient analysis of carcase beef, 1992-1993",,70.1,3.25,20.3,7.0,0.0,144,604,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,45.90,2.90,,,,,,,46.30,3.00,,,7.40,0.50,,,,,4.30,0.30,62.0,Unknown,Unknown
18-095,"Veal, mince, stewed",5 samples,MAI,223,"LGC, Nutrient analysis of carcase beef, 1992-1993",,63.7,4.21,26.3,11.1,0.0,205,858,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,45.90,4.70,6.87,0.71,0.53,0.12,40.58,4.22,46.30,4.80,6.58,0.68,7.40,0.80,44.78,4.66,1.09,0.11,4.25,0.44,80.0,Unknown,Unknown
