Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
12-338,"Cream, dairy, UHT, canned spray, 85% cream","10 samples, 6 brands",BJP,12-124 12-844 50-218  ,"Reviewed 2013. LGC, Nutrient analysis of ‘other’ milk and cream, 1998; fats as 12-844",,63.6,0.30,1.9,24.2,7.2,252,1043,0.0,0.0,7.2,0.0,0.0,0.0,3.9,0.0,3.3,0.0,0.0,0.0,,15.20,2.44,0.56,0.67,0.15,23.73,5.43,,6.07,2.75,0.63,,0.80,66.47,15.20,0.00,0.00,3.55,0.81,68.0,Unknown,Unknown
12-339,"Cream, dairy, UHT, half fat, canned spray","4 samples, 1 brand (Anchor Light)",BJP,,"Reviewed 2013. LGC, Nutrient analysis of ‘other’ milk and cream, 1998; and estimated from 85% fat canned spray",,71.9,0.44,2.8,17.3,7.6,196,811,0.0,0.2,7.4,0.0,0.0,0.0,3.8,0.0,3.6,0.0,0.0,0.0,,10.87,,,,,,,,4.34,,,,0.57,,,,,,0.58,46.0,Unknown,Unknown
