Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
12-546,"Coffeemate, whitener powder",Analysis and manufacturer's data (Carnation),BAR,12-027 ,"Milk Products and Eggs Supplement, 1989; Vitamin K1 from Bolton-Smith et al Br.J. Nutr. 83, 2000",,3.0,0.33,2.1,34.5,57.3,534,2202,Tr,47.9,9.4,5.0,0.0,0.0,0.0,4.4,Tr,0.0,0.0,0.0,,26.00,,,,,,,,N,,,,N,,,,,,Tr,2.0,Unknown,Unknown
12-520,"Milk, condensed, whole, sweetened","10 cans, 2 brands",BAR,12-029 ,"Milk Products and Eggs Supplement, 1989; Vitamin K1 Bolton-Smith et al, Br J Nutr, 83, 2000",,29.1,1.16,7.4,8.0,55.5,310,1310,0.0,,55.5,0.0,0.0,0.0,43.2,0.0,12.3,0.0,0.0,0.0,,4.99,,,,,,,,2.30,,,,0.24,,,,,,N,29.0,Unknown,Unknown
12-324,"Milk, evaporated, light","7 samples, 4 brands",BAR,12-890 ,"Reviewed 2013. LGC, Nutrient analysis of other milk and cream, 1998; fatty acids from Fatty Acids Supplement (1998) 12-890",,75.9,1.22,7.8,4.1,10.3,107,449,0.0,0.0,10.3,0.0,0.0,0.0,0.0,0.0,10.3,0.0,0.0,0.0,67.07,2.50,1.90,0.07,0.94,0.04,24.72,0.96,28.07,1.09,2.94,0.11,3.87,0.15,64.62,2.50,2.39,0.09,4.28,0.17,16.9,Unknown,Unknown
12-522,"Milk, evaporated, whole","12 samples, Ideal, Carnation and own brands",BAR,12-033 ,"Milk Products and Eggs Supplement, 1989; and industry data, 2013.  Vitamin K1 from Bolton-Smith et al, Br J Nutr, 83, 2000",,69.1,1.32,8.4,9.4,12.7,166,694,0.0,,12.7,0.0,0.0,0.0,0.0,0.0,12.7,0.0,0.0,0.0,,5.90,,,,,,,,2.70,,,,0.30,,,,,,N,34.0,Unknown,Unknown
12-535,"Milk, flavoured, pasteurised, chocolate","9 samples, 6 brands, including low fat, semi-skimmed",BAR,12-325 ,"LGC, Nutrient analysis of other milk and cream, 1998; and industry data, 2013. Fats calculated based on 12-034 proportions, vitamins as 12-034.",,82.8,0.56,3.6,1.5,11.7,72,305,0.3,0.4,11,Tr,0.0,1.7,2.8,1.1,5.5,0.0,0.0,0.0,69.83,0.99,,,,,18.45,0.26,26.25,0.37,3.01,0.04,3.46,0.05,,,,0.00,8.25,0.12,7.0,Unknown,Unknown
12-326,"Milk, flavoured, pasteurised, strawberry, banana","10 samples, 6 brands, including low fat and semi-skimmed",BAR,12-034 12-837 50-203 ,"Reviewed 2013. LGC, Nutrient analysis of other milk and cream, 1998. Vitamins values as 12-034, fatty acids from 12-837.",,83.9,0.57,3.6,1.5,9.6,64,270,0.2,0.5,8.9,Tr,0.0,Tr,3.9,0.1,4.9,0.0,0.0,0.0,72.80,1.02,1.94,0.03,1.06,0.01,21.70,0.31,23.64,0.34,2.97,0.04,3.55,0.05,70.43,1.00,0.00,0.00,2.52,0.04,7.0,Unknown,Unknown
12-521,"Milk, skimmed, dried, fortified","20 samples, 7 brands",BAR,12-030 ,"Milk Products and Eggs Supplement, 1989; and industry data, 2013",,3.0,5.70,36.1,0.6,52.9,348,1482,0.0,,52.9,0.0,0.0,0.0,0.0,0.0,52.9,0.0,0.0,0.0,,0.40,,,,,,,,0.20,,,,Tr,,,,,,Tr,12.0,Unknown,Unknown
12-327,"Milkshake, thick, takeaway","10 samples, 3 brands including chocolate, vanilla, and banana",BAR,12-103 12-893 50-1072 ,"Reviewed 2013. LGC, Nutrient analysis of 'other' milk and cream, 1998. Fatty acids as Fatty Acids Supplement (1998) 12-893",,73.2,0.58,3.7,1.8,15.3,88,374,0.3,3.9,11.1,0.3,0.0,4.2,1.4,0.7,4.5,0.0,Tr,Tr,71.20,1.21,,0.04,,0.01,21.62,0.37,24.17,0.41,3.24,0.05,3.99,0.06,,,,0.00,3.30,0.06,10.9,Unknown,Unknown
