Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
11-955,"Sandwich, white bread, bacon, lettuce and tomato",Recipe from University of North London survey of commercial sandwiches,AB,11-563 ,University of North London 1997. Recalculated in 2013,,51.5,1.39,8.2,11.9,24.1,230,965,21.7,,2.4,0.2,Tr,0.4,0.1,1.6,Tr,,1.2,1.5,,2.46,,,,,,,,5.41,,,,3.10,,,,,,0.01,16.6,Unknown,Unknown
11-963,"Sandwich, white bread, cheddar cheese and pickle",Recipe from University of North London survey of commercial sandwiches,AB,11-564 ,"University of North London, 1997. Recalculated in 2013",,41.4,1.97,12.0,14.4,27.7,282,1184,23.1,,4.6,0.9,Tr,1.1,0.9,1.7,Tr,,1.1,1.5,,7.42,,,,,,,,3.92,,,,1.86,,,,,,0.45,29.6,Unknown,Unknown
11-964,"Sandwich, white bread, chicken salad",Recipe from University of North London survey of commercial sandwiches,AB,11-565 ,"University of North London, 1997. Recalculated in 2013",,58.7,1.78,10.7,4.9,22.5,172,725,20.4,,2.1,0.2,,0.4,0.0,1.5,0.0,,1.1,1.4,,1.16,,,,,,,,1.66,,,,1.58,,,,,,0.03,26.0,Unknown,Unknown
11-966,"Sandwich, white bread, egg mayonnaise",Recipe from University of North London survey of commercial sandwiches,AB,11-567 ,"University of North London, 1997. Recalculated in 2013",,47.5,1.49,8.8,11.2,28.5,243,1020,26.2,,2.2,0.0,0.0,0.1,0.1,2.0,0.0,0.0,1.2,1.5,,1.89,,,,,,,,5.00,,,,3.19,,,,,,0.02,102.6,Unknown,Unknown
11-965,"Sandwich, white bread, ham salad",Recipe from University of North London survey of commercial sandwiches,AB,11-566 ,"University of North London, 1997. Recalculated in 2013",,58.5,1.38,8.2,4.1,25.0,163,690,22.5,,2.5,0.2,0.0,0.4,0.2,1.7,Tr,0.0,1.2,1.6,,0.94,,,,,,,,1.20,,,,1.45,,,,,,0.01,12.2,Unknown,Unknown
11-967,"Sandwich, white bread, tuna mayonnaise",Recipe from University of North London survey of commercial sandwiches,AB,11-568 ,"University of North London, 1997. Recalculated in 2013",,48.7,2.08,12.5,10.2,25.3,237,994,23.2,,2.1,0.0,0.0,0.1,0.1,1.7,Tr,,1.0,1.4,,1.29,,,,,,,,4.95,,,,3.19,,,,,0.56,0.01,20.4,Unknown,Unknown
