Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
18-375,"Goose, meat, raw, fat and skin","5 samples; meat, fat and skin = 0.66 of dressed carcase",MCE,,"LGC, Poultry and game surveys, 1983-1984",,50.2,2.64,16.5,32.8,0.0,361,1494,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.60,9.50,,,,,,,55.80,17.30,,,11.90,3.70,,,,,Tr,Tr,80.0,Unknown,Unknown
18-376,"Goose, meat, roasted, fat and skin","5 samples; meat, fat and skin = 0.65 of dressed carcase",MCE,50-449 ,"Reviewed 2013. LGC, Poultry and game surveys, 1983-1984",,51.1,4.40,27.5,21.2,0.0,301,1252,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.90,6.60,,,,,,,49.40,9.90,,,12.00,2.40,,,,,Tr,Tr,91.0,Unknown,Unknown
