Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
11-812,Chocolate covered wafer biscuit,"Including Kit Kat, Blue Riband, Time Out and Taxi",AM,11-509 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,2.6,0.96,5.5,28.6,61.1,509,2130,16.1,,45.1,Tr,Tr,Tr,38.2,Tr,6.9,0.0,1.4,2.7,64.00,17.50,4.10,1.12,0.33,0.10,28.60,7.25,30.63,7.81,4.50,1.22,4.50,1.22,63.68,17.43,0.32,0.07,2.00,0.55,16.3,Unknown,Unknown
11-1134,"Crackers, wholemeal, homemade",Recipe,AM,11-572 ,Updated 2014,,3.2,1.70,9.8,10.5,76.7,421,1781,75.9,,0.8,Tr,,Tr,0.6,0.1,Tr,,0.5,5.4,,3.38,,,,,,,,4.31,,,,1.83,,,,,,0.02,1.3,Unknown,Unknown
11-820,Cream crackers,"10 samples, 6 products",AM,11-510 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,4.9,1.57,8.9,16.4,69.7,445,1874,68.2,,1.5,Tr,Tr,Tr,Tr,1.5,Tr,0.0,3.3,3.9,47.10,7.38,13.35,2.10,0.45,0.07,38.00,5.94,38.07,5.95,13.80,2.17,13.80,2.17,47.02,7.37,0.08,0.01,0.10,0.01,4.6,Unknown,Unknown
11-822,"Crispbread, rye","5 samples, 2 products, Ryvita original and Ryvita dark",AM,11-511 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,7.7,1.47,8.6,1.4,63.4,284,1210,60.0,,3.4,Tr,Tr,Tr,2.8,0.6,Tr,0.0,14.2,20.0,16.70,0.16,53.84,0.53,7.50,0.07,17.30,0.17,17.30,0.17,61.80,0.60,61.80,0.60,15.21,0.11,0.06,Tr,Tr,Tr,0.0,Unknown,Unknown
11-805,Fig Rolls,"10 samples, 5 products",AM,11-409 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,13.7,0.73,4.2,10.6,66.8,363,1532,23.0,,43.8,11.5,Tr,8.4,15.8,8.1,Tr,0.0,3.3,3.9,46.10,4.76,12.52,1.30,2.20,0.23,36.10,3.73,36.16,3.73,14.80,1.52,14.80,1.52,46.10,4.76,,,0.10,0.01,1.3,Unknown,Unknown
11-1071,"Flapjacks, homemade",Recipe,AM,11-571 ,Updated 2014,,9.2,0.74,4.4,24.0,61.6,464,1946,27.0,,34.5,4.5,,4.4,25.6,Tr,Tr,,2.7,3.1,,7.45,,,,,,,,10.71,,,,4.58,,,,,,0.04,3.1,Unknown,Unknown
11-814,"Flapjacks, retail","10 samples, 9 products",AM,,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,9.3,0.87,5.1,22.8,55.7,434,1821,26.5,,29.2,4.3,Tr,4.2,20.7,Tr,Tr,0.0,2.2,5.2,47.00,10.25,11.90,2.61,1.84,0.42,36.30,7.70,37.31,7.92,13.90,3.03,13.90,3.03,46.25,10.09,0.75,0.16,1.00,0.22,25.0,Unknown,Unknown
11-1128,"Flapjacks, retail, chocolate covered",Recipe,AM,,Updated 2014,,8.7,0.89,5.3,23.5,55.7,441,1849,24.4,,31.3,4.0,,3.9,22.8,Tr,0.7,0.0,2.1,5.0,,10.92,,,,,,,,8.05,,,,2.87,,,,,,0.22,24.8,Unknown,Unknown
11-739,Jaffa cakes,"10 samples, 6 products, including McVities, Lyons and own brands",AM,11-515 ,"Direct Laboratories, Nutrient analysis catch up project, 2003",,12.2,0.78,4.4,8.5,69.3,354,1498,16.3,1.4,51.6,8.5,Tr,1.8,35.1,6.0,0.2,,1.0,1.5,53.46,4.33,10.66,0.86,1.00,0.08,34.11,2.76,34.25,2.76,11.66,0.94,11.66,0.94,53.46,4.33,Tr,Tr,0.14,0.01,9.4,Unknown,Unknown
11-825,"Minibreads, toasted, retail","10 samples, 6 products, including bruschettinne and crostini",AM,,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,3.0,1.84,10.5,13.6,68.9,423,1784,65.6,,3.3,Tr,Tr,Tr,Tr,3.3,Tr,0.0,2.9,4.2,24.80,3.22,13.51,1.76,0.73,0.09,60.10,7.80,60.22,7.81,14.30,1.86,14.30,1.86,24.70,3.20,0.10,0.01,0.10,0.02,0.0,Unknown,Unknown
11-1100,"Oatcakes, homemade",Recipe,AM,11-639 ,Updated 2014,,11.9,1.63,9.5,15.9,61.4,411,1731,61.0,,0.3,Tr,,Tr,0.3,Tr,0.1,,6.2,6.8,,6.76,,,,,,,,4.96,,,,3.07,,,,,,0.32,23.4,Unknown,Unknown
11-823,"Oatcakes, plain, retail","10 samples, 7 products, Nairns and own label",AM,11-518 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,4.1,1.60,9.3,20.0,62.8,453,1904,59.6,,3.2,Tr,Tr,Tr,1.0,2.2,Tr,0.0,8.8,9.4,29.70,5.67,18.98,3.64,1.22,0.23,48.70,9.31,48.75,9.32,20.30,3.87,20.30,3.87,29.58,5.67,0.12,Tr,0.10,0.01,4.9,Unknown,Unknown
11-802,Shortbread,"10 samples, 7 products",AM,11-523 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,3.5,0.94,5.3,29.0,62.2,515,2158,46.5,,15.6,Tr,Tr,Tr,15.6,Tr,Tr,0.0,1.3,2.2,63.70,17.45,3.43,0.95,0.93,0.28,25.60,6.29,28.30,7.03,4.50,1.22,4.50,1.23,61.71,16.71,1.99,0.54,2.70,0.74,81.9,Unknown,Unknown
11-800,"Wafers, plain ice cream wafers, not filled","10 samples, 9 products, including cones, cornets and wafers",AM,12-212 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,5.7,1.84,10.5,3.0,79.7,368,1565,76.2,,3.5,Tr,Tr,Tr,3.5,Tr,Tr,0.0,2.1,3.4,20.70,0.59,69.96,1.15,5.44,0.16,33.10,0.94,33.10,0.95,45.50,1.31,45.50,1.31,20.70,0.60,0.00,0.00,0.20,Tr,4.1,Unknown,Unknown
