Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
13-610,"Potatoes, new and salad, boiled in salted water, flesh and skin","22 samples, including UK grown and imported, pre-packed and loose",DAE,13-475 ,"Nutrient analysis of fresh and processed fruit and vegetables, 2013",,81.5,0.29,1.8,0.1,14.9,68,291,13.8,,1.1,0.5,Tr,0.4,0.2,0.0,0.0,0.0,0.9,1.8,,0.04,,,,,,,,0.02,,,,0.02,,,,,,0.00,0.0,Unknown,Unknown
13-495,"Potatoes, new and salad, boiled in unsalted water, flesh and skin","22 samples, including UK grown and imported, pre-packed and loose",DAE,13-420 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,81.5,0.29,1.8,0.1,14.9,68,291,13.8,,1.1,0.5,Tr,0.4,0.2,0.0,0.0,0.0,0.9,1.8,,0.04,,,,,,,,0.02,,,,0.02,,,,,,0.00,0.0,Unknown,Unknown
13-618,"Potatoes, new and salad, flesh only, raw","IFR, average of Desiree, King Edward, Pentland Crown, Maris Piper over 6 seasons, flesh only",DAE,13-001 ,"Vegetables, Herbs and Spices Supplement, 1991; and calculated from 13-495",,81.7,0.28,1.7,0.1,16.1,68,290,14.8,,1.3,0.3,0.0,0.3,0.7,0.0,0.0,0.0,1.0,1.8,,0.04,,,,,,,,0.02,,,,0.02,,,,,,0.00,0.0,Unknown,Unknown
13-619,"Potatoes, new, frozen, `roast' in corn oil","LGC; 10 samples, 3 brands. Deep fried and roasted",DAE,13-006 ,"Vegetables, Herbs and Spices Supplement, 1991; and updated from 13-495",,62.9,0.40,2.5,6.6,23.4,157,661,22.4,,1.0,0.4,0.0,0.3,0.3,0.0,0.0,0.0,1.7,3.0,,0.80,,,,,,,,1.60,,,,3.80,,,,,,0.00,0.0,Unknown,Unknown
