Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
11-875,"Rice, Thai fragrant, boiled in unsalted water","8 samples, 7 products",AC,,"LGC, Nutrient survey of flours and grains, 2005",,68.0,0.38,2.3,0.4,32.1,133,568,28.7,3.3,Tr,Tr,,Tr,Tr,0.0,0.0,0.0,Tr,Tr,10.32,0.09,12.50,0.11,0.39,Tr,11.22,0.10,11.26,0.10,12.91,0.12,12.92,0.12,10.32,0.09,,,0.07,Tr,0.0,Unknown,Unknown
11-874,"Rice, Thai fragrant, raw","8 samples, 7 products",AC,,"LGC, Nutrient survey of flours and grains, 2005",,12.5,1.08,6.4,1.1,84.5,352,1502,84.4,0.0,0.1,Tr,,Tr,Tr,0.0,0.0,0.0,0.8,0.8,29.93,0.27,36.21,0.33,1.14,0.01,32.53,0.29,32.67,0.29,37.40,0.34,37.43,0.34,29.93,0.27,,,0.15,Tr,0.0,Unknown,Unknown
11-858,"Rice, white, basmati, boiled in unsalted water","11 samples, 9 products",AC,,"LGC, Nutrient survey of flours and grains, 2005",,69.5,0.47,2.8,0.7,26.5,117,498,26.5,0.0,Tr,Tr,,Tr,Tr,0.0,0.0,,0.6,0.6,28.03,0.16,45.45,0.26,1.55,0.01,24.82,0.14,24.92,0.14,46.96,0.27,47.06,0.27,28.03,0.16,,,0.19,Tr,0.0,Unknown,Unknown
11-860,"Rice, white, basmati, easy cook, boiled in unsalted water","7 samples, 5 products",AC,,"LGC, Nutrient survey of flours and grains, 2005",,66.8,0.59,3.5,0.4,32.2,138,590,32.1,0.0,Tr,Tr,,Tr,Tr,0.0,0.0,0.0,Tr,Tr,,0.09,,0.15,,0.01,,0.08,,0.08,,0.15,,0.15,,0.09,,,,Tr,0.0,Unknown,Unknown
11-859,"Rice, white, basmati, easy cook, raw","7 samples, 5 products",AC,,"LGC, Nutrient survey of flours and grains, 2005",,11.3,1.36,8.1,0.4,83.8,350,1493,83.3,0.0,0.6,Tr,,Tr,0.5,0.0,0.0,0.0,0.9,1.4,29.59,0.11,37.86,0.14,1.23,Tr,30.82,0.11,31.18,0.11,39.01,0.14,39.22,0.14,29.59,0.11,,,0.56,Tr,0.0,Unknown,Unknown
11-857,"Rice, white, basmati, raw","11 samples, 9 products",AC,11-041 ,"LGC, Nutrient survey of flours and grains, 2005",,11.3,1.36,8.1,0.5,83.7,351,1495,83.6,0.0,0.1,Tr,,Tr,0.1,0.0,0.0,0.0,0.9,1.1,31.88,0.14,34.89,0.15,1.01,Tr,32.00,0.14,32.14,0.14,35.93,0.16,35.99,0.16,31.88,0.14,,,0.20,Tr,0.0,Unknown,Unknown
11-879,"Rice, white, Italian ""Arborio"" risotto, boiled in unsalted water","7 samples, 7 products.",AC,,"LGC, Nutrient survey of flours and grains, 2005",,67.1,0.53,3.2,0.5,32.2,138,588,32.1,0.0,Tr,Tr,,Tr,Tr,0.0,0.0,0.0,Tr,Tr,22.31,0.09,52.05,0.22,1.97,0.01,23.50,0.10,23.56,0.10,54.05,0.22,54.18,0.22,22.31,0.09,,,0.20,Tr,0.0,Unknown,Unknown
11-878,"Rice, white, Italian Arborio risotto, raw","7 samples, 7 products",AC,,"LGC, Nutrient survey of flours and grains, 2005",,13.0,1.08,6.4,1.0,85.2,354,1509,84.9,0.0,0.2,Tr,,Tr,0.2,0.0,0.0,0.0,0.9,1.4,25.49,0.21,43.25,0.35,1.36,0.01,29.49,0.24,29.61,0.24,44.83,0.37,44.92,0.37,25.49,0.21,,,0.21,Tr,0.0,Unknown,Unknown
11-862,"Rice, white, long grain, boiled in unsalted water","10 samples, 9 products",AC,11-050 ,"LGC, Nutrient survey of flours and grains, 2005",,68.2,0.47,2.8,0.4,31.1,131,560,31.1,0.0,Tr,Tr,,Tr,Tr,0.0,0.0,0.0,Tr,0.5,11.62,0.09,12.41,0.10,0.29,Tr,12.50,0.10,12.52,0.10,12.68,0.10,12.72,0.10,11.62,0.09,,,0.06,Tr,0.0,Unknown,Unknown
11-864,"Rice, white, long grain, easy cook, boiled in unsalted water","10 samples, 9 products",AC,11-446 ,"LGC, Nutrient survey of flours and grains, 2005",,67.0,0.51,3.0,0.4,34.7,146,621,34.7,0.0,Tr,Tr,,Tr,Tr,0.0,0.0,0.0,Tr,0.7,9.09,0.08,13.99,0.13,0.43,Tr,12.80,0.12,12.84,0.12,14.40,0.13,14.44,0.13,9.09,0.08,,,0.07,Tr,0.0,Unknown,Unknown
11-863,"Rice, white, long grain, easy cook, raw","10 samples, 9 products",AC,11-445 ,"LGC, Nutrient survey of flours and grains, 2005",,11.5,1.18,7.0,1.1,82.3,347,1477,82.3,0.0,Tr,Tr,,Tr,Tr,0.0,0.0,0.0,1.1,1.7,24.96,0.23,38.46,0.35,1.19,0.01,35.20,0.32,35.31,0.32,39.62,0.36,39.73,0.36,24.96,0.23,,,0.20,Tr,0.0,Unknown,Unknown
11-861,"Rice, white, long grain, raw","10 samples, 9 products",AC,11-049 ,"LGC, Nutrient survey of flours and grains, 2005",,11.3,1.12,6.7,1.0,85.1,355,1513,84.8,0.0,0.2,Tr,,Tr,0.2,0.0,0.0,0.0,0.9,1.1,31.53,0.25,33.66,0.27,0.79,0.01,33.90,0.27,33.96,0.27,34.39,0.27,34.50,0.27,31.53,0.25,,,0.17,Tr,0.0,Unknown,Unknown
11-865,"Rice, white, pudding, raw","8 samples, 7 products",AC,,"LGC, Nutrient survey of flours and grains, 2005",,11.8,0.94,5.6,0.9,85.6,352,1498,85.4,0.0,0.2,Tr,,Tr,0.2,0.0,0.0,0.0,0.8,1.0,29.56,0.22,41.00,0.30,1.36,0.01,27.92,0.21,28.00,0.21,42.36,0.31,42.44,0.31,29.56,0.22,,,0.16,0.20,0.0,Unknown,Unknown
11-873,"Rice, wild, boiled in unsalted water","5 samples, 3 products",AC,,"LGC, Nutrient survey of flours and grains, 2005",,66.7,0.89,5.3,0.6,31.7,145,620,31.2,0.0,0.4,Tr,,Tr,0.3,0.0,0.0,0.0,1.2,2.5,23.88,0.12,29.18,0.15,24.18,0.13,22.13,0.12,22.22,0.12,53.51,0.28,53.89,0.28,23.88,0.12,,,0.47,Tr,0.0,Unknown,Unknown
11-872,"Rice, wild, raw","5 samples, 3 products",AC,,"LGC, Nutrient survey of flours and grains, 2005",,8.3,2.06,12.2,1.1,75.8,343,1461,75.7,,0.1,Tr,,Tr,0.1,0.0,0.0,0.0,3.0,4.3,26.92,0.25,29.20,0.27,20.06,0.19,23.35,0.22,23.40,0.22,49.38,0.46,49.68,0.46,26.92,0.25,,,0.36,Tr,0.0,Unknown,Unknown
