,Food Code,Food Name,Group,Super Group,Sale format(s),VJ comments
131,17-208,"Beer, bitter, best, premium",QA,Alcoholic beverages,"can, can multipack, bottle, bottle multipack",
233,17-224,"Cider, sweet",QC,Alcoholic beverages,"can, can multipack, bottle, bottle multipack",
465,17-234,Port,QF,Alcoholic beverages,bottle,
512,17-236,"Sherry, medium",QF,Alcoholic beverages,bottle,
513,17-247,"Spirits, 40% volume",QK,Alcoholic beverages,"bottle, miniature",
562,17-239,"Vermouth, dry",QG,Alcoholic beverages,bottle,
569,17-752,"Wine, red",QE,Alcoholic beverages,"bottle, small bottle, box",
570,17-756,"Wine, white, medium",QE,Alcoholic beverages,"bottle, small bottle, box",
