Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
14-362,"Apples, cooking, raw, flesh only, peeled","Bramley apples and unspecified. Analytical data, 1985-86; and 2011-12",F,14-002 ,"LGC, Nutritional composition of fresh fruit, 1985-1986; and Fruit and Nuts Supplement, 1992",,87.7,0.05,0.3,0.3,8.9,37,159,Tr,,8.9,2.0,,5.9,1.0,0.0,0.0,0.0,1.6,1.7,,0.06,,,,,,,,0.03,,,,0.13,,,,,,0.00,0.0,Unknown,Unknown
14-363,"Apples, cooking, raw, flesh only, weighed with skin and core",Bramley variety; calculated from 14-362,F,14-003 ,"LGC, Nutritional composition of fresh fruit, 1985-1986; and Fruit and Nuts Supplement, 1992",,64.0,0.04,0.2,0.2,6.5,27,116,Tr,,6.4,1.5,,4.3,0.7,0.0,0.0,0.0,1.2,1.2,,0.04,,,,,,,,0.02,,,,0.09,,,,,,0.00,0.0,Unknown,Unknown
14-364,"Blackberry and apple, stewed without sugar","Calculated from 400g blackberries, 550g apples, 175g water",F,14-055 ,Updated 2014,,88.3,0.08,0.5,0.2,6.4,28,118,Tr,,6.4,1.9,,3.9,0.5,0.0,0.0,0.0,1.9,N,,0.03,,,,,,,,0.05,,,,0.10,,,,,,0.00,0.0,Unknown,Unknown
14-365,"Pears, average, raw, flesh only","22 samples, autumn and winter, UK grown and imported, pre-packed and loose, including Conference, Comice, Concorde, Rocha and Green Williams",F,14-192 ,"Nutrient analysis of fresh and processed fruit and vegetables, 2013; and calculated from 14-192",,85.2,0.05,0.3,0.1,11.3,44,190,0.0,,11.3,3.2,Tr,6.9,1.2,0.0,0.0,0.0,1.6,2.7,,0.01,,,,,,,,0.03,,,,0.03,,,,,,0.00,0.0,Unknown,Unknown
14-367,"Pears, average, stewed with sugar","Calculation from 1000g fruit, 190g water, 120g sugar",F,14-194 ,Recalculated 2014,,78.9,0.04,0.2,0.1,18.8,72,308,0.0,,18.8,2.5,Tr,5.4,10.9,0.0,0.0,0.0,1.3,2.1,,0.01,,,,,,,,0.02,,,,0.02,,,,,,0.00,0.0,Unknown,Unknown
14-368,"Pears, average, stewed without sugar","Calculation from 1000g fruit, 190g water",F,14-195 ,Recalculated 2014,,87.2,0.04,0.3,0.1,9.8,38,165,0.0,,9.8,2.8,Tr,6.0,1.0,0.0,0.0,0.0,1.4,2.3,,0.01,,,,,,,,0.03,,,,0.03,,,,,,0.00,0.0,Unknown,Unknown
14-366,"Pears, raw, flesh only, peeled, weighed with skin and core","Calculated from raw, flesh only using edible conversion factor",F,14-193 ,"Nutrient analysis of fresh and processed fruit and vegetables, 2013 and calculated from 14-192",,59.6,0.04,0.2,0.1,7.9,31,133,0.0,,7.9,2.3,Tr,4.8,0.8,0.0,0.0,0.0,1.1,1.9,,0.01,,,,,,,,0.02,,,,0.02,,,,,,0.00,0.0,Unknown,Unknown
