Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
18-410,"Liver, calf, fried in corn oil",10 samples,MG,50-484 ,"Reviewed 2013. LGC, Carcase meat and offal survey, 1982-1983",,64.5,3.57,22.3,9.6,Tr,176,734,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,N,,,,,,,N,N,,,N,N,,,,,N,Tr,330.0,Unknown,Unknown
18-409,"Liver, calf, raw",10 samples,MG,50-483 ,"LGC, Carcase meat and offal survey, 1982-1983",,72.0,2.93,18.3,3.4,Tr,104,437,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,41.20,1.00,,,,,,,23.40,0.60,,,31.80,0.80,,,,,Tr,Tr,370.0,Unknown,Unknown
18-412,"Liver, chicken, fried in corn oil",10 samples,MG,50-486 ,"Reviewed 2013. LGC, Carcase meat and offal survey, 1982-1983",,65.9,3.54,22.1,8.9,Tr,169,705,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,N,,,,,,,N,N,,,N,N,,,,,N,Tr,350.0,Unknown,Unknown
18-411,"Liver, chicken, raw",10 samples,MG,50-485 18-441 ,"Carcase meat and offal survey, 1982-1983; fatty acids as Fatty Acid Supplement, 1998 (18-441)",,75.8,2.83,17.7,2.3,Tr,92,386,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,42.10,0.70,N,0.36,N,0.11,N,0.51,29.50,0.50,22.50,0.40,22.50,0.40,N,0.72,0.00,0.00,Tr,Tr,380.0,Unknown,Unknown
18-494,"Liver, lamb, fried in corn oil",10 samples,MG,18-414 50-488 ,"Reviewed 2013. LGC, Carcase meat and offal survey, 1982-1983; iron, folate and vitamin D data from LGC Food Surveillance information Sheets",,53.9,4.82,30.1,12.9,Tr,237,989,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,N,,,,,,,N,N,,,N,N,,,,,N,Tr,400.0,Unknown,Unknown
18-413,"Liver, lamb, raw",10 samples,MG,50-487 18-442 ,"LGC, Carcase meat and offal survey, 1982-1983; fatty acid fractions from 18-442",,69.5,3.25,20.3,6.2,Tr,137,575,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,38.10,1.70,,0.42,,0.55,,1.87,39.00,1.80,,0.97,20.00,0.90,,1.75,0.00,0.00,Tr,Tr,430.0,Unknown,Unknown
18-415,"Liver, ox, raw",33 samples,MG,50-489 ,"MW4, 1978. Values reviewed for Meat, Poultry and Game Supplement, 1995.",,68.6,3.37,21.1,7.8,Tr,155,647,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,49.60,2.90,,,,,,,21.60,1.30,,,28.40,1.60,,,,,Tr,Tr,270.0,Unknown,Unknown
18-416,"Liver, ox, stewed","18 samples, coated in seasoned flour",MG,50-490 ,"Reviewed 2013. MW4, 1978",,62.6,3.96,24.8,9.5,3.6,198,831,3.6,,Tr,Tr,0.0,Tr,Tr,Tr,0.0,0.0,0.0,0.0,49.60,3.50,,,,,,,21.60,1.50,,,28.40,2.00,,,,,Tr,Tr,240.0,Unknown,Unknown
18-417,"Liver, pig, raw",10 samples,MG,50-491 18-443 ,"LGC, Carcase meat and offal survey, 1982-1983; fat and fatty acids from Fatty Acid Supplement, 1998",,70.5,3.41,21.3,3.1,Tr,113,477,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,41.60,1.00,,0.71,,0.15,,0.49,20.90,0.50,,0.85,36.90,0.90,,0.95,,0.00,,Tr,260.0,Unknown,Unknown
18-418,"Liver, pig, stewed","18 samples, coated in seasoned flour",MG,50-492 ,"MW4, 1978. Values reviewed for Meat, Poultry and Game Supplement, 1995.",,62.1,4.09,25.6,8.1,3.6,189,793,3.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.60,2.50,,,,,,,20.90,1.30,,,36.90,2.20,,,,,Tr,Tr,290.0,Unknown,Unknown
