Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
14-895,"Breadnut seeds, dried",Literature sources,G,14-810  ,"McCarthy and Matthews (1984) Composition of foods: nut and seed products, raw, processed and prepared, Agriculture Handbook No. 8-12. USDA SR27 (2014).",,6.5,1.63,8.6,1.7,73.8,367,1536,N,,N,N,,N,N,0.0,0.0,,N,14.9,,0.50,,,,,,,,0.20,,,,0.90,,,,,,0.00,0.0,Unknown,Unknown
14-891,"Macadamia nuts, salted",8 samples,G,14-823 ,"LGC, Savoury snacks and nuts, 1989-1991",,1.3,1.49,7.9,77.6,4.8,748,3082,0.8,,4.0,0.1,,0.1,3.8,0.0,0.0,0.0,5.3,N,,11.20,,,,,,,,60.80,,,,1.60,,,,,,0.00,0.0,Unknown,Unknown
13-849,Poppy seeds,Literature sources,G,14-866 ,"As Vegetables, Herbs and Spices Supplement, 1991 (13-849) with fats and fatty acids from Fatty Acid Supplement, 1998 (14-866)",,6.0,3.29,20.6,47.1,N,N,N,N,,N,N,0.0,N,N,0.0,0.0,,N,,,6.80,60.40,27.20,1.00,0.45,23.50,10.58,,10.58,61.40,27.65,,27.65,15.10,6.80,0.00,0.00,0.00,0.00,0.0,Unknown,Unknown
