Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
17-812,"Wine, mulled wine, homemade",Recipe,QE,17-596 ,Updated 2013,,63.8,0.05,0.3,0.2,20.2,155,651,0.0,,20.2,3.5,,3.5,13.1,0.0,0.0,11.0,N,0.4,,0.06,,,,,,,,0.02,,,,0.02,,,,,,0.00,0.0,Unknown,Unknown
17-752,"Wine, red",Typically 11-15% ABV. Mixed sample from different countries,QE,17-228 ,"Industry data 2010, 2013; and calculated from analytical data, 1984 and MW4. Vitamin K1 from Bolton-Smith et al Br.J. Nutr. 83, 2000",,88.4,0.03,0.1,0.0,0.2,76,315,0.0,,0.2,0.1,0.0,0.1,Tr,0.0,0.0,10.7,0.0,0.0,,0.00,,,,,,,,0.00,,,,0.00,,,,,,0.00,0.0,Unknown,Unknown
17-754,"Wine, rose, medium",9.5-13.5% ABV. 5 samples from different countries,QE,17-229 ,"MW4, 1978; and industry data 2013, 2013. Additional data from 50-1108",,87.3,0.01,0.1,0.0,2.5,79,329,0.0,,2.5,0.8,0.0,1.7,0.0,0.0,0.0,9.9,0.0,0.0,,0.00,,,,,,,,0.00,,,,0.00,,,,,,0.00,0.0,Unknown,Unknown
17-755,"Wine, white, dry",11-14% ABV. 5 samples from different countries,QE,17-230 ,"MW4, 1978; and industry data 2010, 2013. Additional data from 50-1109",,89.1,0.02,0.1,0.0,0.6,75,309,0.0,,0.6,0.3,0.0,0.3,0.0,0.0,0.0,10.3,0.0,0.0,,0.00,,,,,,,,0.00,,,,0.00,,,,,,0.00,0.0,Unknown,Unknown
17-756,"Wine, white, medium",8-13% ABV. Mixed sample from different countries,QE,17-231 ,"Industry data 2010, 2013; and calculated from analytical data, 1984 and MW4. Additional data from 50-1110",,86.3,0.02,0.1,0.0,3.0,75,313,0.0,,3.0,1.2,N,1.4,N,0.0,0.0,9.1,0.0,0.0,,0.00,,,,,,,,0.00,,,,0.00,,,,,,0.00,0.0,Unknown,Unknown
17-757,"Wine, white, sparkling","Approx. 11.5% ABV. 5 samples from different countries, not including champagne",QE,17-232 ,"LGC, Alcoholic beverages, soft drinks and tea and coffee survey, 1983-1984; and industry data, 2010, 2013",,85.8,0.04,0.3,0.0,5.1,84,351,0.0,,5.1,2.2,0.0,2.8,0.1,0.0,0.0,9.1,0.0,0.0,,0.00,,,,,,,,0.00,,,,0.00,,,,,,0.00,0.0,Unknown,Unknown
17-233,"Wine, white, sweet",10-15% ABV. Mixed sample from different countries,QE,50-1112 ,"Reviewed 2013. MW4, 1978. Additional data from 50-1112",,80.6,0.03,0.2,0.0,5.9,94,394,0.0,,5.9,2.6,0.0,3.3,0.1,0.0,0.0,10.2,0.0,0.0,,0.00,,,,,,,,0.00,,,,0.00,,,,,,0.00,0.0,Unknown,Unknown
