,Food Code,Food Name,Group,Super Group,Sale format(s),VJ comments
259,12-937,"Eggs, chicken, whole, raw",CA,Eggs,"egg box, 6, 10, 12, 30",
473,12-949,"Quiche, vegetable, retail",CD,Eggs,"small individual, large sharing",
