Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
17-222,"Cider, dry","4.7-5.5% ABV. Including Strongbow, Blackthorn dry, Thatchers medium-dry and Savanna dry",QC,50-1104 ,"Reviewed 2013. MW3, 1960. Additional values from 50-1104",,92.5,Tr,Tr,0.0,2.6,36,152,0.0,,2.6,0.6,0.0,0.5,0.7,0.8,0.0,3.8,0.0,0.0,,0.00,,,,,,,,0.00,,,,0.00,,,,,,0.00,0.0,Unknown,Unknown
17-223,"Cider, low alcohol","<1% ABV. 10 samples, 3 brands including Kopparberg Pear non-alcoholic and own brands",QC,,"Reviewed 2013. LFRA, Nutritional analysis of soft drinks, 1993",,94.9,Tr,Tr,0.0,3.6,17,74,0.0,,3.6,0.7,0.0,1.4,1.4,0.1,0.0,0.6,0.0,0.0,,0.00,,,,,,,,0.00,,,,0.00,,,,,,0.00,0.0,Unknown,Unknown
17-822,"Cider, strong","6-8.5% ABV. 3 samples of the same brand, including vintage varieties, Aspall Permier Cru, K Cider, Scrumpy Strong and Diamond White",QC,17-225 ,"Reviewed 2013. MW3, 1960",,86.9,Tr,Tr,0.0,7.3,68,285,0.0,,7.3,1.8,0.0,1.3,2.0,2.3,0.0,5.8,0.0,0.0,,0.00,,,,,,,,0.00,,,,0.00,,,,,,0.00,0.0,Unknown,Unknown
17-224,"Cider, sweet","3.5-5.0% ABV. 3 samples of different brands, including Woodpecker, Magners, Bulmers, Kopparberg, Stella Artois Pear Cidre, Jacques fruit cider and Thatchers rose cider",QC,50-1105 ,"Reviewed 2013. MW3, 1960. Additional values from 50-1105",,91.2,Tr,Tr,0.0,4.3,42,176,0.0,,4.3,1.0,0.0,0.7,1.2,1.3,0.0,3.7,0.0,0.0,,0.00,,,,,,,,0.00,,,,0.00,,,,,,0.00,0.0,Unknown,Unknown
