Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
17-782,"Chevda/chevra/chewra, homemade",Recipe,SNC,17-557 ,Updated 2014,,3.8,3.26,18.6,31.8,35.5,487,2026,31.6,,N,N,,N,N,N,0.0,,4.2,N,,4.71,,,,,,,,16.03,,,,9.21,,,,,,Tr,0.0,Unknown,Unknown
17-836,"Sev/ganthia, homemade","Recipe, savoury Indian snack",SNC,17-558 ,Updated 2014,,4.1,2.99,18.8,25.1,47.1,478,2003,42.6,,1.9,Tr,,Tr,1.9,0.0,0.0,0.0,7.5,8.4,,1.87,,,,,,,,13.10,,,,8.37,,,,,,0.02,0.0,Unknown,Unknown
